Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772194928930,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.73165512084961,34.68710708618164,34.5172233581543,37.00776290893555,36.89854049682617,100,66.66667175292969,0,50,0,0,0,50,0,0,NaN,2.236323833465576,19327352832,2147483648,11809226752,1080229888
204,1772194928930,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.73165512084961,34.68710708618164,34.5172233581543,37.00776290893555,36.89854049682617,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,0,2.236323833465576,19327352832,2147483648,11809505280,1080229888
204,1772194929136,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.73165512084961,34.68710708618164,34.5172233581543,37.00776290893555,36.89854049682617,30.000001907348633,30.000001907348633,0,10,0,0,0,20,0,5,5,2.8217837810516357,19327352832,2147483648,11818008576,1080229888
202,1772194929341,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.73165512084961,34.68710708618164,34.5172233581543,37.00776290893555,36.89854049682617,28.571430206298828,15.000000953674316,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,2.8217837810516357,19327352832,2147483648,11813584896,1080229888
204,1772194929544,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.73165512084961,34.68710708618164,34.5172233581543,37.00776290893555,36.89854049682617,30.000001907348633,23.809524536132813,0,5,0,0,0,0,0,0,0,2.8217837810516357,19327352832,2147483648,11813781504,1080229888
204,1772194929748,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.99335861206055,34.88774871826172,34.690948486328125,37.28158950805664,36.99027633666992,30.000001907348633,15.789472579956055,9.523809432983398,14.285715103149414,9.523809432983398,0,0,10,5,25,31.81818199157715,2.8217837810516357,19327352832,2147483648,11832885248,1080229888
200,1772194929954,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.99335861206055,34.88774871826172,34.690948486328125,37.28158950805664,36.99027633666992,30.000001907348633,19.047618865966797,0,10,0,9.523809432983398,5,4.545454502105713,0,4.545454502105713,0,2.8217837810516357,19327352832,2147483648,11833753600,1080229888
202,1772194930155,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.99335861206055,34.88774871826172,34.690948486328125,37.28158950805664,36.99027633666992,30.000001907348633,25,0,10,5,5,0,5,0,5,0,3.311558485031128,19327352832,2147483648,11832868864,1080229888
202,1772194930358,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.99335861206055,34.88774871826172,34.690948486328125,37.28158950805664,36.99027633666992,31.57894515991211,31.57894515991211,0,35,14.285715103149414,0,4.761904716491699,5,0,0,10,3.311558485031128,19327352832,2147483648,11831902208,1080229888
204,1772194930561,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.99335861206055,34.88774871826172,34.690948486328125,37.28158950805664,36.99027633666992,40,23.809524536132813,0,15.789472579956055,14.285715103149414,9.523809432983398,5,10,0,20,10,3.311558485031128,19327352832,2147483648,11831525376,1080229888
201,1772194930766,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.78406524658203,34.880615234375,34.59885025024414,37.20627212524414,36.97932815551758,35,20,0,22.72727394104004,10.526315689086914,10,0,10,0,14.285715103149414,20,3.311558485031128,19327352832,2147483648,11890409472,1080229888
204,1772194930968,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.78406524658203,34.880615234375,34.59885025024414,37.20627212524414,36.97932815551758,38.095237731933594,33.333335876464844,0,15.789472579956055,10,9.523809432983398,0,9.523809432983398,0,5,9.523809432983398,3.311558485031128,19327352832,2147483648,11890376704,1080229888
203,1772194931174,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.78406524658203,34.880615234375,34.59885025024414,37.20627212524414,36.97932815551758,38.095237731933594,21.052631378173828,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,3.2438204288482666,19327352832,2147483648,11890589696,1080229888
202,1772194931378,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.78406524658203,34.880615234375,34.59885025024414,37.20627212524414,36.97932815551758,26.3157901763916,15.000000953674316,0,5,4.761904716491699,0,4.545454502105713,0,0,0,0,3.2438204288482666,19327352832,2147483648,11890589696,1080229888
