Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772198295123,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.69218063354492,34.78276824951172,34.53683090209961,37.13331985473633,36.962486267089844,50,100,0,0,0,0,0,0,0,0,0,2.8660078048706055,19327352832,2147483648,11837964288,1080229888
200,1772198295123,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.69218063354492,34.78276824951172,34.53683090209961,37.13331985473633,36.962486267089844,NaN,0,0,0,0,0,NaN,NaN,0,0,NaN,2.8660078048706055,19327352832,2147483648,11838537728,1080229888
204,1772198295325,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.69218063354492,34.78276824951172,34.53683090209961,37.13331985473633,36.962486267089844,33.333335876464844,15.789472579956055,0,25,15.000000953674316,5,0,9.523809432983398,10,5,5,2.8660078048706055,19327352832,2147483648,11841978368,1080229888
203,1772198295530,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.69218063354492,34.78276824951172,34.53683090209961,37.13331985473633,36.962486267089844,30.000001907348633,23.809524536132813,0,10,9.523809432983398,4.761904716491699,0,0,4.761904716491699,0,0,2.8660078048706055,19327352832,2147483648,11841978368,1080229888
204,1772198295734,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.999610900878906,35.010196685791016,34.70315170288086,37.47690200805664,37.02900314331055,36.842105865478516,15.789472579956055,0,15.000000953674316,5.263157844543457,0,9.090909004211426,4.761904716491699,0,10,4.545454502105713,2.8660078048706055,19327352832,2147483648,11842256896,1080229888
204,1772198295939,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.999610900878906,35.010196685791016,34.70315170288086,37.47690200805664,37.02900314331055,42.85714340209961,31.81818199157715,0,10,14.285715103149414,9.523809432983398,0,19.047618865966797,10,10,15.789472579956055,2.8660078048706055,19327352832,2147483648,11855118336,1080229888
204,1772198296144,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.999610900878906,35.010196685791016,34.70315170288086,37.47690200805664,37.02900314331055,35,26.3157901763916,0,19.047618865966797,10,5,5,0,0,4.761904716491699,4.761904716491699,3.558304786682129,19327352832,2147483648,11855314944,1080229888
199,1772198296349,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.999610900878906,35.010196685791016,34.70315170288086,37.47690200805664,37.02900314331055,35,23.809524536132813,0,23.809524536132813,15.000000953674316,9.523809432983398,4.761904716491699,0,0,0,5,3.558304786682129,19327352832,2147483648,11855429632,1080229888
204,1772198296550,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.999610900878906,35.010196685791016,34.70315170288086,37.47690200805664,37.02900314331055,45,26.3157901763916,0,21.052631378173828,14.285715103149414,10,5,9.523809432983398,0,14.285715103149414,14.285715103149414,3.558304786682129,19327352832,2147483648,11855233024,1080229888
200,1772198296755,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.85043716430664,34.96506881713867,34.650272369384766,37.375179290771484,37.0103759765625,38.095237731933594,25,0,25,15.000000953674316,5,9.523809432983398,20,9.523809432983398,14.285715103149414,14.285715103149414,3.558304786682129,19327352832,2147483648,11932696576,1080229888
200,1772198296957,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.85043716430664,34.96506881713867,34.650272369384766,37.375179290771484,37.0103759765625,31.57894515991211,25,4.761904716491699,28.571430206298828,10,10,0,19.047618865966797,5,15.789472579956055,15.000000953674316,3.558304786682129,19327352832,2147483648,11945148416,1080229888
201,1772198297158,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.85043716430664,34.96506881713867,34.650272369384766,37.375179290771484,37.0103759765625,42.105262756347656,30.000001907348633,0,15.789472579956055,15.789472579956055,5,4.761904716491699,10,0,5,5.555555820465088,3.736978769302368,19327352832,2147483648,11952570368,1080229888
204,1772198297360,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.85043716430664,34.96506881713867,34.650272369384766,37.375179290771484,37.0103759765625,35,28.571430206298828,0,20,9.523809432983398,9.523809432983398,10,0,0,0,9.523809432983398,3.736978769302368,19327352832,2147483648,11934793728,1080229888
203,1772198297565,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.85043716430664,34.96506881713867,34.650272369384766,37.375179290771484,37.0103759765625,30.000001907348633,15.789472579956055,0,19.047618865966797,14.285715103149414,0,0,0,0,0,5,3.736978769302368,19327352832,2147483648,11934728192,1080229888
204,1772198297769,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.82898712158203,34.946468353271484,34.65237808227539,37.3192138671875,37.00065994262695,36.3636360168457,25,0,20,10,0,0,4.761904716491699,0,4.761904716491699,13.636363983154297,3.736978769302368,19327352832,2147483648,11930435584,1080229888
202,1772198297975,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.82898712158203,34.946468353271484,34.65237808227539,37.3192138671875,37.00065994262695,36.842105865478516,23.809524536132813,0,15.000000953674316,9.523809432983398,9.523809432983398,0,0,0,4.761904716491699,0,3.736978769302368,19327352832,2147483648,11931320320,1080229888
204,1772198298178,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.82898712158203,34.946468353271484,34.65237808227539,37.3192138671875,37.00065994262695,35,21.052631378173828,0,10,10,0,4.761904716491699,9.523809432983398,0,0,0,4.640247344970703,19327352832,2147483648,11920588800,1080229888
204,1772198298383,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.82898712158203,34.946468353271484,34.65237808227539,37.3192138671875,37.00065994262695,35,23.809524536132813,0,19.047618865966797,5.263157844543457,9.090909004211426,0,0,0,9.090909004211426,0,4.640247344970703,19327352832,2147483648,11920588800,1080229888
201,1772198298588,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.82898712158203,34.946468353271484,34.65237808227539,37.3192138671875,37.00065994262695,30.000001907348633,20,0,10,14.285715103149414,5,4.761904716491699,0,0,5,0,4.640247344970703,19327352832,2147483648,11920588800,1080229888
204,1772198298790,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.71565628051758,34.83750915527344,34.57903289794922,37.1823616027832,36.98109817504883,31.57894515991211,25,0,10.526315689086914,10,0,5,10,10,15.000000953674316,9.523809432983398,4.640247344970703,19327352832,2147483648,11920588800,1080229888
