Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772191945816,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,50,50,0,50,0,0,0,0,0,0,0,2.5205399990081787,19327352832,2147483648,11925880832,1080229888
204,1772191945817,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,0,0,0,NaN,100,NaN,0,0,NaN,0,NaN,2.5205399990081787,19327352832,2147483648,11925880832,1080229888
201,1772191946022,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,35,21.052631378173828,4.761904716491699,10,13.636363983154297,4.761904716491699,0,9.523809432983398,0,4.761904716491699,9.523809432983398,2.5205399990081787,19327352832,2147483648,11925880832,1080229888
203,1772191946225,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,52.38095474243164,28.571430206298828,0,20,15.000000953674316,10,0,15.000000953674316,0,10,15.000000953674316,2.213778018951416,19327352832,2147483648,11925880832,1080229888
204,1772191946429,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,36.842105865478516,25,0,20,10,4.761904716491699,4.761904716491699,15.000000953674316,0,14.285715103149414,14.285715103149414,2.213778018951416,19327352832,2147483648,11925880832,1080229888
204,1772191946634,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.57852554321289,36.53050994873047,35.92636489868164,38.93559646606445,38.8283805847168,30.000001907348633,15.000000953674316,5.263157844543457,14.285715103149414,0,0,5,23.809524536132813,20,28.571430206298828,20,2.213778018951416,19327352832,2147483648,11943673856,1080229888
203,1772191946840,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,36.86530303955078,36.805564880371094,36.25348663330078,39.14087677001953,38.943302154541016,33.333335876464844,23.809524536132813,0,10,5,4.761904716491699,4.761904716491699,0,0,0,15.000000953674316,2.213778018951416,19327352832,2147483648,11943591936,1080229888
201,1772191947044,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,36.86530303955078,36.805564880371094,36.25348663330078,39.14087677001953,38.943302154541016,31.57894515991211,25,0,14.285715103149414,9.523809432983398,5,0,0,0,0,4.761904716491699,2.213778018951416,19327352832,2147483648,11943641088,1080229888
199,1772191947247,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,36.86530303955078,36.805564880371094,36.25348663330078,39.14087677001953,38.943302154541016,38.095237731933594,45,0,25,10,5,5,14.285715103149414,0,15.000000953674316,5.263157844543457,3.6773900985717773,19327352832,2147483648,11943624704,1080229888
204,1772191947447,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,36.86530303955078,36.805564880371094,36.25348663330078,39.14087677001953,38.943302154541016,42.105262756347656,25,5,15.789472579956055,10,14.285715103149414,10,21.052631378173828,14.285715103149414,21.052631378173828,19.047618865966797,3.6773900985717773,19327352832,2147483648,11943624704,1080229888
204,1772191947652,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.11819076538086,36.924747467041016,36.45133590698242,39.27770233154297,39.01103591918945,35,15.789472579956055,4.761904716491699,14.285715103149414,0,0,0,19.047618865966797,0,27.272727966308594,10,3.6773900985717773,19327352832,2147483648,12023775232,1080229888
200,1772191947858,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.11819076538086,36.924747467041016,36.45133590698242,39.27770233154297,39.01103591918945,38.095237731933594,28.571430206298828,0,20,13.636363983154297,0,4.761904716491699,5,0,10,9.090909004211426,3.6773900985717773,19327352832,2147483648,12002557952,1080229888
204,1772191948059,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.11819076538086,36.924747467041016,36.45133590698242,39.27770233154297,39.01103591918945,35,25,0,10,10,5,0,9.523809432983398,4.761904716491699,15.000000953674316,0,3.6773900985717773,19327352832,2147483648,12002557952,1080229888
202,1772191948264,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.11819076538086,36.924747467041016,36.45133590698242,39.27770233154297,39.01103591918945,30.000001907348633,15.789472579956055,10,14.285715103149414,9.523809432983398,4.761904716491699,4.761904716491699,23.809524536132813,10,14.285715103149414,15.000000953674316,4.895129203796387,19327352832,2147483648,12002557952,1080229888
