Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772193032257,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.10270309448242,36.04127883911133,35.59247589111328,38.58568572998047,38.25741195678711,NaN,100,NaN,0,50,0,NaN,0,0,NaN,0,2.847250461578369,19327352832,2147483648,11979866112,1080229888
203,1772193032258,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.10270309448242,36.04127883911133,35.59247589111328,38.58568572998047,38.25741195678711,NaN,0,0,0,NaN,0,0,0,0,0,0,2.847250461578369,19327352832,2147483648,11979866112,1080229888
204,1772193032462,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.10270309448242,36.04127883911133,35.59247589111328,38.58568572998047,38.25741195678711,47.619049072265625,50,4.761904716491699,28.571430206298828,20,15.000000953674316,40,10,0,5,10.526315689086914,2.847250461578369,19327352832,2147483648,11979866112,1080229888
203,1772193032667,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.40806198120117,36.28923797607422,35.652565002441406,38.788917541503906,38.545284271240234,55,42.105262756347656,0,40,35,33.333335876464844,28.571430206298828,14.285715103149414,0,20,9.523809432983398,2.847250461578369,19327352832,2147483648,11979866112,1080229888
204,1772193032870,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.40806198120117,36.28923797607422,35.652565002441406,38.788917541503906,38.545284271240234,40,33.333335876464844,0,15.789472579956055,23.809524536132813,10,14.285715103149414,10,0,28.571430206298828,15.000000953674316,2.847250461578369,19327352832,2147483648,11979866112,1080229888
204,1772193033075,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.40806198120117,36.28923797607422,35.652565002441406,38.788917541503906,38.545284271240234,35,19.047618865966797,10,14.285715103149414,9.523809432983398,0,0,33.333335876464844,33.333335876464844,15.000000953674316,23.809524536132813,2.847250461578369,19327352832,2147483648,11981111296,1080229888
204,1772193033280,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.40806198120117,36.28923797607422,35.652565002441406,38.788917541503906,38.545284271240234,42.85714340209961,25,0,15.789472579956055,10,9.523809432983398,0,14.285715103149414,0,5,5,4.7394795417785645,19327352832,2147483648,11981406208,1080229888
204,1772193033485,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.40806198120117,36.28923797607422,35.652565002441406,38.788917541503906,38.545284271240234,42.105262756347656,26.3157901763916,0,20,15.000000953674316,5,0,0,0,23.809524536132813,4.761904716491699,4.7394795417785645,19327352832,2147483648,11981701120,1080229888
204,1772193033691,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.467445373535156,36.35902786254883,35.70882034301758,38.89070129394531,38.52325439453125,47.619049072265625,38.095237731933594,0,23.809524536132813,15.000000953674316,10,9.523809432983398,14.285715103149414,0,14.285715103149414,9.523809432983398,4.7394795417785645,19327352832,2147483648,11982225408,1080229888
204,1772193033896,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.467445373535156,36.35902786254883,35.70882034301758,38.89070129394531,38.52325439453125,42.85714340209961,30.000001907348633,0,23.809524536132813,14.285715103149414,5,5,5,4.761904716491699,20,15.000000953674316,4.7394795417785645,19327352832,2147483648,12041109504,1080229888
204,1772193034101,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.467445373535156,36.35902786254883,35.70882034301758,38.89070129394531,38.52325439453125,31.57894515991211,25,0,19.047618865966797,10,14.285715103149414,4.761904716491699,10,0,14.285715103149414,10,4.7394795417785645,19327352832,2147483648,12041076736,1080229888
203,1772193034306,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.467445373535156,36.35902786254883,35.70882034301758,38.89070129394531,38.52325439453125,47.619049072265625,25,0,15.789472579956055,15.000000953674316,5,4.761904716491699,4.761904716491699,0,5.263157844543457,15.000000953674316,5.303997039794922,19327352832,2147483648,12039831552,1080229888
200,1772193034510,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.467445373535156,36.35902786254883,35.70882034301758,38.89070129394531,38.52325439453125,36.842105865478516,25,0,19.047618865966797,14.285715103149414,9.523809432983398,0,10,0,4.545454502105713,0,5.303997039794922,19327352832,2147483648,12039929856,1080229888
