Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771558433622,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,50,50,0,0,0,50,0,0,0,0,0,1.8964725732803345,19327352832,2147483648,11362009088,1127677952
200,1771558433622,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,100,0,0,0,0,0,0,0,0,0,0,1.8964725732803345,19327352832,2147483648,11362009088,1127677952
204,1771558433822,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,40,35,21.052631378173828,20,10.526315689086914,5,10,26.3157901763916,5.263157844543457,21.052631378173828,10,1.8964725732803345,19327352832,2147483648,11362009088,1127677952
200,1771558434028,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,28.571430206298828,10,9.523809432983398,10,9.090909004211426,9.523809432983398,0,9.090909004211426,0,5,4.761904716491699,1.835350513458252,19327352832,2147483648,11362009088,1127677952
204,1771558434229,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,31.57894515991211,21.052631378173828,0,15.000000953674316,10.526315689086914,0,4.761904716491699,10,0,0,0,1.835350513458252,19327352832,2147483648,11362009088,1127677952
203,1771558434434,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.7001838684082,33.717201232910156,33.751991271972656,36.042659759521484,35.755531311035156,25,28.571430206298828,28.571430206298828,5,4.761904716491699,9.090909004211426,0,20,9.090909004211426,5,0,1.835350513458252,19327352832,2147483648,11609423872,1127677952
204,1771558434638,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.35267639160156,34.130062103271484,34.33075714111328,36.52864074707031,35.963890075683594,30.000001907348633,15.000000953674316,10,10,5,0,0,0,0,13.636363983154297,0,1.835350513458252,19327352832,2147483648,11609358336,1127677952
203,1771558434843,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.35267639160156,34.130062103271484,34.33075714111328,36.52864074707031,35.963890075683594,33.333335876464844,19.047618865966797,4.761904716491699,14.285715103149414,0,0,0,4.761904716491699,4.761904716491699,0,0,1.835350513458252,19327352832,2147483648,11628560384,1127677952
202,1771558435047,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.35267639160156,34.130062103271484,34.33075714111328,36.52864074707031,35.963890075683594,35,30.000001907348633,0,30.000001907348633,19.047618865966797,10.526315689086914,9.523809432983398,0,0,0,0,2.5205907821655273,19327352832,2147483648,11604312064,1127677952
204,1771558435250,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.35267639160156,34.130062103271484,34.33075714111328,36.52864074707031,35.963890075683594,45,45,0,33.333335876464844,23.809524536132813,19.047618865966797,14.285715103149414,0,0,0,0,2.5205907821655273,19327352832,2147483648,11609587712,1127677952
199,1771558435455,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.35267639160156,34.130062103271484,34.33075714111328,36.52864074707031,35.963890075683594,42.105262756347656,26.3157901763916,0,25,15.789472579956055,15.000000953674316,5,0,0,0,0,2.5205907821655273,19327352832,2147483648,11609620480,1127677952
200,1771558435655,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.63452911376953,33.8262939453125,33.79740905761719,35.974178314208984,35.823734283447266,42.105262756347656,38.095237731933594,0,31.57894515991211,19.047618865966797,14.285715103149414,5,0,0,0,0,2.5205907821655273,19327352832,2147483648,11609620480,1127677952
204,1771558435856,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.63452911376953,33.8262939453125,33.79740905761719,35.974178314208984,35.823734283447266,38.095237731933594,15.789472579956055,4.761904716491699,10.526315689086914,10,0,0,4.761904716491699,0,5,0,2.5205907821655273,19327352832,2147483648,11609620480,1127677952
200,1771558436061,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.63452911376953,33.8262939453125,33.79740905761719,35.974178314208984,35.823734283447266,31.57894515991211,20,0,9.523809432983398,5,4.761904716491699,0,0,0,0,0,3.7869768142700195,19327352832,2147483648,11609620480,1127677952
203,1771558436263,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.63452911376953,33.8262939453125,33.79740905761719,35.974178314208984,35.823734283447266,38.095237731933594,20,0,19.047618865966797,10,5,0,0,0,0,0,3.7869768142700195,19327352832,2147483648,11609620480,1127677952
201,1771558436468,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.63452911376953,33.8262939453125,33.79740905761719,35.974178314208984,35.823734283447266,33.333335876464844,20,0,10.526315689086914,5,0,0,0,0,0,0,3.7869768142700195,19327352832,2147483648,11545149440,1127677952
204,1771558436670,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.703125,33.53470230102539,33.70237350463867,33.6728630065918,35.8720817565918,35.77339172363281,42.105262756347656,35,0,23.809524536132813,15.000000953674316,14.285715103149414,10,0,0,4.761904716491699,0,3.7869768142700195,19327352832,2147483648,11549687808,1127677952
