Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771557468233,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.703125,33.49469757080078,33.60841751098633,33.660606384277344,35.85356903076172,35.7534065246582,66.66667175292969,50,0,50,50,0,0,0,0,0,0,1.9006292819976807,19327352832,2147483648,11397595136,1127677952
204,1771557468233,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.703125,33.49469757080078,33.60841751098633,33.660606384277344,35.85356903076172,35.7534065246582,NaN,0,0,NaN,0,0,0,0,0,33.333335876464844,0,1.9006292819976807,19327352832,2147483648,11399217152,1127677952
204,1771557468438,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.703125,33.49469757080078,33.60841751098633,33.660606384277344,35.85356903076172,35.7534065246582,38.095237731933594,30.000001907348633,35,28.571430206298828,10,5,5,25,5,21.052631378173828,4.761904716491699,1.9006292819976807,19327352832,2147483648,11562762240,1127677952
200,1771557468644,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.2949104309082,34.10063171386719,34.38933181762695,36.54052734375,35.97458267211914,50,30.000001907348633,9.523809432983398,15.000000953674316,10,9.523809432983398,4.761904716491699,9.090909004211426,9.090909004211426,9.523809432983398,0,1.9006292819976807,19327352832,2147483648,11570348032,1127677952
204,1771557468846,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.2949104309082,34.10063171386719,34.38933181762695,36.54052734375,35.97458267211914,52.6315803527832,45,0,35,19.047618865966797,10,5,0,0,5,0,1.9006292819976807,19327352832,2147483648,11570626560,1127677952
204,1771557469050,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.2949104309082,34.10063171386719,34.38933181762695,36.54052734375,35.97458267211914,50,30.000001907348633,5,15.000000953674316,5,0,0,15.000000953674316,0,28.571430206298828,4.761904716491699,1.7526812553405762,19327352832,2147483648,11576573952,1127677952
201,1771557469256,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.2949104309082,34.10063171386719,34.38933181762695,36.54052734375,35.97458267211914,40,25,9.523809432983398,15.000000953674316,15.000000953674316,9.523809432983398,4.761904716491699,4.761904716491699,4.761904716491699,0,5,1.7526812553405762,19327352832,2147483648,11576213504,1127677952
200,1771557469458,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.2949104309082,34.10063171386719,34.38933181762695,36.54052734375,35.97458267211914,25,15.000000953674316,0,9.523809432983398,5,5,0,0,4.761904716491699,4.761904716491699,0,1.7526812553405762,19327352832,2147483648,11597922304,1127677952
203,1771557469660,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.05369567871094,34.109439849853516,34.068634033203125,36.413169860839844,35.995140075683594,40,35,0,21.052631378173828,20,10,14.285715103149414,4.761904716491699,0,5,0,1.7526812553405762,19327352832,2147483648,11597758464,1127677952
202,1771557469865,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.05369567871094,34.109439849853516,34.068634033203125,36.413169860839844,35.995140075683594,47.36842346191406,36.842105865478516,0,35,30.000001907348633,20,20,0,0,0,0,1.7526812553405762,19327352832,2147483648,11604049920,1127677952
202,1771557470069,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.05369567871094,34.109439849853516,34.068634033203125,36.413169860839844,35.995140075683594,38.095237731933594,30.000001907348633,0,20,20,14.285715103149414,0,0,0,0,0,4.136276721954346,19327352832,2147483648,11604033536,1127677952
201,1771557470272,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.05369567871094,34.109439849853516,34.068634033203125,36.413169860839844,35.995140075683594,45,30.000001907348633,0,20,20,10,9.523809432983398,0,0,0,0,4.136276721954346,19327352832,2147483648,11557683200,1127677952
204,1771557470473,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.05369567871094,34.109439849853516,34.068634033203125,36.413169860839844,35.995140075683594,40,33.333335876464844,15.000000953674316,23.809524536132813,19.047618865966797,15.000000953674316,5.263157844543457,10.526315689086914,10.526315689086914,15.000000953674316,10.526315689086914,4.136276721954346,19327352832,2147483648,11558420480,1127677952
202,1771557470679,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,33.85844039916992,34.04131317138672,33.9455451965332,36.287933349609375,35.89093017578125,30.000001907348633,20,9.523809432983398,5.263157844543457,9.523809432983398,4.761904716491699,0,13.636363983154297,4.761904716491699,9.523809432983398,4.761904716491699,4.136276721954346,19327352832,2147483648,11551817728,1127677952
202,1771557470882,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,33.85844039916992,34.04131317138672,33.9455451965332,36.287933349609375,35.89093017578125,33.333335876464844,15.789472579956055,0,10,5.263157844543457,0,4.761904716491699,0,0,0,0,4.136276721954346,19327352832,2147483648,11551604736,1127677952
201,1771557471086,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,33.85844039916992,34.04131317138672,33.9455451965332,36.287933349609375,35.89093017578125,27.77777862548828,23.809524536132813,0,14.285715103149414,9.523809432983398,4.761904716491699,4.761904716491699,0,0,0,0,4.166982173919678,19327352832,2147483648,11551522816,1127677952
203,1771557471288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,33.85844039916992,34.04131317138672,33.9455451965332,36.287933349609375,35.89093017578125,33.333335876464844,15.789472579956055,0,15.000000953674316,10,5,0,0,0,0,0,4.166982173919678,19327352832,2147483648,11506974720,1127677952
199,1771557471493,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,33.85844039916992,34.04131317138672,33.9455451965332,36.287933349609375,35.89093017578125,38.095237731933594,28.571430206298828,0,15.789472579956055,9.523809432983398,0,0,0,0,4.761904716491699,0,4.166982173919678,19327352832,2147483648,11506974720,1127677952
203,1771557471694,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,33.757225036621094,33.97203063964844,33.8926887512207,36.10324478149414,35.90133285522461,31.57894515991211,15.789472579956055,0,19.047618865966797,5.555555820465088,9.523809432983398,5,0,0,0,0,4.166982173919678,19327352832,2147483648,11506974720,1127677952
203,1771557471898,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,33.757225036621094,33.97203063964844,33.8926887512207,36.10324478149414,35.90133285522461,31.57894515991211,25,0,20,14.285715103149414,10,4.761904716491699,0,0,0,0,4.166982173919678,19327352832,2147483648,11506974720,1127677952
201,1771557472102,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,33.757225036621094,33.97203063964844,33.8926887512207,36.10324478149414,35.90133285522461,35,23.809524536132813,0,15.000000953674316,5,0,0,0,0,0,0,2.8995468616485596,19327352832,2147483648,11511939072,1127677952
