Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772195743278,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.61746597290039,34.610538482666016,34.46876525878906,36.920143127441406,36.83647537231445,100,0,0,0,0,0,0,0,0,0,0,2.709251880645752,19327352832,2147483648,11790336000,1080229888
204,1772195743279,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.61746597290039,34.610538482666016,34.46876525878906,36.920143127441406,36.83647537231445,0,100,0,NaN,0,0,0,NaN,0,0,50,2.709251880645752,19327352832,2147483648,11791630336,1080229888
203,1772195743484,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.61746597290039,34.610538482666016,34.46876525878906,36.920143127441406,36.83647537231445,25,14.285715103149414,0,4.761904716491699,10,0,0,4.761904716491699,0,0,5,2.709251880645752,19327352832,2147483648,11798609920,1080229888
204,1772195743689,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.833030700683594,34.75667190551758,34.57209396362305,37.13032150268555,36.901947021484375,26.3157901763916,10.526315689086914,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,2.709251880645752,19327352832,2147483648,11798626304,1080229888
204,1772195743893,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.833030700683594,34.75667190551758,34.57209396362305,37.13032150268555,36.901947021484375,33.333335876464844,23.809524536132813,0,10,0,4.761904716491699,4.761904716491699,0,0,0,0,2.709251880645752,19327352832,2147483648,11795447808,1080229888
204,1772195744098,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.833030700683594,34.75667190551758,34.57209396362305,37.13032150268555,36.901947021484375,30.000001907348633,25,0,10,0,5,0,23.809524536132813,0,19.047618865966797,22.72727394104004,2.709251880645752,19327352832,2147483648,11808505856,1080229888
202,1772195744303,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.833030700683594,34.75667190551758,34.57209396362305,37.13032150268555,36.901947021484375,25,15.000000953674316,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,0,2.884735584259033,19327352832,2147483648,11808522240,1080229888
199,1772195744506,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.833030700683594,34.75667190551758,34.57209396362305,37.13032150268555,36.901947021484375,33.333335876464844,20,0,15.000000953674316,9.523809432983398,4.761904716491699,0,0,0,0,0,2.884735584259033,19327352832,2147483648,11808915456,1080229888
201,1772195744707,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.77335739135742,34.741031646728516,34.532012939453125,37.08771514892578,36.88786315917969,31.57894515991211,23.809524536132813,0,36.842105865478516,15.000000953674316,0,4.761904716491699,10,0,9.523809432983398,5,2.884735584259033,19327352832,2147483648,11807932416,1080229888
204,1772195744909,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.77335739135742,34.741031646728516,34.532012939453125,37.08771514892578,36.88786315917969,45,26.3157901763916,0,28.571430206298828,10.526315689086914,10,0,10,0,10.526315689086914,14.285715103149414,2.884735584259033,19327352832,2147483648,11808014336,1080229888
204,1772195745114,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.77335739135742,34.741031646728516,34.532012939453125,37.08771514892578,36.88786315917969,40,30.000001907348633,0,20,14.285715103149414,14.285715103149414,9.090909004211426,15.000000953674316,9.523809432983398,14.285715103149414,5.263157844543457,3.0394511222839355,19327352832,2147483648,11866783744,1080229888
203,1772195745319,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.77335739135742,34.741031646728516,34.532012939453125,37.08771514892578,36.88786315917969,30.000001907348633,25,0,15.000000953674316,5,10,0,14.285715103149414,4.761904716491699,14.285715103149414,14.285715103149414,3.0394511222839355,19327352832,2147483648,11867308032,1080229888
202,1772195745523,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.77335739135742,34.741031646728516,34.532012939453125,37.08771514892578,36.88786315917969,28.571430206298828,10,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,3.0394511222839355,19327352832,2147483648,11867291648,1080229888
204,1772195745726,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.767250061035156,34.82595443725586,34.5589485168457,37.19100570678711,36.948822021484375,25,19.047618865966797,0,5,5,4.761904716491699,0,0,0,0,0,3.0394511222839355,19327352832,2147483648,11816435712,1080229888
204,1772195745931,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.767250061035156,34.82595443725586,34.5589485168457,37.19100570678711,36.948822021484375,28.571430206298828,15.000000953674316,0,15.000000953674316,0,0,0,0,0,0,0,3.0394511222839355,19327352832,2147483648,11812175872,1080229888
200,1772195746136,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.921875,34.767250061035156,34.82595443725586,34.5589485168457,37.19100570678711,36.948822021484375,25,15.000000953674316,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,3.9747414588928223,19327352832,2147483648,11812028416,1080229888
