Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772187960614,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37644958496094,37.428585052490234,37.11369705200195,39.77159118652344,39.60268020629883,50,0,0,50,0,0,0,0,0,0,0,2.604517698287964,19327352832,2147483648,11554930688,1080229888
204,1772187960614,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37644958496094,37.428585052490234,37.11369705200195,39.77159118652344,39.60268020629883,NaN,100,0,0,50,0,0,0,0,0,0,2.604517698287964,19327352832,2147483648,11556306944,1080229888
203,1772187960820,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.61048889160156,37.5015983581543,37.29756164550781,39.934810638427734,39.66798400878906,38.095237731933594,26.3157901763916,14.285715103149414,15.000000953674316,5,0,0,0,0,0,4.545454502105713,2.604517698287964,19327352832,2147483648,11562188800,1080229888
204,1772187961024,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.61048889160156,37.5015983581543,37.29756164550781,39.934810638427734,39.66798400878906,40,35,0,15.000000953674316,0,0,0,0,0,0,0,2.604517698287964,19327352832,2147483648,11562237952,1080229888
202,1772187961229,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.61048889160156,37.5015983581543,37.29756164550781,39.934810638427734,39.66798400878906,40,33.333335876464844,0,14.285715103149414,14.285715103149414,0,0,0,0,0,0,2.6676394939422607,19327352832,2147483648,11562237952,1080229888
199,1772187961433,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.61048889160156,37.5015983581543,37.29756164550781,39.934810638427734,39.66798400878906,50,35,0,21.052631378173828,10,9.090909004211426,4.761904716491699,4.761904716491699,0,0,0,2.6676394939422607,19327352832,2147483648,11562254336,1080229888
199,1772187961634,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.61048889160156,37.5015983581543,37.29756164550781,39.934810638427734,39.66798400878906,40,31.57894515991211,0,14.285715103149414,10,0,0,0,0,0,0,2.6676394939422607,19327352832,2147483648,11562123264,1080229888
203,1772187961834,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37999725341797,37.4289436340332,37.0891227722168,39.76625061035156,39.57813262939453,42.105262756347656,30.000001907348633,0,10,5,0,0,0,0,0,0,2.6676394939422607,19327352832,2147483648,11562205184,1080229888
203,1772187962038,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37999725341797,37.4289436340332,37.0891227722168,39.76625061035156,39.57813262939453,45,30.000001907348633,0,5.263157844543457,4.761904716491699,0,4.761904716491699,0,0,0,0,2.6676394939422607,19327352832,2147483648,11561467904,1080229888
200,1772187962242,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37999725341797,37.4289436340332,37.0891227722168,39.76625061035156,39.57813262939453,47.619049072265625,35,0,23.809524536132813,5.263157844543457,0,0,0,0,0,0,3.376772403717041,19327352832,2147483648,11561500672,1080229888
202,1772187962443,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37999725341797,37.4289436340332,37.0891227722168,39.76625061035156,39.57813262939453,42.105262756347656,30.000001907348633,0,20,9.523809432983398,9.523809432983398,5,0,0,0,0,3.376772403717041,19327352832,2147483648,11561336832,1080229888
202,1772187962646,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.37999725341797,37.4289436340332,37.0891227722168,39.76625061035156,39.57813262939453,42.105262756347656,21.052631378173828,4.761904716491699,5,0,0,5.263157844543457,0,0,0,0,3.376772403717041,19327352832,2147483648,11559714816,1080229888
200,1772187962850,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,37.34063720703125,37.428123474121094,37.046817779541016,39.734500885009766,39.504638671875,40,35,0,15.000000953674316,4.761904716491699,0,9.090909004211426,0,0,0,0,3.376772403717041,19327352832,2147483648,11559665664,1080229888
202,1772187963051,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,37.34063720703125,37.428123474121094,37.046817779541016,39.734500885009766,39.504638671875,40,30.000001907348633,0,10,5,0,0,0,0,0,0,3.376772403717041,19327352832,2147483648,11559649280,1080229888
204,1772187963254,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,37.34063720703125,37.428123474121094,37.046817779541016,39.734500885009766,39.504638671875,40,35,0,20,9.523809432983398,4.761904716491699,0,0,4.761904716491699,0,0,2.629164934158325,19327352832,2147483648,11559649280,1080229888
204,1772187963459,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,37.34063720703125,37.428123474121094,37.046817779541016,39.734500885009766,39.504638671875,47.619049072265625,30.000001907348633,0,20,0,4.761904716491699,0,0,4.761904716491699,0,0,2.629164934158325,19327352832,2147483648,11559534592,1080229888
204,1772187963665,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.359375,37.316959381103516,37.42787170410156,37.010799407958984,39.722686767578125,39.48131561279297,36.842105865478516,38.095237731933594,4.761904716491699,10,5,0,0,0,0,0,4.761904716491699,2.629164934158325,19327352832,2147483648,11558518784,1080229888
