Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772188049147,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.88881301879883,37.00954055786133,36.58369064331055,39.16910934448242,39.014278411865234,0,0,0,50,0,0,0,0,0,0,0,2.570791482925415,19327352832,2147483648,11543003136,1080229888
204,1772188049147,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.88881301879883,37.00954055786133,36.58369064331055,39.16910934448242,39.014278411865234,100,100,0,0,0,0,0,0,0,0,0,2.570791482925415,19327352832,2147483648,11544461312,1080229888
203,1772188049352,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.88881301879883,37.00954055786133,36.58369064331055,39.16910934448242,39.014278411865234,45,20,0,15.000000953674316,9.090909004211426,4.545454502105713,0,14.285715103149414,0,0,9.090909004211426,2.570791482925415,19327352832,2147483648,11551080448,1080229888
202,1772188049556,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.88881301879883,37.00954055786133,36.58369064331055,39.16910934448242,39.014278411865234,47.619049072265625,38.095237731933594,0,19.047618865966797,0,4.761904716491699,0,0,0,0,0,2.570791482925415,19327352832,2147483648,11534467072,1080229888
201,1772188049759,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.115234375,37.138431549072266,36.83260726928711,39.353797912597656,39.10307693481445,47.36842346191406,26.3157901763916,0,20,9.523809432983398,0,0,0,0,0,0,2.570791482925415,19327352832,2147483648,11534303232,1080229888
204,1772188049962,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.115234375,37.138431549072266,36.83260726928711,39.353797912597656,39.10307693481445,40,28.571430206298828,0,10,0,19.047618865966797,4.761904716491699,0,0,0,0,2.570791482925415,19327352832,2147483648,11534336000,1080229888
199,1772188050166,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.115234375,37.138431549072266,36.83260726928711,39.353797912597656,39.10307693481445,40,26.3157901763916,0,10,9.090909004211426,15.000000953674316,0,0,0,0,0,3.144274950027466,19327352832,2147483648,11534204928,1080229888
199,1772188050367,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.115234375,37.138431549072266,36.83260726928711,39.353797912597656,39.10307693481445,38.095237731933594,35,0,15.000000953674316,0,10,4.761904716491699,0,0,0,0,3.144274950027466,19327352832,2147483648,11534237696,1080229888
201,1772188050568,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.115234375,37.138431549072266,36.83260726928711,39.353797912597656,39.10307693481445,36.842105865478516,40,0,15.789472579956055,5,5,0,0,0,0,0,3.144274950027466,19327352832,2147483648,11534204928,1080229888
203,1772188050770,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.87905502319336,36.97091293334961,36.537841796875,39.12846755981445,38.985538482666016,42.105262756347656,42.105262756347656,0,10,5,0,0,0,0,0,0,3.144274950027466,19327352832,2147483648,11533516800,1080229888
