Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772188019453,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.98140335083008,37.208919525146484,36.739013671875,39.29197311401367,39.14173889160156,100,0,0,33.333335876464844,0,0,0,0,0,0,0,2.576331615447998,19327352832,2147483648,11559059456,1080229888
204,1772188019453,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.98140335083008,37.208919525146484,36.739013671875,39.29197311401367,39.14173889160156,0,50,0,NaN,100,50,0,0,0,0,0,2.576331615447998,19327352832,2147483648,11560534016,1080229888
203,1772188019659,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.15373992919922,37.28350067138672,36.910728454589844,39.44523239135742,39.22592544555664,42.85714340209961,25,0,14.285715103149414,5,0,0,10,0,0,4.545454502105713,2.576331615447998,19327352832,2147483648,11567218688,1080229888
201,1772188019863,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.15373992919922,37.28350067138672,36.910728454589844,39.44523239135742,39.22592544555664,42.105262756347656,26.3157901763916,0,21.052631378173828,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,2.576331615447998,19327352832,2147483648,11567120384,1080229888
201,1772188020066,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.15373992919922,37.28350067138672,36.910728454589844,39.44523239135742,39.22592544555664,47.619049072265625,30.000001907348633,0,14.285715103149414,5.263157844543457,0,0,0,0,0,0,2.576331615447998,19327352832,2147483648,11567431680,1080229888
200,1772188020268,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.15373992919922,37.28350067138672,36.910728454589844,39.44523239135742,39.22592544555664,42.105262756347656,35,4.761904716491699,15.000000953674316,4.761904716491699,0,0,0,0,0,0,2.641763925552368,19327352832,2147483648,11567448064,1080229888
203,1772188020470,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.15373992919922,37.28350067138672,36.910728454589844,39.44523239135742,39.22592544555664,45,35,0,15.789472579956055,10,0,5,0,0,0,0,2.641763925552368,19327352832,2147483648,11567497216,1080229888
204,1772188020675,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.94658279418945,37.18160629272461,36.72349166870117,39.27765655517578,39.121341705322266,45,35,0,15.000000953674316,5,5,0,0,0,0,0,2.641763925552368,19327352832,2147483648,11567497216,1080229888
202,1772188020880,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.94658279418945,37.18160629272461,36.72349166870117,39.27765655517578,39.121341705322266,42.85714340209961,30.000001907348633,0,14.285715103149414,5,4.761904716491699,0,0,0,0,0,2.641763925552368,19327352832,2147483648,11567497216,1080229888
204,1772188021083,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.94658279418945,37.18160629272461,36.72349166870117,39.27765655517578,39.121341705322266,36.842105865478516,40,0,10,9.523809432983398,0,0,0,0,0,0,2.641763925552368,19327352832,2147483648,11567497216,1080229888
203,1772188021288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.94658279418945,37.18160629272461,36.72349166870117,39.27765655517578,39.121341705322266,40,33.333335876464844,4.761904716491699,14.285715103149414,9.523809432983398,14.285715103149414,9.523809432983398,0,0,0,0,3.2130167484283447,19327352832,2147483648,11565711360,1080229888
201,1772188021492,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,36.94658279418945,37.18160629272461,36.72349166870117,39.27765655517578,39.121341705322266,35,36.842105865478516,19.047618865966797,10.526315689086914,0,0,0,9.523809432983398,0,0,0,3.2130167484283447,19327352832,2147483648,11565875200,1080229888
