Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772188078236,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.8935546875,36.92799758911133,36.5279655456543,39.01658630371094,38.95558547973633,0,0,0,0,50,0,0,0,0,0,0,2.7339894771575928,19327352832,2147483648,11580129280,1080229888
204,1772188078237,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.8935546875,36.92799758911133,36.5279655456543,39.01658630371094,38.95558547973633,100,50,0,100,0,0,50,0,0,0,0,2.7339894771575928,19327352832,2147483648,11581554688,1080229888
203,1772188078442,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.8935546875,36.92799758911133,36.5279655456543,39.01658630371094,38.95558547973633,36.842105865478516,25,0,25,4.761904716491699,0,0,14.285715103149414,0,0,0,2.7339894771575928,19327352832,2147483648,11587878912,1080229888
199,1772188078646,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.8935546875,36.92799758911133,36.5279655456543,39.01658630371094,38.95558547973633,47.619049072265625,35,0,20,5,13.636363983154297,0,0,0,0,0,2.7339894771575928,19327352832,2147483648,11587878912,1080229888
201,1772188078847,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.03302001953125,37.035648345947266,36.64494705200195,39.189510345458984,39.00926208496094,45,20,0,10,5,5.263157844543457,0,0,0,0,0,2.7339894771575928,19327352832,2147483648,11587878912,1080229888
203,1772188079049,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.03302001953125,37.035648345947266,36.64494705200195,39.189510345458984,39.00926208496094,42.105262756347656,35,4.545454502105713,19.047618865966797,5,0,0,0,0,0,4.761904716491699,2.7339894771575928,19327352832,2147483648,11587747840,1080229888
202,1772188079254,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.03302001953125,37.035648345947266,36.64494705200195,39.189510345458984,39.00926208496094,36.842105865478516,36.842105865478516,0,15.000000953674316,4.761904716491699,0,0,0,0,0,0,3.105408191680908,19327352832,2147483648,11587584000,1080229888
203,1772188079458,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,37.03302001953125,37.035648345947266,36.64494705200195,39.189510345458984,39.00926208496094,40,38.095237731933594,0,15.000000953674316,5.263157844543457,4.761904716491699,0,0,0,0,0,3.105408191680908,19327352832,2147483648,11587747840,1080229888
199,1772188079663,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.830623626708984,36.842899322509766,36.350563049316406,38.9028434753418,38.94380569458008,42.85714340209961,35,0,15.000000953674316,4.761904716491699,0,0,0,0,0,4.761904716491699,3.105408191680908,19327352832,2147483648,11587207168,1080229888
204,1772188079863,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.830623626708984,36.842899322509766,36.350563049316406,38.9028434753418,38.94380569458008,47.36842346191406,31.57894515991211,0,15.000000953674316,5,0,0,0,0,0,0,3.105408191680908,19327352832,2147483648,11587108864,1080229888
201,1772188080068,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.830623626708984,36.842899322509766,36.350563049316406,38.9028434753418,38.94380569458008,40,30.000001907348633,0,10,15.000000953674316,4.761904716491699,9.523809432983398,0,0,0,0,3.105408191680908,19327352832,2147483648,11587125248,1080229888
202,1772188080271,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.830623626708984,36.842899322509766,36.350563049316406,38.9028434753418,38.94380569458008,45,28.571430206298828,0,14.285715103149414,10,10,9.523809432983398,0,0,0,0,2.689673900604248,19327352832,2147483648,11585126400,1080229888
203,1772188080474,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.830623626708984,36.842899322509766,36.350563049316406,38.9028434753418,38.94380569458008,35,26.3157901763916,0,15.000000953674316,9.523809432983398,5,0,0,0,0,0,2.689673900604248,19327352832,2147483648,11585437696,1080229888
204,1772188080679,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.800601959228516,36.783363342285156,36.29514694213867,38.84526824951172,38.938079833984375,40,35,0,15.000000953674316,5,0,0,0,0,0,0,2.689673900604248,19327352832,2147483648,11585437696,1080229888
201,1772188080884,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.800601959228516,36.783363342285156,36.29514694213867,38.84526824951172,38.938079833984375,45,38.095237731933594,0,10,4.761904716491699,5,0,0,0,0,0,2.689673900604248,19327352832,2147483648,11584684032,1080229888
200,1772188081086,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.800601959228516,36.783363342285156,36.29514694213867,38.84526824951172,38.938079833984375,40,35,4.761904716491699,15.000000953674316,5,4.761904716491699,0,0,0,0,0,2.689673900604248,19327352832,2147483648,11584667648,1080229888
202,1772188081288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.800601959228516,36.783363342285156,36.29514694213867,38.84526824951172,38.938079833984375,40,42.105262756347656,0,10.526315689086914,5.263157844543457,0,4.761904716491699,0,0,0,0,2.6451163291931152,19327352832,2147483648,11584356352,1080229888
204,1772188081491,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.800601959228516,36.783363342285156,36.29514694213867,38.84526824951172,38.938079833984375,35,33.333335876464844,0,10,4.761904716491699,0,0,0,0,0,0,2.6451163291931152,19327352832,2147483648,11584356352,1080229888
202,1772188081696,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.772891998291016,36.74697494506836,36.25302505493164,38.82768249511719,38.930152893066406,42.105262756347656,31.57894515991211,0,23.809524536132813,5,0,0,0,0,0,0,2.6451163291931152,19327352832,2147483648,11584356352,1080229888
204,1772188081900,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.772891998291016,36.74697494506836,36.25302505493164,38.82768249511719,38.930152893066406,38.095237731933594,20,0,25,5,4.545454502105713,0,0,0,0,4.545454502105713,2.6451163291931152,19327352832,2147483648,11584356352,1080229888
202,1772188082105,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.772891998291016,36.74697494506836,36.25302505493164,38.82768249511719,38.930152893066406,36.842105865478516,30.000001907348633,0,10,9.523809432983398,0,0,0,0,0,0,2.6451163291931152,19327352832,2147483648,11584372736,1080229888
201,1772188082308,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.772891998291016,36.74697494506836,36.25302505493164,38.82768249511719,38.930152893066406,42.85714340209961,35,19.047618865966797,15.000000953674316,9.523809432983398,5,14.285715103149414,0,0,0,0,2.6304426193237305,19327352832,2147483648,11584471040,1080229888
202,1772188082511,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.772891998291016,36.74697494506836,36.25302505493164,38.82768249511719,38.930152893066406,31.57894515991211,20,0,10,0,0,23.809524536132813,0,0,0,0,2.6304426193237305,19327352832,2147483648,11584421888,1080229888
200,1772188082715,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.77667999267578,36.7255744934082,36.31515121459961,38.83934020996094,38.930171966552734,38.095237731933594,25,0,19.047618865966797,5,5,10.526315689086914,0,0,0,0,2.6304426193237305,19327352832,2147483648,11584421888,1080229888
202,1772188082916,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.77667999267578,36.7255744934082,36.31515121459961,38.83934020996094,38.930171966552734,42.105262756347656,35,0,10.526315689086914,5,0,5,4.761904716491699,4.761904716491699,0,4.761904716491699,2.6304426193237305,19327352832,2147483648,11584569344,1080229888
202,1772188083119,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.77667999267578,36.7255744934082,36.31515121459961,38.83934020996094,38.930171966552734,36.842105865478516,25,0,14.285715103149414,19.047618865966797,0,0,0,0,0,0,2.6304426193237305,19327352832,2147483648,11584552960,1080229888
204,1772188083322,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.77667999267578,36.7255744934082,36.31515121459961,38.83934020996094,38.930171966552734,42.85714340209961,30.000001907348633,9.523809432983398,10,10.526315689086914,9.523809432983398,4.761904716491699,5,0,0,5,2.581566572189331,19327352832,2147483648,11599167488,1080229888
8,1772188083527,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.625,36.77667999267578,36.7255744934082,36.31515121459961,38.83934020996094,38.930171966552734,45,40,15.000000953674316,15.000000953674316,14.285715103149414,14.285715103149414,0,19.047618865966797,0,4.761904716491699,20,2.581566572189331,19327352832,2147483648,11578327040,1080229888
