model,round,seconds,gen_tokens,tok_per_sec,energy_j,j_per_token,mean_temp_c,max_temp_c,quant
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,1,12.05946135520935,256,21.228145475122332,784.3158666809798,3.063733854222577,76.88288288288288,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,1,13.300331592559814,256,19.247640422980584,864.1205127763748,3.375470753032714,76.84552845528455,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,1,11.467446327209473,256,22.324063500744188,752.4720333651305,2.939343880332541,76.34905660377359,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,1,13.383585691452026,256,19.127908312606007,879.0317925087213,3.4337179394871926,76.41463414634147,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,1,16.792295932769775,256,15.245086260087994,1097.1925391637087,4.285908356108237,76.7987012987013,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,2,11.980544805526733,256,21.367976511544356,778.4948767609596,3.0409956123474986,76.67272727272727,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,2,13.307087898254395,256,19.237867966107125,873.5330458949803,3.412238460527267,76.70731707317073,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,2,11.518448114395142,256,22.225216232043,757.9094703767299,2.9605838686591013,76.41509433962264,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,2,13.441916942596436,256,19.044902679673243,877.6968742735386,3.42850341513101,76.58870967741936,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,2,16.80843186378479,256,15.230451125638554,1102.1906045405863,4.305432048986665,76.8258064516129,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,3,11.925419569015503,256,21.466749955291842,776.9267148485183,3.0348699798770244,76.60909090909091,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,3,13.256941080093384,256,19.310638740365942,861.7423250336647,3.3661809571627526,76.61475409836065,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,3,11.46481966972351,256,22.329178074736678,751.6367006622553,2.9360808619619347,76.25714285714285,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,3,13.38500428199768,256,19.12588106858585,880.3484168533087,3.438861003333237,76.34677419354838,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,3,16.779518365859985,256,15.256695360271115,1101.6623799066545,4.303368671510369,76.74025974025975,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,4,11.994239091873169,256,21.343579866892572,780.3370316203832,3.048191529767122,76.8,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,4,13.292840719223022,256,19.25848698614087,863.1621813353299,3.3717272708411326,76.76229508196721,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,4,11.447889804840088,256,22.362199878248738,753.0463996315003,2.941587498560548,76.33962264150944,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,4,13.307535648345947,256,19.23722068193891,873.969888650298,3.4139448775402266,76.26016260162602,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,4,16.734978914260864,256,15.297300421564755,1098.2611984245777,4.290082806346007,76.66233766233766,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,5,12.00542664527893,256,21.323690324714168,781.0090172843932,3.050816473767161,76.86486486486487,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,5,13.32079267501831,256,19.21807554891985,875.6969251099824,3.420691113710869,76.89430894308943,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,5,11.473610639572144,256,22.312069673783732,752.9381906231642,2.9411648071217353,76.27619047619048,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,5,13.286917924880981,256,19.267071675111076,864.3072153413295,3.3762000599270685,76.1639344262295,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,5,16.735323667526245,256,15.296985292059247,1096.8965592856407,4.284752184709534,76.69281045751634,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,6,11.92919397354126,256,21.45995786201511,779.3531334248781,3.0443481774409302,76.53636363636363,78.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,6,13.251631498336792,256,19.318376007673507,869.8159346503019,3.3977184947277417,76.6260162601626,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,6,11.529937267303467,256,22.203069632127438,755.00043405509,2.949220445527695,76.34905660377359,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,6,13.392261028289795,256,19.115517496203662,876.259716745496,3.422889518537094,76.3739837398374,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,6,16.6412456035614,256,15.383463840303715,1092.248309523821,4.266594959077426,76.37254901960785,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,7,11.993648290634155,256,21.344631241180426,784.2693335901499,3.063552084336523,76.77477477477477,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,7,13.306939125061035,256,19.238083047804263,870.5112423636913,3.400434540483169,76.89430894308943,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,7,11.479089260101318,256,22.301420800846746,748.1151341830491,2.9223247429025356,76.14285714285714,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,7,13.332656145095825,256,19.20097520059159,874.8276318379641,3.417295436867047,76.28455284552845,78.0,Q5_K_M
Meta-Llama-3.1-8B-Instruct-Q6_K.gguf,7,16.81423830986023,256,15.225191607393604,1102.0337034538984,4.304819154116791,76.83766233766234,79.0,Q6_K
Meta-Llama-3.1-8B-Instruct-Q2_K.gguf,8,12.047637701034546,256,21.248978957760073,787.4691530892848,3.0760513792550186,76.83035714285714,79.0,Q2_K
Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf,8,13.3120596408844,256,19.230683072795518,873.4813131594658,3.4120363795291633,76.92682926829268,79.0,Q3_K_M
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,8,11.545908212661743,256,22.17235710563326,757.3577778832913,2.9584288198566067,76.4245283018868,78.0,Q4_K_M
Meta-Llama-3.1-8B-Instruct-Q5_K_M.gguf,8,13.371357202529907,256,19.145401332301848,869.2230390400886,3.395402496250346,76.34959349593495,78.0,Q5_K_M
