Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771955927219,8203.161758422852,4020.0000000000005,1,0.40625,117061.41957092285,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,6.96099853515625,0,0,0,0,0,0,0,35.726890563964844,0,0,0,0,0,0,0,33411727360,21474836480,18768838656,0
199,1771955927220,8203.165939331055,5025,0,0.39375000000000004,117061.44906616211,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,21474836480,18768871424,0
199,1771955927419,6507.762542724609,3900,1,0.48124999999999996,117067.13119506836,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,6.038330078125,4.4234619140625,3.5635147094726563,2.0981216430664063,2.0543670654296875,1.8668060302734375,2.0053787231445313,2.090667724609375,72.55843353271484,19.166839599609375,2.207244873046875,2.0723724365234375,6.131965637207031,2.744415283203125,12.264068603515625,5.0605316162109375,33411727360,21474836480,18785574912,0
199,1771955927620,6508.213394165039,3250,1,0.48750000000000004,117072.63905334473,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.0196075439453125,2.6448211669921875,0.563629150390625,0.4080047607421875,0.34853363037109375,0.33913421630859375,0.49016571044921875,0.46642303466796875,4.143699645996094,68.65119171142578,0.39011383056640625,0.6474838256835938,1.7366104125976563,1.4759368896484375,17.504493713378906,18.934906005859375,33411727360,21474836480,18787602432,0
200,1771955927820,6508.265335083008,3250,1,0.4937499999999999,117078.05104064941,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.0357437133789063,1.30877685546875,0.41852569580078125,0.403778076171875,0.31653594970703125,0.32633209228515625,0.9301300048828125,0.381500244140625,50.35564041137695,50.233070373535156,0.573272705078125,0.40972900390625,1.7044143676757813,1.564208984375,2.8622512817382813,1.2620620727539063,33411727360,21474836480,18784894976,0
200,1771955928020,6508.342041015625,4850,0,0.48124999999999996,117083.43278503418,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.756927490234375,3.4572372436523438,0.48058319091796875,0.4106597900390625,0.37908935546875,1.16973876953125,0.2728118896484375,0.4567413330078125,97.10214233398438,2.6102371215820313,0.28687286376953125,0.4829254150390625,0.956329345703125,0.5209808349609375,2.9402999877929688,3.8093948364257813,33411727360,21474836480,18765336576,0
200,1771955928220,6508.43391418457,3250,1,0.5,117088.92756652832,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.4143905639648438,1.4180145263671875,0.44200897216796875,0.5789642333984375,0.19310760498046875,0.24102020263671875,0.27715301513671875,0.33090972900390625,38.262359619140625,61.41925811767578,0.5482177734375,0.3479766845703125,1.2173233032226563,0.7628860473632813,1.79254150390625,4.534080505371094,33411727360,21474836480,18765131776,0
200,1771955928421,6508.868392944336,4850,0,0.48124999999999996,117095.03031921387,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,12.747383117675781,8.615280151367188,3.0645523071289063,2.9949111938476563,0.4440460205078125,0.65252685546875,0.5849838256835938,0.782379150390625,95.49044799804688,6.016304016113281,1.9954071044921875,1.5858383178710938,7.462799072265625,5.356880187988281,27.187171936035156,9.267562866210938,33411727360,21474836480,18789072896,0
200,1771955928621,4169.017181396484,3250,1,0.4937499999999999,117100.51268005371,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.829032897949219,2.8573760986328125,0.671173095703125,0.444854736328125,0.38568878173828125,0.302886962890625,0.3392486572265625,1.4854049682617188,28.561866760253906,58.93950653076172,0.420806884765625,0.41182708740234375,2.420501708984375,1.0729217529296875,3.9456100463867188,22.570266723632813,33411727360,21474836480,18777702400,0
200,1771955928821,6509.772796630859,4850,0,0.5,117106.43098449707,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.414306640625,2.1764602661132813,0.9795608520507813,1.524200439453125,0.4453582763671875,0.33364105224609375,0.37958526611328125,0.6215972900390625,32.717864990234375,46.988731384277344,0.3858795166015625,0.5496826171875,1.86962890625,1.4054946899414063,36.84640121459961,14.606460571289063,33411727360,21474836480,18776543232,0
