Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772042192947,7710.257354736328,5050,0,0.36250000000000004,105987.65635681152,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,34157330432,3662082048,0
200,1772042192947,7710.261459350586,4000,1,0.375,105987.68444824219,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,34157330432,3662204928,0
200,1772042193148,7710.427993774414,3166.666666666667,1,0.46875,105992.79818725586,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,6.74273681640625,4.4911346435546875,4.3213348388671875,4.174446105957031,4.330848693847656,4.043083190917969,4.1107330322265625,4.084114074707031,86.05937194824219,8.326507568359375,4.1762237548828125,4.106842041015625,4.443138122558594,4.309989929199219,12.177543640136719,6.7273101806640625,33411727360,34157330432,7961960448,0
200,1772042193348,7710.43489074707,3233.3333333333335,1,0.53125,105997.2547454834,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.2378921508789063,0.26880645751953125,0.2323760986328125,0.13994598388671875,0.0977783203125,0.16522979736328125,0.18001556396484375,0.227630615234375,22.68006134033203,0.913330078125,0.16272735595703125,0.13190460205078125,0.16962432861328125,0.30147552490234375,0.5188217163085938,0.4776458740234375,33411727360,34157330432,7078744064,0
200,1772042193548,7710.449172973633,3366.6666666666665,1,0.41874999999999996,106002.38166809082,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.7159805297851563,0.5412139892578125,0.1486358642578125,0.22379302978515625,0.31027984619140625,0.18962860107421875,0.171875,0.06134796142578125,58.185935974121094,3.5041351318359375,0.1098785400390625,0.1486358642578125,0.2869415283203125,0.16918182373046875,0.8062591552734375,1.5537109375,33411727360,34157330432,5825794048,0
200,1772042193749,7710.543807983398,3366.6666666666665,1,0.4125000000000001,106007.92359924316,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.4419631958007813,0.5256881713867188,0.4131317138671875,0.37400054931640625,0.250213623046875,0.28136444091796875,0.4955902099609375,0.26738739013671875,100,0.33072662353515625,0.3217926025390625,0.4042510986328125,0.32269287109375,0.6365432739257813,9.116744995117188,0.5413131713867188,33411727360,34157330432,7475286016,0
200,1772042193949,8919.095520019531,4850,0,0.5249999999999999,106012.43659973145,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.7869949340820313,0.25946807861328125,0.189422607421875,0.21244049072265625,0.11383056640625,0.13884735107421875,0.12511444091796875,0.1029510498046875,48.360084533691406,2.1479949951171875,0.24588775634765625,0.21483612060546875,0.21393585205078125,0.20215606689453125,2.5944366455078125,0.5108489990234375,33411727360,34157330432,8451088384,0
199,1772042194149,7710.586090087891,3366.6666666666665,1,0.41874999999999996,106017.8475189209,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.48841094970703125,0.459259033203125,0.2423553466796875,0.073516845703125,0.16614532470703125,0.0400238037109375,0.05928802490234375,0.0613861083984375,72.94840240478516,0.39243316650390625,0.208770751953125,0.1249237060546875,0.1173858642578125,0.3583984375,1.4573822021484375,0.7312164306640625,33411727360,34157330432,7979257856,0
200,1772042194350,7710.610244750977,4040,1,0.42500000000000004,106023.34135437012,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.4128646850585938,0.5530548095703125,0.40716552734375,0.226959228515625,0.411712646484375,0.12691497802734375,0.2357940673828125,0.17685699462890625,100,0.3192596435546875,0.18540191650390625,0.2128753662109375,0.299530029296875,0.47473907470703125,2.1727752685546875,1.80377197265625,33411727360,34157330432,8932335616,0
199,1772042194550,7710.636932373047,4040,1,0.42500000000000004,106028.98916625977,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.436981201171875,0.41162872314453125,0.20441436767578125,0.4430694580078125,0.14977264404296875,0.16898345947265625,0.1489715576171875,0.16384124755859375,100,0.22063446044921875,0.1547088623046875,0.192138671875,0.20676422119140625,0.27188873291015625,3.01495361328125,0.8366317749023438,33411727360,34157330432,9844101120,0
