Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771955546371,6553.59196472168,4040,1,0.39375000000000004,106554.99493408203,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,30.19800567626953,1.8873748779296875,8.593162536621094,1.1444549560546875,0,0.277984619140625,0,0,21.217933654785156,5.203697204589844,0,0,4.304710388183594,2.1978759765625,21.91046142578125,52.24176788330078,33411727360,21474836480,19063263232,0
199,1771955546371,6553.595718383789,4040,1,0.39375000000000004,106555.02124023438,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,21474836480,19063267328,0
199,1771955546571,6554.05322265625,3266.6666666666665,1,0.48750000000000004,106560.73272705078,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,8.476417541503906,2.8253707885742188,1.7777557373046875,1.3526153564453125,0.8981246948242188,0.9696884155273438,1.0972442626953125,1.4893722534179688,29.56446075439453,6.5577239990234375,1.8848724365234375,1.334014892578125,2.6190948486328125,3.8384780883789063,22.53022003173828,53.88835525512695,33411727360,21474836480,19083767808,0
200,1771955546771,6001.66047668457,4850,0,0.4937499999999999,106566.45967102051,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.745513916015625,1.5362777709960938,0.5637664794921875,0.5656661987304688,0.36241912841796875,3.512237548828125,0.38031005859375,0.35301971435546875,6.266899108886719,8.06939697265625,0.48675537109375,0.43598175048828125,1.9140396118164063,2.6536636352539063,55.419151306152344,43.128929138183594,33411727360,21474836480,19086258176,0
200,1771955546972,6001.699508666992,3250,1,0.5,106571.78033447266,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.0906143188476563,1.679046630859375,0.25670623779296875,0.23816680908203125,0.2315673828125,0.2693939208984375,0.25020599365234375,1.1210098266601563,99.77168273925781,0.303131103515625,0.2069854736328125,0.23366546630859375,0.762115478515625,0.8668594360351563,1.8918228149414063,1.9717330932617188,33411727360,21474836480,19086090240,0
200,1771955547172,6001.781539916992,3250,1,0.5,106577.21673583984,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.3201675415039063,2.8422317504882813,0.6932601928710938,0.6459274291992188,0.34073638916015625,0.6994476318359375,0.5228652954101563,0.4854736328125,100,1.5601043701171875,0.49990081787109375,0.2631072998046875,0.8223648071289063,1.166351318359375,4.491203308105469,2.7037429809570313,33411727360,21474836480,19080282112,0
200,1771955547372,6001.8927001953125,4850,0,0.5,106582.66946411133,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.738685607910156,3.627838134765625,0.8960494995117188,0.8142623901367188,1.1491012573242188,0.784881591796875,0.49523162841796875,0.5263519287109375,39.978275299072266,64.76759338378906,0.515625,0.398529052734375,1.0113525390625,2.158660888671875,3.9121551513671875,3.8387451171875,33411727360,21474836480,19080118272,0
200,1771955547573,6002.458755493164,4850,0,0.5,106589.31239318848,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,24.485504150390625,17.34442901611328,6.604087829589844,2.2089691162109375,1.5548171997070313,2.3316268920898438,2.5732498168945313,1.36358642578125,93.04621887207031,8.563438415527344,3.5997238159179688,2.1963348388671875,10.775505065917969,9.225883483886719,36.58918762207031,21.785842895507813,33411727360,21474836480,19079540736,0
200,1771955547773,6002.660949707031,3233.3333333333335,1,0.5,106595.40226745605,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,5.8009185791015625,6.058982849121094,0.984771728515625,0.930450439453125,1.6725845336914063,4.493385314941406,0.6000442504882813,0.45661163330078125,97.50704956054688,0.6968994140625,0.54522705078125,0.42890167236328125,0.9758834838867188,3.4252471923828125,8.263916015625,6.102668762207031,33411727360,21474836480,19078344704,0
200,1771955547973,6002.897811889648,3233.3333333333335,1,0.5,106601.35008239746,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,7.8667144775390625,4.3614959716796875,1.197906494140625,0.7728118896484375,0.36952972412109375,0.25411224365234375,0.3629913330078125,0.3306884765625,100,1.827545166015625,0.6907882690429688,0.767822265625,1.609527587890625,2.9435272216796875,8.889442443847656,10.102279663085938,33411727360,21474836480,19078283264,0
199,1771955548173,6003.221603393555,4850,0,0.5,106607.50331115723,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,10.19415283203125,4.921134948730469,3.1063156127929688,1.7593231201171875,0.26776123046875,0.2594146728515625,0.40428924560546875,0.501800537109375,99.75396728515625,0.3467864990234375,0.6839828491210938,0.6020126342773438,2.0270843505859375,3.7944488525390625,11.120376586914063,15.790489196777344,33411727360,21474836480,19082817536,0
200,1771955548373,6003.495223999023,3233.3333333333335,1,0.5,106613.60102844238,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,8.822113037109375,7.8383026123046875,0.7570037841796875,0.462158203125,0.21640777587890625,0.8843231201171875,0.4177703857421875,0.36107635498046875,98.25879669189453,1.6453781127929688,0.5682373046875,0.45571136474609375,1.6897201538085938,4.4140777587890625,9.810165405273438,12.099563598632813,33411727360,21474836480,19082579968,0
199,1771955548574,6003.622009277344,3233.3333333333335,1,0.5,106619.31031799316,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.3811721801757813,2.0489578247070313,0.9024810791015625,0.5848388671875,0.34307861328125,0.46256256103515625,0.35166168212890625,0.35430908203125,99.55274963378906,0.46511077880859375,0.5665817260742188,0.41766357421875,1.5206451416015625,1.5980224609375,4.406776428222656,2.5450439453125,33411727360,21474836480,19084922880,0
200,1771955548774,6003.728820800781,3900,1,0.5,106625.12245178223,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,5.839790344238281,5.160072326660156,0.8714447021484375,1.2054061889648438,0.286285400390625,2.9633255004882813,0.540679931640625,0.4830474853515625,6.6029815673828125,94.04510498046875,0.417327880859375,0.49564361572265625,0.9303131103515625,1.3283538818359375,2.5927810668945313,7.053741455078125,33411727360,21474836480,19081330688,0
200,1771955548974,6004.008193969727,4850,0,0.5,106631.2124786377,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,9.0377197265625,6.8335113525390625,0.9312515258789063,0.694244384765625,0.13095855712890625,0.2284698486328125,0.16980743408203125,0.2213287353515625,0.2708587646484375,100,0.46547698974609375,0.4609832763671875,1.8673477172851563,5.2974853515625,8.843452453613281,15.590835571289063,33411727360,21474836480,19081621504,0
