Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772042065697,8442.210494995117,3960,1,0.3999999999999999,102594.65643310547,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,34157330432,4071804928,0
200,1772042065697,8442.214279174805,4925,0,0.40625,102594.69285583496,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,89.5267333984375,94.60980987548828,94.46216583251953,85.70162963867188,85.09725189208984,85.53626251220703,85.33348846435547,85.76068878173828,98.37979125976563,85.23506164550781,85.22127532958984,93.8243179321289,85.82958984375,86.880859375,98.27348327636719,85.364990234375,33411727360,34157330432,4071825408,0
199,1772042065898,7343.345901489258,3366.6666666666665,1,0.39375000000000004,102600.10513305664,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.8551483154296875,1.1420669555664063,0.40570831298828125,0.377349853515625,0.0926055908203125,0.129241943359375,0.21441650390625,0.226776123046875,37.88871383666992,54.77890396118164,0.3704681396484375,0.218109130859375,0.6319427490234375,0.646942138671875,8.489799499511719,3.6046905517578125,33411727360,34157330432,6228197376,0
200,1772042066098,7343.357849121094,3366.6666666666665,1,0.4125000000000001,102605.94438171387,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.9586257934570313,0.7143096923828125,0.5883636474609375,0.5264129638671875,0.25693511962890625,0.44298553466796875,0.35355377197265625,0.5181732177734375,0.8615875244140625,100,0.6969680786132813,0.36814117431640625,4.4604949951171875,0.514373779296875,2.2300491333007813,1.219390869140625,33411727360,34157330432,6936936448,0
199,1772042066298,7343.38801574707,4040,1,0.41874999999999996,102611.50245666504,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.38702392578125,0.5414199829101563,0.37886810302734375,0.371978759765625,0.1471710205078125,0.16359710693359375,0.42455291748046875,0.6273880004882813,2.4612350463867188,100,0.27307891845703125,0.24422454833984375,0.6060714721679688,1.1354598999023438,3.124267578125,1.0439987182617188,33411727360,34157330432,8389992448,0
200,1772042066498,7343.408981323242,4040,1,0.41874999999999996,102617.05589294434,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.1118240356445313,0.49204254150390625,0.201812744140625,0.217010498046875,0.13344573974609375,0.1324920654296875,0.3343048095703125,0.29332733154296875,0.5560150146484375,100,0.237396240234375,0.25218963623046875,0.17972564697265625,0.3395538330078125,1.3415756225585938,1.9174346923828125,33411727360,34157330432,9326239744,0
200,1772042066699,8447.914520263672,5050,0,0.42500000000000004,102623.41522216797,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,5.725410461425781,1.3833999633789063,0.8899612426757813,1.162506103515625,0.8755874633789063,0.799530029296875,0.9192581176757813,1.776031494140625,12.82183837890625,78.5069808959961,0.8532257080078125,0.8561248779296875,1.9953765869140625,0.9927749633789063,10.163185119628906,3.4422149658203125,33411727360,34157330432,9326215168,0
200,1772042066899,8449.871170043945,5000,0,0.5,102629.22689819336,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.2766571044921875,0.96038818359375,0.5795669555664063,0.6102218627929688,0.4823150634765625,0.5100784301757813,0.5099716186523438,0.526702880859375,40.991790771484375,9.704795837402344,0.5420761108398438,0.5268478393554688,0.780364990234375,0.6404266357421875,43.8056640625,4.148094177246094,33411727360,44951392256,9326379008,0
200,1772042067100,8451.685485839844,5050,0,0.4125000000000001,102634.93278503418,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.6216354370117188,0.3242645263671875,1.5828475952148438,0,0.066650390625,0,0,0,36.633670806884766,9.874153137207031,0.1518707275390625,0,0.15372467041015625,0.099700927734375,23.459976196289063,31.030311584472656,33411727360,44951392256,9328906240,0
200,1772042067300,4415.729705810547,3366.6666666666665,1,0.39375000000000004,102641.43458557129,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.1119766235351563,0.41254425048828125,22.524147033691406,0.33001708984375,0.308074951171875,0.3082275390625,0.3660736083984375,0.6257247924804688,49.36943817138672,0.7645034790039063,0.48281097412109375,0.36641693115234375,0.48155975341796875,0.39409637451171875,43.50547409057617,3.4762496948242188,33411727360,44951392256,9328476160,0
