Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772105344837,900,899,900,900,900,899,900,899,8.823529243469238,8.571429252624512,8.823529243469238,8.571429252624512,8.823529243469238,8.823529243469238,5.882352828979492,9.090909004211426,4234.302734375,32420.31982421875,26512.044799804688,1557.5411376953125,33360306176,2147479552,5032857600,0
199,1772105344837,900,899,900,900,900,899,900,899,8.823529243469238,8.571429252624512,8.823529243469238,8.571429252624512,8.823529243469238,8.823529243469238,5.882352828979492,9.090909004211426,4234.303649902344,32420.320739746094,26512.044799804688,1557.5411376953125,33360306176,2147479552,5032857600,0
199,1772105345037,900,899,900,900,900,899,900,899,15.000000953674316,15.789472579956055,38.095237731933594,31.57894515991211,10,25,14.285715103149414,23.809524536132813,4234.473327636719,32421.813903808594,26513.339111328125,1557.5411376953125,33360306176,2147479552,5056282624,0
199,1772105345238,900,899,900,900,900,899,900,899,15.789472579956055,25,30.000001907348633,21.052631378173828,15.789472579956055,11.111111640930176,26.3157901763916,20,4234.6104736328125,32422.389282226563,26513.61407470703,1557.5411376953125,33360306176,2147479552,5059883008,0
199,1772105345437,900,899,900,900,900,899,900,899,15.789472579956055,25,30.000001907348633,21.052631378173828,15.789472579956055,11.111111640930176,26.3157901763916,20,4234.791564941406,32425.459350585938,26516.355041503906,1557.5411376953125,33360306176,2147479552,5067792384,0
199,1772105345637,900,899,900,900,900,899,900,899,12.820513725280762,10.256410598754883,12.820513725280762,7.500000476837158,17.5,17.948719024658203,18.421052932739258,36.842105865478516,4234.9493408203125,32429.10321044922,26519.65087890625,1557.5825805664063,33360306176,2147479552,5067792384,0
200,1772105345837,900,899,900,900,900,899,900,899,15.000000953674316,10.526315689086914,10,15.000000953674316,5,23.809524536132813,19.047618865966797,15.000000953674316,4235.0731201171875,32431.612365722656,26521.97052001953,1557.5825805664063,33360306176,2147479552,5067116544,0
200,1772105346037,900,899,900,900,900,899,900,899,10,10,4.761904716491699,23.809524536132813,21.052631378173828,5,31.57894515991211,0,4235.1951904296875,32434.688415527344,26524.802856445313,1557.5825805664063,33360306176,2147479552,5067116544,0
199,1772105346238,900,899,900,900,900,899,900,899,30.000001907348633,28.571430206298828,0,10.526315689086914,10,14.285715103149414,30.000001907348633,5,4235.330505371094,32437.566650390625,26527.494079589844,1557.5825805664063,33360306176,2147479552,5068890112,0
199,1772105346438,900,899,900,900,900,899,900,899,0,15.000000953674316,10,20,30.000001907348633,15.789472579956055,5,10,4235.449890136719,32441.253540039063,26530.99755859375,1557.5825805664063,33360306176,2147479552,5069402112,0
199,1772105346638,900,899,900,900,900,899,900,899,20,20,4.761904716491699,10,15.000000953674316,10,30.000001907348633,10,4235.572692871094,32443.665283203125,26533.221801757813,1557.5825805664063,33360306176,2147479552,5069660160,0
199,1772105346838,900,899,900,900,900,899,900,899,26.3157901763916,25,10.526315689086914,0,15.000000953674316,10,10,33.333335876464844,4235.697570800781,32446.993530273438,26536.36895751953,1557.5825805664063,33360306176,2147479552,5067591680,0
199,1772105347038,900,899,900,900,900,899,900,899,15.000000953674316,20,25,5.263157844543457,0,10,10,10.526315689086914,4235.816467285156,32449.88055419922,26539.072814941406,1557.5825805664063,33360306176,2147479552,5067849728,0
200,1772105347238,900,899,900,900,900,899,900,899,23.809524536132813,25,5,9.523809432983398,26.3157901763916,0,10,15.789472579956055,4235.9425048828125,32453.433959960938,26542.443969726563,1557.5825805664063,33360306176,2147479552,5068881920,0
199,1772105347438,900,899,900,900,900,899,900,899,10,20,10,10.526315689086914,14.285715103149414,19.047618865966797,20,10,4236.0635986328125,32456.096313476563,26544.924865722656,1557.5825805664063,33360306176,2147479552,5068881920,0
199,1772105347638,900,899,900,900,900,899,900,899,10.526315689086914,20,5,20,20,4.761904716491699,25,4.761904716491699,4236.1834716796875,32458.609924316406,26547.25653076172,1557.5825805664063,33360306176,2147479552,5068881920,0
199,1772105347838,900,899,900,900,900,899,900,899,0,10.526315689086914,4.761904716491699,20,15.789472579956055,10.526315689086914,20,25,4236.304382324219,32460.730590820313,26549.195251464844,1557.5825805664063,33360306176,2147479552,5066944512,0
199,1772105348038,900,899,900,900,900,899,900,899,0,20,0,5,28.571430206298828,5,20,26.3157901763916,4236.4224853515625,32462.633728027344,26550.918884277344,1557.5825805664063,33360306176,2147479552,5066682368,0
199,1772105348238,900,899,900,900,900,899,900,899,5,15.000000953674316,19.047618865966797,20,30.000001907348633,0,15.000000953674316,0,4236.54052734375,32464.237365722656,26552.342407226563,1557.5825805664063,33360306176,2147479552,5066424320,0
199,1772105348438,900,899,900,900,900,899,900,899,23.809524536132813,15.000000953674316,21.052631378173828,23.809524536132813,10,0,19.047618865966797,15.000000953674316,4236.66748046875,32465.751342773438,26553.671875,1557.5825805664063,33360306176,2147479552,5066682368,0
199,1772105348639,900,899,900,900,900,899,900,899,20,20,0,21.052631378173828,10.526315689086914,0,15.789472579956055,23.809524536132813,4236.794616699219,32467.05584716797,26554.793029785156,1557.5825805664063,33360306176,2147479552,5064630272,0
199,1772105348839,900,899,900,900,900,899,900,899,31.57894515991211,15.000000953674316,10,0,5,19.047618865966797,15.789472579956055,10.526315689086914,4236.9136962890625,32469.026611328125,26556.583618164063,1557.5825805664063,33360306176,2147479552,5061431296,0
199,1772105349039,900,899,900,900,900,899,900,899,15.789472579956055,20,10,20,10,0,20,10,4237.033264160156,32470.49365234375,26557.869873046875,1557.5825805664063,33360306176,2147479552,5061099520,0
200,1772105349239,900,899,900,900,900,899,900,899,20,31.57894515991211,14.285715103149414,10.526315689086914,10,0,19.047618865966797,0,4237.15185546875,32471.728942871094,26558.925354003906,1557.5825805664063,33360306176,2147479552,5061099520,0
199,1772105349439,900,899,900,900,900,899,900,899,42.85714340209961,10,0,4.761904716491699,0,10,10.526315689086914,35,4237.271179199219,32472.669799804688,26559.68603515625,1557.5825805664063,33360306176,2147479552,5061099520,0
200,1772105349639,900,899,900,900,900,899,900,899,25,4.761904716491699,0,5,0,20,20,31.57894515991211,4237.3916015625,32475.14324951172,26561.976989746094,1557.5825805664063,33360306176,2147479552,5060583424,0
200,1772105349839,900,899,900,900,900,899,900,899,15.000000953674316,15.000000953674316,4.761904716491699,20,28.571430206298828,19.047618865966797,20,0,4237.511779785156,32477.16064453125,26563.81378173828,1557.5825805664063,33360306176,2147479552,5057388544,0
199,1772105350039,900,899,900,900,900,899,900,899,30.000001907348633,15.000000953674316,5.263157844543457,5.263157844543457,15.000000953674316,20,20,5,4237.632507324219,32478.526977539063,26564.999572753906,1557.5825805664063,33360306176,2147479552,5057646592,0
199,1772105350239,900,899,900,900,900,899,900,899,21.052631378173828,5.263157844543457,5,10,5.263157844543457,30.000001907348633,5,15.000000953674316,4237.7532958984375,32480.269287109375,26566.558471679688,1557.5825805664063,33360306176,2147479552,5057646592,0
199,1772105350439,900,899,900,900,900,899,900,899,10,15.000000953674316,23.809524536132813,15.000000953674316,15.000000953674316,15.789472579956055,0,15.000000953674316,4237.873107910156,32483.205993652344,26569.31512451172,1557.5825805664063,33360306176,2147479552,5057646592,0
199,1772105350639,900,899,900,900,900,899,900,899,15.000000953674316,25,10.526315689086914,20,0,5,15.000000953674316,14.285715103149414,4237.992126464844,32486.02227783203,26571.93829345703,1557.5825805664063,33360306176,2147479552,5057646592,0
199,1772105350839,900,899,900,900,900,899,900,899,10.526315689086914,25,0,38.095237731933594,0,5,15.000000953674316,10.526315689086914,4238.112609863281,32488.93878173828,26574.547607421875,1557.5825805664063,33360306176,2147479552,5056471040,0
200,1772105351039,900,899,900,900,900,899,900,899,20,15.789472579956055,15.000000953674316,23.809524536132813,0,10,10,14.285715103149414,4238.23095703125,32491.6640625,26577.090698242188,1557.5825805664063,33360306176,2147479552,5056466944,0
199,1772105351240,900,899,900,900,900,899,900,899,25,15.000000953674316,19.047618865966797,5.263157844543457,4.761904716491699,0,10,26.3157901763916,4238.349182128906,32493.81768798828,26579.063598632813,1557.5825805664063,33360306176,2147479552,5056466944,0
199,1772105351440,900,899,900,900,900,899,900,899,23.809524536132813,0,25,5,5.263157844543457,21.052631378173828,0,23.809524536132813,4238.4688720703125,32497.468383789063,26582.533569335938,1557.5825805664063,33360306176,2147479552,5056466944,0
200,1772105351640,900,899,900,900,900,899,900,899,5,0,15.000000953674316,20,15.000000953674316,35,20,5,4238.5875244140625,32500.02032470703,26584.990661621094,1557.5825805664063,33360306176,2147479552,5056466944,0
200,1772105351840,900,899,900,900,900,899,900,899,5,23.809524536132813,21.052631378173828,30.000001907348633,0,10,15.000000953674316,5.263157844543457,4238.707275390625,32502.95098876953,26587.648559570313,1557.5825805664063,33360306176,2147479552,5056208896,0
199,1772105352040,900,899,900,900,900,899,900,899,0,15.000000953674316,20,15.000000953674316,20,0,15.000000953674316,15.000000953674316,4238.8270263671875,32505.448669433594,26589.969787597656,1557.5825805664063,33360306176,2147479552,5056462848,0
199,1772105352240,900,899,900,900,900,899,900,899,5,20,20,15.000000953674316,20,9.523809432983398,0,23.809524536132813,4238.945556640625,32507.693908691406,26592.034912109375,1557.5825805664063,33360306176,2147479552,5056462848,0
199,1772105352440,900,899,900,900,900,899,900,899,0,15.000000953674316,25,5,35,0,10,19.047618865966797,4239.064758300781,32509.103271484375,26593.262268066406,1557.5825805664063,33360306176,2147479552,5056462848,0
199,1772105352640,900,899,900,900,900,899,900,899,15.789472579956055,15.000000953674316,33.333335876464844,15.789472579956055,10,0,5.263157844543457,0,4239.1846923828125,32510.821350097656,26594.798400878906,1557.5825805664063,33360306176,2147479552,5056462848,0
199,1772105352840,900,899,900,900,900,899,900,899,15.000000953674316,10,11.111111640930176,19.047618865966797,10.526315689086914,25,9.523809432983398,14.285715103149414,4239.3035888671875,32512.415954589844,26596.212951660156,1557.5825805664063,33360306176,2147479552,5056204800,0
199,1772105353040,900,899,900,900,900,899,900,899,19.047618865966797,23.809524536132813,14.285715103149414,5.263157844543457,15.000000953674316,0,5,26.3157901763916,4239.420593261719,32514.066833496094,26597.68975830078,1557.5825805664063,33360306176,2147479552,5055946752,0
199,1772105353240,900,899,900,900,900,899,900,899,5,31.57894515991211,15.000000953674316,0,14.285715103149414,0,21.052631378173828,20,4239.540100097656,32515.233154296875,26598.670043945313,1557.5825805664063,33360306176,2147479552,5055946752,0
200,1772105353440,900,899,900,900,900,899,900,899,0,15.789472579956055,10,21.052631378173828,20,0,14.285715103149414,26.3157901763916,4239.681579589844,32516.5615234375,26599.773986816406,1557.5825805664063,33360306176,2147479552,5035204608,0
0,1772105353641,900,899,900,900,900,899,900,899,9.523809432983398,9.523809432983398,15.000000953674316,9.523809432983398,0,10,5,5,4239.8306884765625,32517.801147460938,26600.729919433594,1557.5825805664063,33360306176,2147479552,5027094528,0
