Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104873217,900,900,900,899,899,899,900,899,8.333333969116211,4.1666669845581055,4.545454502105713,8.333333969116211,8.69565200805664,4,4.545454502105713,8.69565200805664,3823.1691284179688,25661.135009765625,20402.915405273438,1433.5890502929688,33360306176,2147479552,5076217856,0
199,1772104873217,900,900,900,899,899,899,900,899,8.333333969116211,4.1666669845581055,4.545454502105713,8.333333969116211,8.69565200805664,4,4.545454502105713,8.69565200805664,3823.1700439453125,25661.135864257813,20402.915405273438,1433.5890502929688,33360306176,2147479552,5076217856,0
199,1772104873417,900,900,900,899,899,899,900,899,10.526315689086914,19.047618865966797,14.285715103149414,15.000000953674316,9.523809432983398,20,25,20,3823.317138671875,25662.481506347656,20404.079650878906,1433.5890502929688,33360306176,2147479552,5093564416,0
199,1772104873617,900,900,900,899,899,899,900,899,10.526315689086914,19.047618865966797,14.285715103149414,15.000000953674316,9.523809432983398,20,25,20,3823.5047607421875,25664.548400878906,20405.830505371094,1433.5890502929688,33360306176,2147479552,5122899968,0
199,1772104873817,900,900,900,899,899,899,900,899,15.000000953674316,37.5,23.076923370361328,17.948719024658203,15.789472579956055,10.526315689086914,12.820513725280762,17.5,3823.6480712890625,25667.267333984375,20408.279357910156,1433.5890502929688,33360306176,2147479552,5126361088,0
199,1772104874018,900,900,900,899,899,899,900,899,0,40,10.526315689086914,25,14.285715103149414,9.523809432983398,25,10,3823.8258056640625,25669.55584716797,20410.447875976563,1433.6321411132813,33360306176,2147479552,5138477056,0
200,1772104874218,900,900,900,899,899,899,900,899,0,40,10.526315689086914,25,14.285715103149414,9.523809432983398,25,10,3823.954345703125,25672.805908203125,20413.40606689453,1433.6321411132813,33360306176,2147479552,5138735104,0
199,1772104874418,900,900,900,899,899,899,900,899,9.523809432983398,5,25,15.000000953674316,21.052631378173828,15.789472579956055,0,19.047618865966797,3824.0745849609375,25676.229248046875,20416.661560058594,1433.6321411132813,33360306176,2147479552,5138735104,0
199,1772104874618,900,900,900,899,899,899,900,899,10,20,27.272727966308594,9.523809432983398,14.285715103149414,5,4.761904716491699,26.3157901763916,3824.1951293945313,25679.709350585938,20419.974548339844,1433.6321411132813,33360306176,2147479552,5138735104,0
199,1772104874818,900,900,900,899,899,899,900,899,20,5.263157844543457,25,15.789472579956055,15.789472579956055,22.72727394104004,0,0,3824.3151245117188,25682.92608642578,20423.022094726563,1433.6321411132813,33360306176,2147479552,5138989056,0
199,1772104875018,900,900,900,899,899,899,900,899,10,14.285715103149414,25,10,23.809524536132813,21.052631378173828,0,10,3824.435302734375,25685.319885253906,20425.36199951172,1433.6321411132813,33360306176,2147479552,5139247104,0
199,1772104875218,900,900,900,899,899,899,900,899,5,10,0,30.000001907348633,20,20,15.000000953674316,5,3824.55517578125,25688.45135498047,20428.210021972656,1433.6321411132813,33360306176,2147479552,5139247104,0
199,1772104875418,900,900,900,899,899,899,900,899,10,15.000000953674316,14.285715103149414,5,15.000000953674316,20,10.526315689086914,15.000000953674316,3824.67431640625,25691.551147460938,20431.141052246094,1433.6321411132813,33360306176,2147479552,5139247104,0
199,1772104875618,900,900,900,899,899,899,900,899,0,21.052631378173828,20,4.761904716491699,31.57894515991211,5,9.523809432983398,21.052631378173828,3824.79736328125,25694.715393066406,20434.137084960938,1433.6321411132813,33360306176,2147479552,5139247104,0
199,1772104875818,900,900,900,899,899,899,900,899,10,15.000000953674316,15.789472579956055,10.526315689086914,10.526315689086914,5,5,30.000001907348633,3824.9187622070313,25697.071350097656,20436.323303222656,1433.6321411132813,33360306176,2147479552,5139247104,0
199,1772104876018,900,900,900,899,899,899,900,899,15.000000953674316,15.000000953674316,0,25,10,0,40,4.761904716491699,3825.0376586914063,25700.807861328125,20439.892028808594,1433.6321411132813,33360306176,2147479552,5131685888,0
200,1772104876218,900,900,900,899,899,899,900,899,21.052631378173828,0,19.047618865966797,23.809524536132813,5,20,20,0,3825.157958984375,25703.303771972656,20442.218688964844,1433.6321411132813,33360306176,2147479552,5132193792,0
199,1772104876418,900,900,900,899,899,899,900,899,5,5,15.789472579956055,15.789472579956055,20,25,5,5,3825.2761840820313,25705.311645507813,20444.056884765625,1433.6321411132813,33360306176,2147479552,5132193792,0
199,1772104876619,900,900,900,899,899,899,900,899,25,0,15.000000953674316,26.3157901763916,9.523809432983398,33.333335876464844,5,5,3825.40234375,25708.0234375,20446.58868408203,1433.6321411132813,33360306176,2147479552,5132451840,0
200,1772104876819,900,900,900,899,899,899,900,899,20,20,10,4.761904716491699,15.000000953674316,10.526315689086914,35,15.000000953674316,3825.5303344726563,25710.753356933594,20449.136474609375,1433.6321411132813,33360306176,2147479552,5131890688,0
199,1772104877019,900,900,900,899,899,899,900,899,30.000001907348633,0,5.263157844543457,0,14.285715103149414,10,15.789472579956055,25,3825.6489868164063,25713.213806152344,20451.420043945313,1433.6321411132813,33360306176,2147479552,5132148736,0
200,1772104877219,900,900,900,899,899,899,900,899,20,5.263157844543457,19.047618865966797,0,10.526315689086914,20,10,30.000001907348633,3825.7677612304688,25716.006896972656,20454.034729003906,1433.6321411132813,33360306176,2147479552,5132148736,0
200,1772104877419,900,900,900,899,899,899,900,899,10.526315689086914,0,20,25,10,30.000001907348633,0,0,3825.8876342773438,25717.976196289063,20455.826538085938,1433.6321411132813,33360306176,2147479552,5132406784,0
199,1772104877619,900,900,900,899,899,899,900,899,9.090909004211426,22.72727394104004,25,15.789472579956055,25,10.526315689086914,14.285715103149414,14.285715103149414,3826.0161743164063,25721.20233154297,20458.92352294922,1433.6321411132813,33360306176,2147479552,5127249920,0
199,1772104877819,900,900,900,899,899,899,900,899,0,0,10.526315689086914,15.000000953674316,25,19.047618865966797,25,19.047618865966797,3826.1363525390625,25723.72589111328,20461.214477539063,1433.6321411132813,33360306176,2147479552,5127249920,0
