Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772105184053,899,900,900,899,900,900,900,899,16.129032135009766,18.18181800842285,11.764705657958984,18.18181800842285,18.18181800842285,9.090909004211426,15.15151596069336,12.121212005615234,4100.659362792969,30101.109985351563,24395.79083251953,1530.887451171875,33360306176,2147479552,5034332160,0
201,1772105184054,899,900,900,899,900,900,900,899,16.129032135009766,18.18181800842285,11.764705657958984,18.18181800842285,18.18181800842285,9.090909004211426,15.15151596069336,12.121212005615234,4100.661376953125,30101.11248779297,24395.79083251953,1530.8897094726563,33360306176,2147479552,5034332160,0
198,1772105184256,899,900,900,899,900,900,900,899,30.000001907348633,35,21.052631378173828,15.789472579956055,19.047618865966797,35,21.052631378173828,35,4101.1077880859375,30104.435607910156,24398.103393554688,1531.5372314453125,33360306176,2147479552,5054693376,0
199,1772105184455,899,900,900,899,900,900,900,899,30.000001907348633,35,21.052631378173828,15.789472579956055,19.047618865966797,35,21.052631378173828,35,4101.533508300781,30106.12237548828,24398.682189941406,1532.1788940429688,33360306176,2147479552,5058207744,0
199,1772105184655,899,900,900,899,900,900,900,899,34.21052551269531,23.68421173095703,26.3157901763916,26.3157901763916,36.842105865478516,24.324325561523438,30.76923179626465,35.897438049316406,4101.989685058594,30109.414978027344,24400.95556640625,1532.7341918945313,33360306176,2147479552,5077299200,0
199,1772105184855,899,900,900,899,900,900,900,899,100,26.3157901763916,22.72727394104004,5,0,25,5.263157844543457,25,4102.295166015625,30114.865478515625,24405.78106689453,1532.96728515625,33360306176,2147479552,5104271360,0
199,1772105185055,899,900,900,899,900,900,900,899,100,10,57.894737243652344,5,9.523809432983398,36.842105865478516,30.000001907348633,60.000003814697266,4102.5179443359375,30121.14471435547,24411.839599609375,1532.96728515625,33360306176,2147479552,5119315968,0
199,1772105185255,899,900,900,899,900,900,900,899,100,10,57.894737243652344,5,9.523809432983398,36.842105865478516,30.000001907348633,60.000003814697266,4102.8917236328125,30127.698364257813,24418.056884765625,1532.9907836914063,33360306176,2147479552,5154873344,0
199,1772105185455,899,900,900,899,900,900,900,899,10,5,25,0,100,75,0,73.68421173095703,4103.183166503906,30132.963317871094,24423.043334960938,1532.9907836914063,33360306176,2147479552,5279670272,0
199,1772105185655,899,900,900,899,900,900,900,899,0,0,52.6315803527832,0,100,50,0,50,4103.450866699219,30138.66143798828,24428.479431152344,1532.9907836914063,33360306176,2147479552,5404491776,0
199,1772105185855,899,900,900,899,900,900,900,899,0,20,4.761904716491699,10,100,5,4.761904716491699,0,4103.636169433594,30142.170043945313,24431.89617919922,1532.9907836914063,33360306176,2147479552,5439848448,0
199,1772105186056,899,900,900,899,900,900,900,899,0,0,0,10,95.23809814453125,5,0,0,4103.828796386719,30145.61767578125,24434.99835205078,1532.9907836914063,33360306176,2147479552,5440880640,0
200,1772105186256,899,900,900,899,900,900,900,899,0,0,0,10.526315689086914,100,0,0,0,4104.00146484375,30148.609741210938,24437.785705566406,1532.9907836914063,33360306176,2147479552,5440880640,0
199,1772105186456,899,900,900,899,900,900,900,899,5,0,0,19.047618865966797,100,0,5,0,4104.1917724609375,30152.192932128906,24441.154296875,1532.9907836914063,33360306176,2147479552,5441478656,0
200,1772105186656,899,900,900,899,900,900,900,899,0,0,4.761904716491699,15.000000953674316,60.000003814697266,0,40,10,4104.378112792969,30156.395874023438,24445.14306640625,1532.9907836914063,33360306176,2147479552,5442859008,0
200,1772105186856,899,900,900,899,900,900,900,899,0,0,0,30.000001907348633,5,0,100,15.000000953674316,4104.5526123046875,30159.711364746094,24448.257202148438,1532.9907836914063,33360306176,2147479552,5442871296,0
199,1772105187056,899,900,900,899,900,900,900,899,0,5,0,0,0,0,100,0,4104.733825683594,30163.145568847656,24451.479858398438,1532.9907836914063,33360306176,2147479552,5442871296,0
199,1772105187256,899,900,900,899,900,900,900,899,0,0,0,15.000000953674316,4.761904716491699,0,100,0,4104.9169921875,30166.865112304688,24455.28289794922,1532.9907836914063,33360306176,2147479552,5442871296,0
200,1772105187456,899,900,900,899,900,900,900,899,0,5,0,25,0,0,100,4.761904716491699,4105.11572265625,30170.77801513672,24458.68035888672,1532.9907836914063,33360306176,2147479552,5442871296,0
200,1772105187656,899,900,900,899,900,900,900,899,0,5,5,0,0,0,100,0,4105.2987060546875,30174.123107910156,24461.81378173828,1532.9907836914063,33360306176,2147479552,5442871296,0
199,1772105187856,899,900,900,899,900,900,900,899,0,0,0,0,0,4.761904716491699,100,4.761904716491699,4105.471740722656,30176.755859375,24464.241455078125,1532.9907836914063,33360306176,2147479552,5443100672,0
200,1772105188056,899,900,900,899,900,900,900,899,5,0,0,4.761904716491699,0,0,100,0,4105.640686035156,30179.147216796875,24466.428771972656,1532.9907836914063,33360306176,2147479552,5443100672,0
200,1772105188257,899,900,900,899,900,900,900,899,0,0,0,0,0,0,100,0,4105.8165283203125,30182.600708007813,24469.67706298828,1532.9907836914063,33360306176,2147479552,5443100672,0
200,1772105188457,899,900,900,899,900,900,900,899,0,5,4.761904716491699,31.57894515991211,0,0,100,0,4106.00146484375,30185.92919921875,24472.79803466797,1532.9907836914063,33360306176,2147479552,5443100672,0
200,1772105188657,899,900,900,899,900,900,900,899,0,4.761904716491699,0,0,5,0,100,0,4106.1834716796875,30188.50927734375,24475.16748046875,1532.9907836914063,33360306176,2147479552,5429284864,0
200,1772105188857,899,900,900,899,900,900,900,899,0,0,0,0,0,0,100,0,4106.357177734375,30191.853637695313,24478.304443359375,1532.9907836914063,33360306176,2147479552,5429530624,0
200,1772105189057,899,900,900,899,900,900,900,899,0,0,4.761904716491699,4.761904716491699,0,0,100,0,4106.530334472656,30194.82745361328,24481.0732421875,1532.9907836914063,33360306176,2147479552,5429530624,0
199,1772105189257,899,900,900,899,900,900,900,899,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,95.23809814453125,0,4106.703430175781,30197.323120117188,24483.364196777344,1532.9907836914063,33360306176,2147479552,5429530624,0
199,1772105189457,899,900,900,899,900,900,900,899,0,10.526315689086914,5,36.842105865478516,30.000001907348633,25,100,0,4106.915588378906,30201.812744140625,24487.632751464844,1532.9907836914063,33360306176,2147479552,5435437056,0
199,1772105189657,899,900,900,899,900,900,900,899,90.47618865966797,60.000003814697266,42.105262756347656,80,42.105262756347656,80,60.000003814697266,61.904762268066406,4107.427917480469,30208.19384765625,24493.44189453125,1533.193603515625,33360306176,2147479552,5447569408,0
199,1772105189857,899,900,900,899,900,900,900,899,90.47618865966797,60.000003814697266,42.105262756347656,80,42.105262756347656,80,60.000003814697266,61.904762268066406,4107.7052001953125,30212.349609375,24496.995056152344,1533.404052734375,33360306176,2147479552,5303185408,0
