Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104885841,1701,1790,1701,1700,1699,1699,1700,1703,26,20,20,22,22,18.75,16.666667938232422,18.75,3831.688720703125,25825.43145751953,20554.16876220703,1434.1784057617188,33360306176,2147479552,5057662976,0
199,1772104885841,1701,1790,1701,1700,1699,1699,1700,1703,26,20,20,22,22,18.75,16.666667938232422,18.75,3831.6895751953125,25825.432189941406,20554.168884277344,1434.1784057617188,33360306176,2147479552,5057662976,0
199,1772104886041,1701,1790,1701,1700,1699,1699,1700,1703,10,10,26.3157901763916,10.526315689086914,20,14.285715103149414,25,15.000000953674316,3831.8407592773438,25827.211303710938,20555.75018310547,1434.1784057617188,33360306176,2147479552,5081427968,0
199,1772104886241,1701,1790,1701,1700,1699,1699,1700,1703,22.22222328186035,26.3157901763916,10.526315689086914,20,15.789472579956055,10.526315689086914,20,15.000000953674316,3831.975830078125,25827.7509765625,20555.99395751953,1434.1784057617188,33360306176,2147479552,5088677888,0
200,1772104886441,1701,1790,1701,1700,1699,1699,1700,1703,22.22222328186035,26.3157901763916,10.526315689086914,20,15.789472579956055,10.526315689086914,20,15.000000953674316,3832.19189453125,25832.23419189453,20560.12322998047,1434.1784057617188,33360306176,2147479552,5149687808,0
199,1772104886641,1701,1790,1701,1700,1699,1699,1700,1703,38.46154022216797,56.41025924682617,7.500000476837158,30.76923179626465,35,25,23.076923370361328,15.384615898132324,3832.410400390625,25836.838500976563,20564.453491210938,1434.2198486328125,33360306176,2147479552,5179039744,0
199,1772104886841,1701,1790,1701,1700,1699,1699,1700,1703,57.894737243652344,52.38095474243164,0,95.23809814453125,40,47.36842346191406,65,0,3832.669189453125,25843.159606933594,20570.7880859375,1434.2198486328125,33360306176,2147479552,5195882496,0
199,1772104887041,1701,1790,1701,1700,1699,1699,1700,1703,40,89.47368621826172,0,57.894737243652344,84.21052551269531,35,95,0,3833.0275268554688,25851.908203125,20578.97119140625,1434.2198486328125,33360306176,2147479552,5272072192,0
200,1772104887241,1701,1790,1701,1700,1699,1699,1700,1703,4.761904716491699,52.38095474243164,4.761904716491699,5,100,5,60.000003814697266,23.809524536132813,3833.2877807617188,25857.43084716797,20584.491760253906,1434.2198486328125,33360306176,2147479552,5397954560,0
200,1772104887441,1701,1790,1701,1700,1699,1699,1700,1703,0,50,0,0,100,4.761904716491699,40,30.000001907348633,3833.5361938476563,25863.58819580078,20590.1474609375,1434.2198486328125,33360306176,2147479552,5497712640,0
