Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772105068438,900,900,900,899,900,900,899,899,8.571429252624512,13.1578950881958,11.428571701049805,8.333333969116211,11.111111640930176,11.111111640930176,11.111111640930176,5.714285850524902,3990.4981079101563,28458.84588623047,22941.85693359375,1477.0573120117188,33360306176,2147479552,5045080064,0
199,1772105068438,900,900,900,899,900,900,899,899,8.571429252624512,13.1578950881958,11.428571701049805,8.333333969116211,11.111111640930176,11.111111640930176,11.111111640930176,5.714285850524902,3990.5009765625,28458.85382080078,22941.85693359375,1477.063232421875,33360306176,2147479552,5045080064,0
200,1772105068638,900,900,900,899,900,900,899,899,42.105262756347656,15.789472579956055,23.809524536132813,30.000001907348633,25,30.000001907348633,23.809524536132813,23.809524536132813,3990.9500732421875,28461.581481933594,22943.580200195313,1477.6490478515625,33360306176,2147479552,5067452416,0
199,1772105068838,900,900,900,899,900,900,899,899,26.3157901763916,21.052631378173828,26.3157901763916,27.77777862548828,40,30.000001907348633,27.77777862548828,21.052631378173828,3991.4286499023438,28464.715209960938,22945.69561767578,1478.1748046875,33360306176,2147479552,5093953536,0
199,1772105069038,900,900,900,899,900,900,899,899,85,5.263157844543457,9.523809432983398,10,25,0,9.523809432983398,9.523809432983398,3991.8612060546875,28468.364013671875,22948.342529296875,1478.7607421875,33360306176,2147479552,5105123328,0
199,1772105069238,900,900,900,899,900,900,899,899,10,20,10.526315689086914,5,100,5,5.263157844543457,5,3992.2828369140625,28472.700317382813,22951.838989257813,1479.1926879882813,33360306176,2147479552,5119598592,0
199,1772105069438,900,900,900,899,900,900,899,899,0,0,0,0,100,0,0,0,3992.4085693359375,28475.609741210938,22954.56317138672,1479.1926879882813,33360306176,2147479552,5121957888,0
199,1772105069638,900,900,900,899,900,900,899,899,5,0,0,0,100,0,0,0,3992.5418701171875,28479.19171142578,22957.915954589844,1479.230224609375,33360306176,2147479552,5122854912,0
199,1772105069839,900,900,900,899,900,900,899,899,0,4.761904716491699,0,0,100,0,0,0,3992.658447265625,28482.458740234375,22960.99932861328,1479.230224609375,33360306176,2147479552,5122863104,0
199,1772105070039,900,900,900,899,900,900,899,899,0,0,0,0,100,0,0,9.090909004211426,3992.7781982421875,28485.669006347656,22964.02618408203,1479.230224609375,33360306176,2147479552,5118472192,0
200,1772105070239,900,900,900,899,900,900,899,899,0,0,0,0,100,0,0,0,3992.8944091796875,28489.18084716797,22967.355529785156,1479.230224609375,33360306176,2147479552,5118472192,0
200,1772105070439,900,900,900,899,900,900,899,899,0,0,0,0,100,0,0,0,3993.0103149414063,28493.016052246094,22971.062255859375,1479.230224609375,33360306176,2147479552,5118472192,0
199,1772105070639,900,900,900,899,900,900,899,899,100,0,0,0,0,4.761904716491699,0,0,3993.1268310546875,28495.782348632813,22973.588806152344,1479.230224609375,33360306176,2147479552,5118472192,0
199,1772105070839,900,900,900,899,900,900,899,899,100,4.761904716491699,0,0,0,0,0,0,3993.2425537109375,28499.390686035156,22977.015258789063,1479.230224609375,33360306176,2147479552,5118685184,0
199,1772105071039,900,900,900,899,900,900,899,899,100,0,0,0,0,0,0,0,3993.3575439453125,28503.017517089844,22980.460571289063,1479.230224609375,33360306176,2147479552,5118685184,0
199,1772105071239,900,900,900,899,900,900,899,899,100,0,0,0,0,0,4.761904716491699,0,3993.4830322265625,28506.181213378906,22983.435791015625,1479.230224609375,33360306176,2147479552,5118685184,0
199,1772105071439,900,900,900,899,900,900,899,899,100,0,0,0,0,0,0,0,3993.5989990234375,28509.636169433594,22986.779296875,1479.230224609375,33360306176,2147479552,5119197184,0
199,1772105071639,900,900,900,899,900,900,899,899,100,0,0,0,0,0,0,4.761904716491699,3993.7174072265625,28513.218200683594,22990.106689453125,1479.230224609375,33360306176,2147479552,5119197184,0
199,1772105071839,900,900,900,899,900,900,899,899,100,0,0,0,0,0,0,0,3993.8338623046875,28516.152709960938,22992.858032226563,1479.230224609375,33360306176,2147479552,5119197184,0
200,1772105072039,900,900,900,899,900,900,899,899,100,0,0,0,0,0,0,0,3993.9488525390625,28519.578674316406,22996.101928710938,1479.230224609375,33360306176,2147479552,5119197184,0
1,1772105072240,900,900,900,899,900,900,899,899,23.809524536132813,10.526315689086914,10,9.523809432983398,5.263157844543457,14.285715103149414,10,16.666667938232422,3994.1612548828125,28522.460205078125,22998.644592285156,1479.230224609375,33360306176,2147479552,5051625472,0
