Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104868725,799,800,799,800,799,799,800,799,10.344827651977539,13.333333969116211,7.142857551574707,13.333333969116211,10.344827651977539,10.344827651977539,10,10.344827651977539,3819.9190063476563,25597.442749023438,20344.512939453125,1433.1162109375,33360306176,2147479552,5105070080,0
199,1772104868725,799,800,799,800,799,799,800,799,10.344827651977539,13.333333969116211,7.142857551574707,13.333333969116211,10.344827651977539,10.344827651977539,10,10.344827651977539,3819.919677734375,25597.44354248047,20344.512939453125,1433.1162109375,33360306176,2147479552,5105070080,0
199,1772104868925,799,800,799,800,799,799,800,799,20,5.263157844543457,31.81818199157715,25,14.285715103149414,30.000001907348633,19.047618865966797,15.000000953674316,3820.0643310546875,25598.842224121094,20345.743225097656,1433.1162109375,33360306176,2147479552,5129875456,0
199,1772104869126,799,800,799,800,799,799,800,799,28.571430206298828,20,11.764705657958984,22.22222328186035,22.22222328186035,36.842105865478516,11.111111640930176,21.052631378173828,3820.2056274414063,25599.55877685547,20346.172607421875,1433.1162109375,33360306176,2147479552,5140299776,0
199,1772104869326,799,800,799,800,799,799,800,799,28.571430206298828,20,11.764705657958984,22.22222328186035,22.22222328186035,36.842105865478516,11.111111640930176,21.052631378173828,3820.4317016601563,25603.590698242188,20349.857055664063,1433.1167602539063,33360306176,2147479552,5170647040,0
199,1772104869526,799,800,799,800,799,799,800,799,12.820513725280762,33.333335876464844,10,7.692307949066162,12.5,65,12.5,15.000000953674316,3820.80224609375,25607.316162109375,20352.882873535156,1433.510498046875,33360306176,2147479552,5174800384,0
200,1772104869726,799,800,799,800,799,799,800,799,0,100,0,0,0,0,4.761904716491699,0,3820.93408203125,25610.331420898438,20355.72705078125,1433.510498046875,33360306176,2147479552,5179076608,0
200,1772104869926,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3821.04931640625,25612.9404296875,20358.167846679688,1433.510498046875,33360306176,2147479552,5179973632,0
200,1772104870126,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3821.164306640625,25615.751037597656,20360.811401367188,1433.510498046875,33360306176,2147479552,5179973632,0
200,1772104870326,799,800,799,800,799,799,800,799,0,100,0,0,4.761904716491699,0,0,0,3821.2814331054688,25619.26708984375,20364.15869140625,1433.510498046875,33360306176,2147479552,5179973632,0
200,1772104870526,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3821.3959350585938,25622.62060546875,20367.344848632813,1433.510498046875,33360306176,2147479552,5179973632,0
199,1772104870726,799,800,799,800,799,799,800,799,5,100,0,4.761904716491699,0,0,0,0,3821.51806640625,25626.23406982422,20370.754333496094,1433.510498046875,33360306176,2147479552,5180104704,0
199,1772104870926,799,800,799,800,799,799,800,799,9.523809432983398,100,5.263157844543457,10,5.263157844543457,10,0,14.285715103149414,3821.640380859375,25630.83184814453,20375.074768066406,1433.510498046875,33360306176,2147479552,5179822080,0
199,1772104871126,799,800,799,800,799,799,800,799,5.555555820465088,100,15.000000953674316,10.526315689086914,15.000000953674316,5.555555820465088,10.526315689086914,15.000000953674316,3821.7700805664063,25635.844848632813,20379.79327392578,1433.510498046875,33360306176,2147479552,5179695104,0
200,1772104871326,799,800,799,800,799,799,800,799,4.761904716491699,100,0,4.761904716491699,0,4.761904716491699,5,0,3821.8887329101563,25638.67364501953,20382.36737060547,1433.510498046875,33360306176,2147479552,5179891712,0
200,1772104871527,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3822.0053100585938,25641.95489501953,20385.480346679688,1433.510498046875,33360306176,2147479552,5172838400,0
199,1772104871727,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3822.1224365234375,25645.29443359375,20388.58563232422,1433.510498046875,33360306176,2147479552,5172838400,0
200,1772104871927,799,800,799,800,799,799,800,799,0,100,0,0,0,0,0,0,3822.2374267578125,25649.161071777344,20392.28173828125,1433.510498046875,33360306176,2147479552,5173092352,0
200,1772104872127,799,800,799,800,799,799,800,799,0,100,0,0,5,0,0,5,3822.3596801757813,25652.429809570313,20395.38018798828,1433.510498046875,33360306176,2147479552,5173092352,0
200,1772104872327,799,800,799,800,799,799,800,799,4.761904716491699,100,0,4.761904716491699,0,0,0,0,3822.4758911132813,25655.49658203125,20398.277404785156,1433.510498046875,33360306176,2147479552,5173092352,0
200,1772104872527,799,800,799,800,799,799,800,799,10,65,10,0,9.523809432983398,5,5.263157844543457,19.047618865966797,3822.670654296875,25659.011962890625,20401.5263671875,1433.510498046875,33360306176,2147479552,5131624448,0
0,1772104872728,799,800,799,800,799,799,800,799,15.000000953674316,0,0,9.523809432983398,0,9.523809432983398,10,5.263157844543457,3822.7985229492188,25659.389038085938,20401.674194335938,1433.510498046875,33360306176,2147479552,5109080064,0
