Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104906124,1000,994,1000,999,907,999,999,999,8.333333969116211,5.714285850524902,10.810811042785645,8.108107566833496,8.333333969116211,8.108107566833496,10.810811042785645,10.810811042785645,3846.9506225585938,26094.705627441406,20802.176635742188,1434.5360107421875,33360306176,2147479552,5079035904,0
200,1772104906124,1000,994,1000,999,907,999,999,999,8.333333969116211,5.714285850524902,10.810811042785645,8.108107566833496,8.333333969116211,8.108107566833496,10.810811042785645,10.810811042785645,3846.9514770507813,26094.706420898438,20802.176635742188,1434.5360107421875,33360306176,2147479552,5079035904,0
199,1772104906324,1000,994,1000,999,907,999,999,999,15.000000953674316,26.3157901763916,5.263157844543457,26.3157901763916,15.000000953674316,20,15.789472579956055,10.526315689086914,3847.1131591796875,26096.206298828125,20803.423400878906,1434.5360107421875,33360306176,2147479552,5091536896,0
200,1772104906524,1000,994,1000,999,907,999,999,999,15.789472579956055,20,20,15.000000953674316,15.789472579956055,11.111111640930176,23.809524536132813,47.36842346191406,3847.2899169921875,26098.00750732422,20804.900939941406,1434.5360107421875,33360306176,2147479552,5108412416,0
200,1772104906724,1000,994,1000,999,907,999,999,999,5,10,4.761904716491699,0,4.761904716491699,28.571430206298828,10,80,3847.4413452148438,26101.3056640625,20807.900146484375,1434.5404052734375,33360306176,2147479552,5109280768,0
200,1772104906924,1000,994,1000,999,907,999,999,999,0,0,0,0,0,0,0,100,3847.5868530273438,26104.716552734375,20811.03094482422,1434.5567626953125,33360306176,2147479552,5109796864,0
200,1772104907125,1000,994,1000,999,907,999,999,999,5,0,0,0,0,0,0,100,3847.7056884765625,26107.84747314453,20813.97772216797,1434.5567626953125,33360306176,2147479552,5110394880,0
200,1772104907325,1000,994,1000,999,907,999,999,999,5,0,0,0,0,0,5,100,3847.8248901367188,26111.183227539063,20817.135620117188,1434.5567626953125,33360306176,2147479552,5111341056,0
200,1772104907525,1000,994,1000,999,907,999,999,999,0,0,0,0,0,0,0,100,3847.939697265625,26114.449462890625,20820.222412109375,1434.5567626953125,33360306176,2147479552,5111341056,0
200,1772104907725,1000,994,1000,999,907,999,999,999,0,0,0,0,0,0,0,100,3848.05517578125,26117.75408935547,20823.345581054688,1434.5567626953125,33360306176,2147479552,5111341056,0
200,1772104907925,1000,994,1000,999,907,999,999,999,0,0,0,0,0,0,0,100,3848.1692504882813,26121.050415039063,20826.463439941406,1434.5567626953125,33360306176,2147479552,5111341056,0
200,1772104908125,1000,994,1000,999,907,999,999,999,0,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,100,3848.2841796875,26123.933044433594,20829.166748046875,1434.5567626953125,33360306176,2147479552,5111595008,0
199,1772104908325,1000,994,1000,999,907,999,999,999,0,4.761904716491699,0,0,5,0,5,100,3848.4027709960938,26127.41015625,20832.463500976563,1434.5567626953125,33360306176,2147479552,5112627200,0
199,1772104908525,1000,994,1000,999,907,999,999,999,0,0,0,0,0,0,0,100,3848.5170288085938,26130.94140625,20835.815490722656,1434.5567626953125,33360306176,2147479552,5112926208,0
200,1772104908725,1000,994,1000,999,907,999,999,999,0,0,0,5,0,0,0,100,3848.6356201171875,26134.039123535156,20838.732971191406,1434.5567626953125,33360306176,2147479552,5113143296,0
200,1772104908925,1000,994,1000,999,907,999,999,999,0,0,0,15.000000953674316,0,0,0,89.47368621826172,3848.752197265625,26137.688842773438,20842.203247070313,1434.5567626953125,33360306176,2147479552,5113143296,0
200,1772104909125,1000,994,1000,999,907,999,999,999,4.761904716491699,0,0,100,0,0,0,0,3848.8666381835938,26140.727783203125,20845.06280517578,1434.5567626953125,33360306176,2147479552,5113143296,0
200,1772104909326,1000,994,1000,999,907,999,999,999,0,0,0,100,4.761904716491699,0,0,0,3848.9850463867188,26144.146362304688,20848.30029296875,1434.5567626953125,33360306176,2147479552,5113143296,0
200,1772104909526,1000,994,1000,999,907,999,999,999,0,0,0,100,0,0,0,0,3849.09912109375,26146.496826171875,20850.47198486328,1434.5567626953125,33360306176,2147479552,5113143296,0
0,1772104909726,1000,994,1000,999,907,999,999,999,0,10.526315689086914,10.526315689086914,45,15.789472579956055,13.636363983154297,5,14.285715103149414,3849.2835693359375,26149.917724609375,20853.603393554688,1434.5567626953125,33360306176,2147479552,5085528064,0
