Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104881728,3496,3443,3421,3404,3421,3446,3418,3449,8,4.1666669845581055,4.1666669845581055,20,7.692307949066162,4,11.111111640930176,7.692307949066162,3828.7355346679688,25765.817932128906,20499.26007080078,1433.7362670898438,33360306176,2147479552,5059297280,0
199,1772104881729,3496,3443,3421,3404,3421,3446,3418,3449,8,4.1666669845581055,4.1666669845581055,20,7.692307949066162,4,11.111111640930176,7.692307949066162,3828.7362060546875,25765.81854248047,20499.26007080078,1433.7362670898438,33360306176,2147479552,5059297280,0
199,1772104881929,3496,3443,3421,3404,3421,3446,3418,3449,23.809524536132813,15.000000953674316,14.285715103149414,30.000001907348633,5.263157844543457,10,15.000000953674316,5,3828.8923950195313,25767.196838378906,20500.39630126953,1433.7362670898438,33360306176,2147479552,5079388160,0
200,1772104882129,3496,3443,3421,3404,3421,3446,3418,3449,23.809524536132813,15.000000953674316,14.285715103149414,30.000001907348633,5.263157844543457,10,15.000000953674316,5,3829.0897216796875,25770.07000732422,20502.94091796875,1433.7362670898438,33360306176,2147479552,5107478528,0
200,1772104882329,3496,3443,3421,3404,3421,3446,3418,3449,15.384615898132324,45,12.820513725280762,15.384615898132324,25,12.5,71.79487609863281,10,3829.2471923828125,25774.233154296875,20506.80682373047,1433.7362670898438,33360306176,2147479552,5110947840,0
200,1772104882529,3496,3443,3421,3404,3421,3446,3418,3449,5,5,50,25,5.263157844543457,14.285715103149414,50,5,3829.5955810546875,25778.26123046875,20510.173950195313,1434.09326171875,33360306176,2147479552,5114621952,0
200,1772104882729,3496,3443,3421,3404,3421,3446,3418,3449,0,0,68.42105102539063,35,4.761904716491699,0,0,0,3829.7190551757813,25780.96710205078,20512.697021484375,1434.0933837890625,33360306176,2147479552,5114621952,0
200,1772104882929,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3829.8339233398438,25784.22686767578,20515.779174804688,1434.0933837890625,33360306176,2147479552,5114621952,0
200,1772104883129,3496,3443,3421,3404,3421,3446,3418,3449,0,0,4.761904716491699,100,5.263157844543457,10,0,0,3829.9575805664063,25787.48748779297,20519.031677246094,1434.0933837890625,33360306176,2147479552,5116166144,0
200,1772104883329,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.0724487304688,25790.600524902344,20521.794067382813,1434.0933837890625,33360306176,2147479552,5116166144,0
200,1772104883529,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.1871948242188,25794.10614013672,20525.121704101563,1434.0933837890625,33360306176,2147479552,5116166144,0
200,1772104883729,3496,3443,3421,3404,3421,3446,3418,3449,0,4.761904716491699,0,100,0,0,0,0,3830.3025512695313,25797.503967285156,20528.341430664063,1434.0933837890625,33360306176,2147479552,5116166144,0
200,1772104883929,3496,3443,3421,3404,3421,3446,3418,3449,0,4.761904716491699,0,100,0,0,0,0,3830.41650390625,25800.53594970703,20531.194946289063,1434.0933837890625,33360306176,2147479552,5116166144,0
200,1772104884130,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.5341796875,25804.526428222656,20535.00634765625,1434.0933837890625,33360306176,2147479552,5117022208,0
200,1772104884330,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.6497802734375,25808.110229492188,20538.411193847656,1434.0933837890625,33360306176,2147479552,5117014016,0
200,1772104884530,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,4.761904716491699,0,0,0,3830.7638549804688,25811.51025390625,20541.717712402344,1434.0933837890625,33360306176,2147479552,5117014016,0
200,1772104884730,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.8831787109375,25814.558227539063,20544.499145507813,1434.0933837890625,33360306176,2147479552,5117190144,0
200,1772104884930,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,0,0,0,0,3830.9976806640625,25817.59503173828,20547.35772705078,1434.0933837890625,33360306176,2147479552,5117448192,0
200,1772104885130,3496,3443,3421,3404,3421,3446,3418,3449,0,0,0,100,4.761904716491699,0,0,0,3831.1115112304688,25821.05810546875,20550.642211914063,1434.0933837890625,33360306176,2147479552,5117448192,0
0,1772104885331,3496,3443,3421,3404,3421,3446,3418,3449,15.000000953674316,10,15.789472579956055,36.842105865478516,10.526315689086914,5.263157844543457,20,14.285715103149414,3831.3107299804688,25824.134033203125,20553.40802001953,1434.0933837890625,33360306176,2147479552,5073403904,0
