elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,6.3,7082.9,58.8,0.0,0.0
1.0,30.3,7567.2,61.7,0.03,0.08
2.01,49.5,7738.9,62.7,0.71,4.09
3.02,20.5,7642.7,62.2,0.77,5.82
4.03,7.7,7639.5,62.2,0.77,5.82
5.04,23.1,7778.3,62.9,2.52,8.25
6.04,27.0,7839.7,63.3,2.72,8.67
7.05,21.5,7810.5,63.1,2.73,8.68
8.06,18.9,7785.3,63.0,2.73,8.68
9.07,24.1,7775.8,62.9,2.74,8.72
10.08,18.1,7698.5,62.5,2.75,8.77
11.09,8.2,7725.2,62.6,2.76,8.78
12.1,9.6,7624.1,62.0,2.79,8.78
13.11,11.5,7614.3,62.0,2.81,12.07
14.12,22.6,7591.1,61.9,2.92,25.85
15.12,12.0,7588.2,61.9,3.15,54.89
16.14,6.9,7559.2,61.7,3.15,54.89
17.14,3.1,7553.3,61.6,3.15,54.89
18.15,3.1,7547.3,61.6,3.15,54.89
19.15,2.8,7542.9,61.6,3.15,54.89
20.15,11.5,7569.9,61.7,3.16,54.89
21.16,3.2,7555.0,61.6,3.16,54.89
22.16,3.7,7555.9,61.6,3.16,54.89
23.17,3.9,7557.0,61.6,3.16,54.89
24.18,3.4,7557.9,61.6,3.16,54.89
25.19,3.7,7558.8,61.7,3.16,54.9
26.2,4.8,7558.8,61.7,3.17,54.9
27.21,3.0,7559.2,61.6,3.17,54.9
28.22,2.9,7559.5,61.6,3.17,54.9
29.23,3.1,7560.1,61.6,3.18,54.9
30.23,4.2,7553.2,61.6,3.18,54.9
31.24,5.2,7564.0,61.7,3.18,54.9
32.25,7.4,7526.8,61.4,3.18,54.9
33.26,5.4,7535.5,61.5,3.18,54.9
34.26,3.6,7535.8,61.5,3.18,54.9
35.27,3.1,7536.0,61.5,3.19,54.91
36.28,2.9,7534.2,61.5,3.19,54.91
37.28,5.4,7527.5,61.5,3.19,54.91
38.29,3.3,7527.9,61.5,3.19,54.91
39.3,3.3,7528.6,61.5,3.19,54.91
40.31,3.6,7529.5,61.5,3.19,54.91
41.32,4.0,7609.7,62.0,3.19,54.91
42.33,3.1,7609.7,61.9,3.2,54.91
43.34,3.6,7606.2,61.9,3.2,54.91
44.34,3.1,7606.8,61.9,3.2,54.91
45.35,4.0,7607.8,61.9,3.2,54.91
46.36,4.6,7588.2,61.8,3.21,54.91
47.36,4.2,7588.9,61.8,3.21,54.92
48.38,5.4,7590.1,61.9,3.21,54.92
49.38,3.0,7560.9,61.7,3.21,54.92
50.39,3.9,7559.1,61.7,3.21,54.92
51.4,3.1,7550.2,61.6,3.21,54.92
52.41,3.2,7542.2,61.6,3.21,54.92
53.42,2.9,7542.4,61.6,3.21,54.92
54.43,4.0,7543.0,61.6,3.22,54.92
