elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,1.0,7117.8,59.1,0.0,0.0
1.01,28.2,7588.7,61.8,0.03,0.08
2.02,22.4,7624.2,62.0,0.13,0.78
3.03,34.0,7763.1,62.8,0.33,12.75
4.03,22.1,7751.8,62.8,0.44,14.14
5.04,20.4,7761.7,62.8,0.49,19.7
6.05,22.4,7806.3,63.1,0.53,22.74
7.06,7.8,7790.5,63.0,0.54,22.8
8.07,5.0,7782.1,62.9,0.55,22.83
9.07,9.6,7933.2,63.9,1.47,23.76
10.08,11.8,7898.7,63.6,1.47,23.8
11.08,13.8,7861.4,63.4,1.5,23.9
12.1,9.8,7931.4,63.8,1.53,25.65
13.1,23.9,7980.1,64.1,1.61,31.87
14.11,55.3,7961.2,64.0,1.9,59.3
15.12,13.0,7959.4,64.0,2.05,78.27
16.13,5.6,7941.0,63.9,2.06,78.28
17.14,4.0,7931.7,63.8,2.06,78.28
18.15,5.8,7964.9,64.0,2.06,78.28
19.16,11.4,7926.9,63.8,2.09,78.34
20.17,10.7,7938.3,63.9,2.09,78.34
21.18,5.3,7940.6,63.9,2.09,78.35
22.18,4.1,7932.9,63.8,2.1,78.35
23.19,3.8,7917.6,63.7,2.1,78.35
24.2,12.7,7916.1,63.7,2.1,78.35
25.2,3.8,7914.4,63.7,2.1,78.35
26.21,4.9,7904.9,63.7,2.1,78.35
27.23,3.6,7897.1,63.6,2.11,78.35
28.24,3.8,7890.7,63.6,2.11,78.36
29.25,5.6,7890.7,63.6,2.11,78.36
30.26,4.8,7884.0,63.6,2.11,78.36
31.27,4.5,7884.6,63.6,2.12,78.36
32.27,10.0,7841.3,63.3,2.12,78.36
33.28,5.6,7848.9,63.4,2.12,78.37
34.28,4.5,7847.6,63.3,2.12,78.37
35.29,3.7,7847.3,63.3,2.12,78.37
36.3,4.1,7843.3,63.3,2.13,78.37
37.31,5.3,7842.2,63.3,2.13,78.37
38.31,6.1,7843.5,63.3,2.13,78.37
39.32,3.8,7843.2,63.3,2.13,78.37
40.33,3.6,7843.3,63.3,2.14,78.37
41.33,3.8,7843.4,63.3,2.14,78.38
42.35,3.9,7843.0,63.3,2.14,78.38
43.36,5.0,7802.1,63.1,2.15,78.38
44.37,5.0,7801.8,63.1,2.15,78.38
45.38,4.6,7802.8,63.1,2.15,78.38
46.39,5.9,7784.4,62.9,2.15,78.39
47.39,5.7,7787.4,63.0,2.15,78.39
48.4,5.5,7788.5,63.0,2.16,78.39
49.41,4.9,7789.1,63.0,2.16,78.39
50.43,4.0,7789.1,63.0,2.16,78.39
51.44,3.8,7789.0,63.0,2.16,78.4
52.45,3.9,7785.7,63.0,2.17,78.4
53.46,3.4,7785.3,63.0,2.17,78.4
54.47,3.9,7784.4,63.0,2.17,78.4
55.47,4.1,7784.8,63.0,2.17,78.4
56.48,4.1,7784.9,63.0,2.17,78.4
57.49,4.1,7784.7,63.0,2.18,78.4
58.5,3.6,7784.6,63.0,2.18,78.4
59.51,5.2,7781.3,63.0,2.18,78.4
60.52,3.4,7781.0,63.0,2.18,78.4
61.53,13.1,7784.0,62.9,2.21,78.92
62.53,19.6,7786.6,63.0,2.25,84.92
63.54,15.5,7798.1,63.0,2.26,85.04
64.55,14.5,7786.6,62.9,2.28,89.85
65.56,9.5,7789.2,62.9,2.29,89.86
66.57,7.3,7789.5,63.0,2.3,90.8
67.58,7.3,7789.8,63.0,2.3,90.81
68.58,3.9,7789.5,63.0,2.31,90.82
69.59,4.9,7789.5,63.0,2.31,90.82
70.6,3.7,7789.5,63.0,2.32,90.83
71.61,3.9,7789.3,63.0,2.32,90.83
72.62,4.5,7789.2,63.0,2.32,90.83
73.62,8.1,7798.2,63.0,2.37,91.24
74.63,5.6,7798.5,63.1,2.37,91.25
75.64,3.8,7798.6,63.1,2.37,91.25
76.65,3.9,7798.8,63.1,2.38,91.25
77.66,4.2,7799.0,63.1,2.38,91.25
78.67,3.7,7799.0,63.1,2.38,91.25
79.69,4.0,7798.5,63.0,2.39,91.26
80.7,3.6,7798.5,63.0,2.39,91.26
81.71,6.0,7797.8,63.0,2.39,91.27
82.72,6.0,7793.3,63.0,2.39,91.27
83.73,7.7,7794.0,63.0,2.44,91.37
84.73,4.6,7793.7,63.0,2.44,91.37
85.75,3.8,7794.0,63.0,2.44,91.37
86.76,3.9,7788.0,63.0,2.44,91.37
87.77,4.1,7788.3,63.0,2.44,91.37
88.78,3.9,7788.3,63.0,2.45,91.37
89.79,5.7,7772.8,62.9,2.45,91.37
90.79,3.6,7772.8,62.9,2.45,91.37
91.8,6.5,7772.5,62.9,2.45,91.38
92.8,6.1,7772.4,62.9,2.45,91.38
93.8,3.7,7772.5,62.9,2.46,91.38
94.81,3.9,7771.3,62.9,2.46,91.38
95.83,4.4,7771.9,62.9,2.46,91.38
96.84,3.5,7772.4,62.9,2.46,91.38
97.85,4.1,7772.2,62.9,2.46,91.38
98.86,3.5,7772.2,62.9,2.47,91.38
99.86,3.7,7772.2,62.9,2.47,91.38
100.87,3.7,7772.0,62.9,2.47,91.38
101.88,3.5,7771.7,62.9,2.47,91.39
102.88,3.6,7771.4,62.9,2.47,91.39
103.89,4.0,7771.3,62.9,2.48,91.39
104.9,4.5,7771.1,62.9,2.48,91.39
105.91,3.7,7771.8,62.9,2.48,91.39
106.91,4.1,7771.9,62.9,2.48,91.39
