Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771765094023,4,4,4,4,4,4,4,4,4,4,40.22214126586914,40.967681884765625,40.54832077026367,40.31846618652344,34.43754577636719,41.06621170043945,56.75,NaN,0,NaN,NaN,0,0,0,0,NaN,0,4.1455535888671875,17179869184,0,10381246464,0
202,1771765094023,4,4,4,4,4,4,4,4,4,4,40.22214126586914,40.967681884765625,40.54832077026367,40.31846618652344,34.43754577636719,41.06621170043945,56.75,0,0,0,0,NaN,0,0,NaN,50,NaN,4.1455535888671875,17179869184,0,10381246464,0
204,1771765094226,4,4,4,4,4,4,4,4,4,4,40.22214126586914,40.967681884765625,40.54832077026367,40.31846618652344,34.43754577636719,41.06621170043945,56.75,15.000000953674316,14.285715103149414,5,0,0,0,33.333335876464844,23.809524536132813,5,9.090909004211426,4.1455535888671875,17179869184,0,10381246464,0
204,1771765094431,4,4,4,4,4,4,4,4,4,4,48.25276565551758,48.72428894042969,48.35027313232422,48.26714324951172,42.95348358154297,49.75654602050781,68.75,28.571430206298828,20,15.000000953674316,20,19.047618865966797,10,15.789472579956055,10,20,0,4.1455535888671875,17179869184,0,10381246464,0
204,1771765094636,4,4,4,4,4,4,4,4,4,4,48.25276565551758,48.72428894042969,48.35027313232422,48.26714324951172,42.95348358154297,49.75654602050781,68.75,36.842105865478516,40,30.000001907348633,19.047618865966797,10,18.18181800842285,18.18181800842285,10.526315689086914,9.523809432983398,0,4.1455535888671875,17179869184,0,10381246464,0
200,1771765094841,4,4,4,4,4,4,4,4,4,4,48.25276565551758,48.72428894042969,48.35027313232422,48.26714324951172,42.95348358154297,49.75654602050781,68.75,38.095237731933594,35,31.81818199157715,21.052631378173828,19.047618865966797,15.789472579956055,36.842105865478516,45.45454788208008,40,42.85714340209961,10.48027515411377,17179869184,0,10498801664,0
204,1771765095041,4,4,4,4,4,4,4,4,4,4,48.25276565551758,48.72428894042969,48.35027313232422,48.26714324951172,42.95348358154297,49.75654602050781,68.75,63.15789031982422,60.000003814697266,36.842105865478516,33.333335876464844,25,38.095237731933594,52.38095474243164,47.36842346191406,47.619049072265625,42.105262756347656,10.48027515411377,17179869184,0,10498801664,0
204,1771765095246,4,4,4,4,4,4,4,4,4,4,48.25276565551758,48.72428894042969,48.35027313232422,48.26714324951172,42.95348358154297,49.75654602050781,68.75,70,57.142860412597656,52.38095474243164,45,45,35,65,60.000003814697266,63.15789031982422,63.6363639831543,10.48027515411377,17179869184,0,10498801664,0
204,1771765095452,4,4,4,4,4,4,4,4,4,4,51.916900634765625,52.681941986083984,52.33081817626953,51.39956283569336,47.0417366027832,53.90165328979492,73.140625,35,20,5,4.761904716491699,4.761904716491699,0,9.523809432983398,23.809524536132813,15.000000953674316,15.789472579956055,10.48027515411377,17179869184,0,10498801664,0
204,1771765095657,4,4,4,4,4,4,4,4,4,4,51.916900634765625,52.681941986083984,52.33081817626953,51.39956283569336,47.0417366027832,53.90165328979492,73.140625,38.095237731933594,20,20,10,0,9.523809432983398,10.526315689086914,14.285715103149414,18.18181800842285,5,10.48027515411377,17179869184,0,10498801664,0
204,1771765095862,4,4,4,4,4,4,4,4,4,4,51.916900634765625,52.681941986083984,52.33081817626953,51.39956283569336,47.0417366027832,53.90165328979492,73.140625,26.3157901763916,33.333335876464844,23.809524536132813,15.000000953674316,13.636363983154297,10,36.3636360168457,20,15.000000953674316,22.72727394104004,11.06271743774414,17179869184,0,10465247232,0
204,1771765096067,4,4,4,4,4,4,4,4,4,4,51.916900634765625,52.681941986083984,52.33081817626953,51.39956283569336,47.0417366027832,53.90165328979492,73.140625,40.90909194946289,30.000001907348633,15.000000953674316,9.523809432983398,10.526315689086914,9.523809432983398,15.000000953674316,19.047618865966797,20,10.526315689086914,11.06271743774414,17179869184,0,10491969536,0
203,1771765096272,4,4,4,4,4,4,4,4,4,4,51.916900634765625,52.681941986083984,52.33081817626953,51.39956283569336,47.0417366027832,53.90165328979492,73.140625,30.000001907348633,20,23.809524536132813,9.523809432983398,4.761904716491699,4.761904716491699,0,5,0,4.761904716491699,11.06271743774414,17179869184,0,10433200128,0
200,1771765096476,4,4,4,4,4,4,4,4,4,4,48.13277816772461,48.324947357177734,48.13271713256836,47.9881477355957,42.012420654296875,48.945343017578125,65.5625,25,20,5.263157844543457,10,9.523809432983398,0,0,0,0,0,11.06271743774414,17179869184,0,10421288960,0
204,1771765096677,4,4,4,4,4,4,4,4,4,4,48.13277816772461,48.324947357177734,48.13271713256836,47.9881477355957,42.012420654296875,48.945343017578125,65.5625,9.523809432983398,15.000000953674316,14.285715103149414,0,0,0,0,0,0,0,11.06271743774414,17179869184,0,10421288960,0
204,1771765096881,4,4,4,4,4,4,4,4,4,4,48.13277816772461,48.324947357177734,48.13271713256836,47.9881477355957,42.012420654296875,48.945343017578125,65.5625,21.052631378173828,15.000000953674316,10,0,0,0,9.523809432983398,10,14.285715103149414,5,14.13316822052002,17179869184,0,10440474624,0
204,1771765097087,4,4,4,4,4,4,4,4,4,4,48.13277816772461,48.324947357177734,48.13271713256836,47.9881477355957,42.012420654296875,48.945343017578125,65.5625,38.095237731933594,23.809524536132813,10,5,0,0,5,0,4.761904716491699,0,14.13316822052002,17179869184,0,10440474624,0
204,1771765097292,4,4,4,4,4,4,4,4,4,4,43.38357925415039,43.81832504272461,43.3172492980957,43.39009475708008,36.70896530151367,43.928226470947266,47.25,33.333335876464844,28.571430206298828,14.285715103149414,9.523809432983398,4.761904716491699,4.545454502105713,0,4.761904716491699,0,0,14.13316822052002,17179869184,0,10440474624,0
202,1771765097497,4,4,4,4,4,4,4,4,4,4,43.38357925415039,43.81832504272461,43.3172492980957,43.39009475708008,36.70896530151367,43.928226470947266,47.25,50,42.105262756347656,30.000001907348633,25,23.809524536132813,20,45.45454788208008,45,45,47.619049072265625,14.13316822052002,17179869184,0,10440474624,0
