Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771778088182,4,4,4,4,4,4,4,4,4,4,38.12563705444336,38.333099365234375,38.0302619934082,38.27969741821289,31.503257751464844,38.382755279541016,45.71875,0,0,NaN,0,0,NaN,0,0,0,NaN,3.978775978088379,17179869184,0,9346170880,0
202,1771778088182,4,4,4,4,4,4,4,4,4,4,38.12563705444336,38.333099365234375,38.0302619934082,38.27969741821289,31.503257751464844,38.382755279541016,45.71875,NaN,NaN,0,NaN,50,0,NaN,0,0,0,3.978775978088379,17179869184,0,9346973696,0
209,1771778088385,4,4,4,4,4,4,4,4,4,4,38.830047607421875,39.75682067871094,39.36151885986328,38.90350341796875,33.06432342529297,39.33135223388672,56.03125,20,15.000000953674316,10,4.761904716491699,4.761904716491699,0,19.047618865966797,31.57894515991211,4.761904716491699,9.090909004211426,3.978775978088379,17179869184,0,9346973696,0
204,1771778088595,4,4,4,4,4,4,4,4,4,4,38.830047607421875,39.75682067871094,39.36151885986328,38.90350341796875,33.06432342529297,39.33135223388672,56.03125,40.90909194946289,38.095237731933594,40.90909194946289,14.285715103149414,0,9.523809432983398,28.571430206298828,19.047618865966797,20,0,3.978775978088379,17179869184,0,9346973696,0
200,1771778088800,4,4,4,4,4,4,4,4,4,4,38.830047607421875,39.75682067871094,39.36151885986328,38.90350341796875,33.06432342529297,39.33135223388672,56.03125,85,80,65,55,52.38095474243164,52.38095474243164,95,95,95.23809814453125,95,3.994793653488159,17179869184,0,9346973696,0
209,1771778089001,4,4,4,4,4,4,4,4,4,4,38.830047607421875,39.75682067871094,39.36151885986328,38.90350341796875,33.06432342529297,39.33135223388672,56.03125,78.94737243652344,65,57.894737243652344,55,45,40,95.23809814453125,95.23809814453125,95,95.23809814453125,3.994793653488159,17179869184,0,9557966848,0
209,1771778089211,4,4,4,4,4,4,4,4,4,4,38.830047607421875,39.75682067871094,39.36151885986328,38.90350341796875,33.06432342529297,39.33135223388672,56.03125,33.333335876464844,28.571430206298828,14.285715103149414,4.761904716491699,4.761904716491699,0,40,38.095237731933594,30.000001907348633,35,3.994793653488159,17179869184,0,9557966848,0
208,1771778089421,4,4,4,4,4,4,4,4,4,4,51.09566879272461,51.76942825317383,51.59122085571289,51.12037658691406,47.024471282958984,53.5480842590332,73.84375,33.333335876464844,9.523809432983398,4.761904716491699,4.761904716491699,0,0,28.571430206298828,14.285715103149414,22.72727394104004,13.636363983154297,3.994793653488159,17179869184,0,9557966848,0
201,1771778089630,4,4,4,4,4,4,4,4,4,4,51.09566879272461,51.76942825317383,51.59122085571289,51.12037658691406,47.024471282958984,53.5480842590332,73.84375,50,35,30.000001907348633,20,14.285715103149414,14.285715103149414,42.85714340209961,47.619049072265625,95,40,3.994793653488159,17179869184,0,9557966848,0
205,1771778089832,4,4,4,4,4,4,4,4,4,4,51.09566879272461,51.76942825317383,51.59122085571289,51.12037658691406,47.024471282958984,53.5480842590332,73.84375,90,85,80,75,70,65,100,100,100,100,10.214982032775879,17179869184,0,9677307904,0
207,1771778090038,4,4,4,4,4,4,4,4,4,4,51.09566879272461,51.76942825317383,51.59122085571289,51.12037658691406,47.024471282958984,53.5480842590332,73.84375,75,55,52.38095474243164,33.333335876464844,30.000001907348633,20,80,77.2727279663086,75,75,10.214982032775879,17179869184,0,9650028544,0
206,1771778090245,4,4,4,4,4,4,4,4,4,4,51.09566879272461,51.76942825317383,51.59122085571289,51.12037658691406,47.024471282958984,53.5480842590332,73.84375,61.904762268066406,57.142860412597656,30.000001907348633,19.047618865966797,14.285715103149414,9.523809432983398,28.571430206298828,30.000001907348633,28.571430206298828,30.000001907348633,10.214982032775879,17179869184,0,9629827072,0
209,1771778090452,4,4,4,4,4,4,4,4,4,4,60.110984802246094,58.07887268066406,57.68378448486328,58.6923828125,53.42285919189453,63.84960174560547,79.265625,42.85714340209961,28.571430206298828,20,20,15.000000953674316,14.285715103149414,45,35,42.85714340209961,38.095237731933594,10.214982032775879,17179869184,0,9623896064,0
205,1771778090662,4,4,4,4,4,4,4,4,4,4,60.110984802246094,58.07887268066406,57.68378448486328,58.6923828125,53.42285919189453,63.84960174560547,79.265625,30.000001907348633,15.000000953674316,14.285715103149414,14.285715103149414,4.545454502105713,0,13.636363983154297,20,23.809524536132813,23.809524536132813,10.214982032775879,17179869184,0,9623896064,0
209,1771778090868,4,4,4,4,4,4,4,4,4,4,60.110984802246094,58.07887268066406,57.68378448486328,58.6923828125,53.42285919189453,63.84960174560547,79.265625,30.000001907348633,15.000000953674316,14.285715103149414,4.761904716491699,10,0,0,0,0,0,20.218095779418945,17179869184,0,9610199040,0
208,1771778091078,4,4,4,4,4,4,4,4,4,4,60.110984802246094,58.07887268066406,57.68378448486328,58.6923828125,53.42285919189453,63.84960174560547,79.265625,28.571430206298828,19.047618865966797,22.72727394104004,9.523809432983398,4.545454502105713,0,0,0,0,0,20.218095779418945,17179869184,0,9610199040,0
209,1771778091286,4,4,4,4,4,4,4,4,4,4,48.00138854980469,47.75246810913086,47.52416229248047,47.98709487915039,41.4588508605957,48.85792922973633,72.4375,23.809524536132813,19.047618865966797,10.526315689086914,5,0,4.761904716491699,0,0,0,0,20.218095779418945,17179869184,0,9610199040,0
205,1771778091496,4,4,4,4,4,4,4,4,4,4,48.00138854980469,47.75246810913086,47.52416229248047,47.98709487915039,41.4588508605957,48.85792922973633,72.4375,33.333335876464844,23.809524536132813,23.809524536132813,4.761904716491699,0,0,0,0,0,0,20.218095779418945,17179869184,0,9610199040,0
206,1771778091703,4,4,4,4,4,4,4,4,4,4,48.00138854980469,47.75246810913086,47.52416229248047,47.98709487915039,41.4588508605957,48.85792922973633,72.4375,25,15.000000953674316,19.047618865966797,9.523809432983398,0,0,0,0,0,0,20.218095779418945,17179869184,0,9610199040,0
200,1771778091910,4,4,4,4,4,4,4,4,4,4,48.00138854980469,47.75246810913086,47.52416229248047,47.98709487915039,41.4588508605957,48.85792922973633,72.4375,33.333335876464844,14.285715103149414,14.285715103149414,0,4.761904716491699,0,0,0,0,0,15.63415241241455,17179869184,0,9589129216,0
207,1771778092110,4,4,4,4,4,4,4,4,4,4,48.00138854980469,47.75246810913086,47.52416229248047,47.98709487915039,41.4588508605957,48.85792922973633,72.4375,35,21.052631378173828,15.000000953674316,19.047618865966797,5,4.761904716491699,10,13.636363983154297,0,0,15.63415241241455,17179869184,0,9587933184,0
203,1771778092318,4,4,4,4,4,4,4,4,4,4,43.366188049316406,44.19522476196289,43.700279235839844,43.65842056274414,37.27972412109375,44.29683303833008,66.984375,35,27.272727966308594,19.047618865966797,15.000000953674316,9.523809432983398,10,38.095237731933594,36.842105865478516,33.333335876464844,33.333335876464844,15.63415241241455,17179869184,0,9673981952,0
