elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,2.0,6501.0,56.1,0.0,0.0
1.01,28.7,6944.3,58.7,0.03,0.08
2.02,45.4,7076.9,59.5,0.67,3.56
3.02,28.8,7011.8,59.1,0.82,5.76
4.04,7.5,6990.6,59.0,0.82,5.76
5.05,21.9,7138.7,59.8,2.54,8.06
6.05,25.7,7157.6,59.9,2.74,8.6
7.06,13.8,7136.0,59.8,2.75,8.6
8.07,11.0,7103.4,59.6,2.75,8.6
9.08,10.9,7063.6,59.4,2.75,8.6
10.09,7.9,7056.1,59.3,2.76,8.65
11.1,10.8,7033.4,59.3,2.76,8.67
12.11,9.5,7017.6,59.1,2.79,8.67
13.12,7.3,7003.1,59.1,2.79,8.67
14.13,7.4,7000.0,59.0,2.8,8.67
15.14,7.5,7000.8,59.0,2.8,8.67
16.15,7.9,6983.9,58.9,2.8,8.67
17.16,7.0,6984.8,58.9,2.8,8.67
18.16,9.0,6985.5,59.0,2.8,8.67
19.16,7.8,6972.0,58.9,2.8,8.67
20.17,6.9,6972.8,58.9,2.8,8.67
21.18,7.7,6969.4,58.9,2.8,8.67
22.19,7.3,6970.3,58.9,2.8,8.67
23.2,7.8,6968.3,58.9,2.8,8.67
24.21,7.7,6968.7,58.8,2.8,8.67
25.22,7.3,6969.0,58.8,2.81,8.67
26.23,7.3,6970.0,58.9,2.81,8.67
27.24,7.3,6970.5,58.8,2.81,8.67
28.25,8.7,6969.3,58.8,2.81,8.67
29.26,7.4,6970.0,58.8,2.82,8.67
30.26,7.2,6970.6,58.9,2.82,8.67
31.27,7.8,6969.8,58.8,2.82,8.68
32.28,11.1,6914.3,58.5,2.82,8.68
33.29,7.5,6913.2,58.5,2.82,8.68
34.3,7.9,6913.8,58.5,2.83,8.69
35.31,7.2,6914.3,58.5,2.83,8.69
36.32,7.2,6907.8,58.5,2.83,8.69
37.33,7.3,6906.7,58.5,2.83,8.69
38.34,7.4,6907.5,58.5,2.83,8.69
39.35,7.0,6908.3,58.5,2.83,8.69
40.36,6.9,6908.9,58.5,2.84,8.69
41.37,7.7,6909.3,58.5,2.84,8.69
42.38,7.6,6909.8,58.5,2.84,8.77
43.38,7.3,6905.7,58.5,2.85,8.77
44.39,8.0,6901.8,58.4,2.85,8.77
45.4,7.3,6902.7,58.4,2.85,8.77
46.4,7.4,6903.6,58.4,2.85,8.77
47.41,6.9,6904.3,58.5,2.85,8.77
48.42,7.2,6904.9,58.5,2.86,8.77
49.43,7.6,6905.0,58.5,2.86,8.78
50.44,7.5,6904.8,58.5,2.86,8.78
51.44,7.6,6905.0,58.5,2.86,8.78
52.45,7.1,6905.3,58.5,2.86,8.78
53.46,7.3,6905.8,58.5,2.86,8.78
54.47,7.3,6907.0,58.5,2.86,8.78
55.47,7.7,6907.7,58.5,2.87,8.78
56.48,8.8,6915.3,58.5,2.87,8.78
57.49,8.0,6915.7,58.5,2.87,8.78
58.5,7.8,6916.0,58.5,2.87,8.78
59.51,7.8,6916.9,58.5,2.87,8.78
60.52,8.0,6917.7,58.5,2.87,8.78
61.52,8.1,6918.5,58.5,2.89,9.21
62.53,6.9,6918.9,58.6,2.89,9.21
63.54,7.2,6915.8,58.5,2.89,9.21
64.55,7.3,6916.2,58.5,2.89,9.21
65.56,7.3,6916.0,58.5,2.9,9.22
66.56,7.4,6915.3,58.5,2.9,9.22
67.57,7.5,6915.4,58.5,2.9,9.22
68.58,7.0,6915.2,58.5,2.9,9.22
69.59,7.1,6915.2,58.5,2.9,9.22
70.6,7.3,6915.0,58.5,2.9,9.22
71.61,7.7,6914.6,58.5,2.91,9.22
72.62,7.6,6916.7,58.5,2.91,9.22
