Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771777705783,4,4,4,4,4,4,4,4,4,4,38.147796630859375,38.4366340637207,38.11073684692383,38.36515426635742,31.594562530517578,38.43463897705078,45.71875,NaN,100,100,NaN,0,0,NaN,0,100,0,3.864051342010498,17179869184,0,8977104896,0
209,1771777705783,4,4,4,4,4,4,4,4,4,4,38.147796630859375,38.4366340637207,38.11073684692383,38.36515426635742,31.594562530517578,38.43463897705078,45.71875,NaN,NaN,NaN,NaN,100,100,0,NaN,0,NaN,3.864051342010498,17179869184,0,8977104896,0
209,1771777705993,4,4,4,4,4,4,4,4,4,4,38.147796630859375,38.4366340637207,38.11073684692383,38.36515426635742,31.594562530517578,38.43463897705078,45.71875,68.18181610107422,61.904762268066406,70,50,38.095237731933594,38.095237731933594,10,40.90909194946289,10,4.761904716491699,3.864051342010498,17179869184,0,8977104896,0
209,1771777706203,4,4,4,4,4,4,4,4,4,4,38.147796630859375,38.4366340637207,38.11073684692383,38.36515426635742,31.594562530517578,38.43463897705078,45.71875,61.904762268066406,52.38095474243164,42.85714340209961,35,28.571430206298828,28.571430206298828,28.571430206298828,25,18.18181800842285,5,3.864051342010498,17179869184,0,8977104896,0
197,1771777706422,4,4,4,4,4,4,4,4,4,4,40.31460952758789,41.82448959350586,41.42437744140625,40.071285247802734,35.423030853271484,41.30573654174805,55.796875,81.81818389892578,76.19047546386719,63.6363639831543,54.54545593261719,47.619049072265625,50,95.45454406738281,90.90909576416016,86.36363983154297,86.36363983154297,3.864051342010498,17179869184,0,9517858816,0
209,1771777706620,4,4,4,4,4,4,4,4,4,4,40.31460952758789,41.82448959350586,41.42437744140625,40.071285247802734,35.423030853271484,41.30573654174805,55.796875,73.68421173095703,68.42105102539063,60.000003814697266,50,52.38095474243164,40,100,100,100,95,3.864051342010498,17179869184,0,9582985216,0
207,1771777706829,4,4,4,4,4,4,4,4,4,4,40.31460952758789,41.82448959350586,41.42437744140625,40.071285247802734,35.423030853271484,41.30573654174805,55.796875,35,27.272727966308594,15.000000953674316,9.523809432983398,5,0,36.3636360168457,40,28.571430206298828,38.095237731933594,5.168580532073975,17179869184,0,9579462656,0
209,1771777707037,4,4,4,4,4,4,4,4,4,4,40.31460952758789,41.82448959350586,41.42437744140625,40.071285247802734,35.423030853271484,41.30573654174805,55.796875,28.571430206298828,15.000000953674316,9.090909004211426,0,0,0,5,13.636363983154297,14.285715103149414,9.523809432983398,5.168580532073975,17179869184,0,9546186752,0
208,1771777707247,4,4,4,4,4,4,4,4,4,4,40.31460952758789,52.880271911621094,52.802677154541016,40.071285247802734,48.174560546875,41.30573654174805,55.796875,28.571430206298828,19.047618865966797,20,9.090909004211426,0,4.545454502105713,4.761904716491699,4.761904716491699,0,4.545454502105713,5.168580532073975,17179869184,0,9546416128,0
209,1771777707455,4,4,4,4,4,4,4,4,4,4,52.902244567871094,52.880271911621094,52.802677154541016,52.8342170715332,48.174560546875,55.173526763916016,72.90625,19.047618865966797,18.18181800842285,19.047618865966797,5,13.636363983154297,0,0,0,0,0,5.168580532073975,17179869184,0,9529016320,0
202,1771777707666,4,4,4,4,4,4,4,4,4,4,52.902244567871094,52.880271911621094,52.802677154541016,52.8342170715332,48.174560546875,55.173526763916016,72.90625,4.761904716491699,0,0,0,0,0,0,0,0,0,5.168580532073975,17179869184,0,9528819712,0
203,1771777707868,4,4,4,4,4,4,4,4,4,4,52.902244567871094,52.880271911621094,52.802677154541016,52.8342170715332,48.174560546875,55.173526763916016,72.90625,36.842105865478516,36.842105865478516,23.809524536132813,20,10.526315689086914,14.285715103149414,35,26.3157901763916,30.000001907348633,21.052631378173828,16.61087989807129,17179869184,0,9528868864,0
209,1771777708071,4,4,4,4,4,4,4,4,4,4,52.902244567871094,52.880271911621094,52.802677154541016,52.8342170715332,48.174560546875,55.173526763916016,72.90625,61.904762268066406,47.619049072265625,35,25,19.047618865966797,15.000000953674316,85,85,100,85,16.61087989807129,17179869184,0,9679912960,0
209,1771777708281,4,4,4,4,4,4,4,4,4,4,49.61378479003906,49.20880889892578,49.07666778564453,50.03010177612305,43.979713439941406,51.840553283691406,77.625,40,20,9.523809432983398,4.761904716491699,4.761904716491699,4.761904716491699,54.54545593261719,68.18181610107422,57.142860412597656,66.66667175292969,16.61087989807129,17179869184,0,9709961216,0
201,1771777708491,4,4,4,4,4,4,4,4,4,4,49.61378479003906,49.20880889892578,49.07666778564453,50.03010177612305,43.979713439941406,51.840553283691406,77.625,33.333335876464844,23.809524536132813,20,14.285715103149414,15.000000953674316,13.636363983154297,55,80.95238494873047,50,68.18181610107422,16.61087989807129,17179869184,0,9762291712,0
208,1771777708693,4,4,4,4,4,4,4,4,4,4,49.61378479003906,49.20880889892578,49.07666778564453,50.03010177612305,43.979713439941406,51.840553283691406,77.625,45,28.571430206298828,28.571430206298828,20,10,5,45,21.052631378173828,42.85714340209961,21.052631378173828,16.61087989807129,17179869184,0,9769566208,0
206,1771777708901,4,4,4,4,4,4,4,4,4,4,49.61378479003906,49.20880889892578,49.07666778564453,50.03010177612305,43.979713439941406,51.840553283691406,77.625,47.619049072265625,38.095237731933594,28.571430206298828,28.571430206298828,19.047618865966797,20,57.142860412597656,71.42857360839844,70,70,6.422549247741699,17179869184,0,9814212608,0
206,1771777709108,4,4,4,4,4,4,4,4,4,4,49.61378479003906,49.20880889892578,49.07666778564453,50.03010177612305,43.979713439941406,51.840553283691406,77.625,30.000001907348633,15.789472579956055,10.526315689086914,5,9.090909004211426,0,25,9.523809432983398,13.636363983154297,18.18181800842285,6.422549247741699,17179869184,0,9814212608,0
209,1771777709315,4,4,4,4,4,4,4,4,4,4,58.159664154052734,57.706199645996094,57.869930267333984,58.21341323852539,53.76088333129883,60.45437240600586,79.265625,40,28.571430206298828,27.272727966308594,14.285715103149414,10,9.523809432983398,47.619049072265625,33.333335876464844,35,40,6.422549247741699,17179869184,0,9814212608,0
206,1771777709525,4,4,4,4,4,4,4,4,4,4,58.159664154052734,57.706199645996094,57.869930267333984,58.21341323852539,53.76088333129883,60.45437240600586,79.265625,35,28.571430206298828,14.285715103149414,9.523809432983398,4.761904716491699,0,38.095237731933594,100,38.095237731933594,42.85714340209961,6.422549247741699,17179869184,0,9731784704,0
206,1771777709732,4,4,4,4,4,4,4,4,4,4,58.159664154052734,57.706199645996094,57.869930267333984,58.21341323852539,53.76088333129883,60.45437240600586,79.265625,27.272727966308594,15.000000953674316,5.263157844543457,5,4.761904716491699,4.761904716491699,40,52.38095474243164,14.285715103149414,14.285715103149414,6.422549247741699,17179869184,0,9733095424,0
209,1771777709938,4,4,4,4,4,4,4,4,4,4,58.159664154052734,57.706199645996094,57.869930267333984,58.21341323852539,53.76088333129883,60.45437240600586,79.265625,30.000001907348633,19.047618865966797,9.523809432983398,9.523809432983398,0,0,45.45454788208008,22.72727394104004,33.333335876464844,23.809524536132813,20.227426528930664,17179869184,0,9758539776,0
208,1771777710148,4,4,4,4,4,4,4,4,4,4,58.159664154052734,57.706199645996094,57.869930267333984,58.21341323852539,53.76088333129883,60.45437240600586,79.265625,47.619049072265625,31.57894515991211,27.272727966308594,19.047618865966797,14.285715103149414,13.636363983154297,75,85,80,80.95238494873047,20.227426528930664,17179869184,0,9771696128,0
203,1771777710357,4,4,4,4,4,4,4,4,4,4,58.27226257324219,60.426719665527344,61.8664436340332,57.98603057861328,58.87904357910156,60.94655990600586,79.734375,10,9.090909004211426,0,0,0,0,23.809524536132813,35,19.047618865966797,10,20.227426528930664,17179869184,0,9771696128,0
209,1771777710560,4,4,4,4,4,4,4,4,4,4,58.27226257324219,60.426719665527344,61.8664436340332,57.98603057861328,58.87904357910156,60.94655990600586,79.734375,40,25,20,20,20,18.18181800842285,47.619049072265625,42.85714340209961,50,40,20.227426528930664,17179869184,0,9751412736,0
209,1771777710770,4,4,4,4,4,4,4,4,4,4,58.27226257324219,60.426719665527344,61.8664436340332,57.98603057861328,58.87904357910156,60.94655990600586,79.734375,13.636363983154297,4.761904716491699,0,4.545454502105713,0,0,0,0,0,0,15.898752212524414,17179869184,0,9751412736,0
