elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,1.7,6402.6,55.6,0.0,0.0
1.01,37.8,6941.9,58.7,0.02,0.06
2.02,24.8,6952.3,58.8,0.13,0.66
3.02,28.6,7176.4,60.0,0.31,12.67
4.02,31.5,7141.7,59.9,0.44,18.73
5.03,26.2,7151.1,59.9,0.5,22.48
6.04,9.4,7154.6,59.9,0.51,22.55
7.05,10.9,7138.2,59.8,0.51,22.55
8.06,14.6,7024.9,59.2,0.51,22.55
9.07,22.2,7254.6,60.5,1.44,23.56
10.08,25.4,7231.6,60.4,1.46,23.63
11.09,13.1,7167.3,60.0,1.49,24.84
12.1,9.3,7254.3,60.5,1.52,25.49
13.1,27.2,7322.4,60.8,1.64,31.22
14.11,45.1,7273.4,60.6,1.79,46.29
15.12,14.2,7285.9,60.7,2.04,78.05
16.13,6.7,7196.7,60.2,2.05,78.06
17.14,8.1,7201.2,60.2,2.05,78.06
18.15,5.3,7197.6,60.2,2.06,78.07
19.16,10.6,7202.8,60.2,2.08,78.12
20.17,11.3,7226.3,60.4,2.08,78.12
21.18,4.9,7226.7,60.4,2.08,78.12
22.19,4.5,7210.2,60.3,2.08,78.12
23.2,4.4,7210.1,60.3,2.09,78.12
24.21,12.7,7210.8,60.3,2.09,78.12
25.21,4.2,7210.6,60.3,2.09,78.12
26.22,3.6,7207.7,60.3,2.09,78.12
27.23,4.4,7198.9,60.2,2.09,78.13
28.24,4.8,7199.1,60.2,2.1,78.13
29.25,4.0,7198.7,60.2,2.1,78.13
30.26,5.0,7191.2,60.2,2.1,78.13
31.27,5.9,7198.4,60.2,2.1,78.13
32.28,9.5,7111.9,59.7,2.11,78.14
33.29,6.5,7092.0,59.6,2.11,78.14
34.3,4.4,7091.1,59.6,2.11,78.14
35.31,4.6,7090.5,59.6,2.11,78.14
36.32,4.1,7090.6,59.5,2.11,78.14
37.33,4.0,7083.9,59.5,2.12,78.14
38.34,5.8,7084.1,59.5,2.12,78.14
39.35,6.5,7085.7,59.6,2.12,78.14
40.36,3.7,7085.3,59.5,2.12,78.15
41.37,4.2,7085.2,59.5,2.12,78.15
42.38,4.0,7085.1,59.5,2.13,78.15
43.39,6.2,7067.7,59.4,2.13,78.15
44.4,4.1,7067.5,59.4,2.14,78.15
45.41,3.8,7067.1,59.5,2.14,78.15
46.42,4.3,7067.4,59.4,2.14,78.16
47.43,6.4,7047.2,59.3,2.14,78.16
48.44,4.6,7047.3,59.3,2.15,78.16
49.45,5.5,7050.3,59.3,2.15,78.16
50.46,5.2,7050.3,59.3,2.15,78.17
51.46,3.8,7050.2,59.3,2.15,78.17
52.47,3.8,7048.3,59.3,2.15,78.17
53.48,3.8,7048.2,59.3,2.16,78.17
54.49,3.8,7047.3,59.3,2.16,78.17
55.5,3.9,7047.1,59.3,2.16,78.17
56.51,3.9,7047.1,59.3,2.16,78.17
57.52,4.5,7047.8,59.3,2.16,78.17
58.53,5.7,7048.4,59.3,2.16,78.18
59.54,4.2,7048.5,59.3,2.17,78.18
60.55,3.4,7048.6,59.3,2.17,78.18
61.56,15.1,7052.1,59.4,2.21,78.71
62.57,11.1,7054.4,59.3,2.23,79.54
63.58,14.9,7052.0,59.3,2.25,84.43
64.59,18.1,7063.2,59.4,2.27,84.83
65.6,16.3,7064.6,59.4,2.29,89.56
66.61,9.5,7066.4,59.4,2.3,90.59
67.62,11.9,7070.6,59.5,2.31,90.61
68.63,5.0,7070.9,59.5,2.31,90.62
69.63,4.0,7070.2,59.5,2.32,90.62
70.64,4.2,7069.7,59.5,2.32,90.62
71.65,4.9,7066.8,59.5,2.32,90.62
72.66,4.3,7062.2,59.4,2.32,90.62
73.67,9.7,7064.0,59.4,2.38,91.05
74.68,6.0,7064.5,59.4,2.38,91.06
75.69,4.3,7064.2,59.4,2.38,91.06
76.7,3.9,7064.3,59.4,2.38,91.06
77.72,4.2,7064.0,59.4,2.39,91.06
78.73,4.6,7064.1,59.4,2.39,91.06
79.73,4.6,7064.1,59.4,2.39,91.06
80.75,6.1,7064.0,59.4,2.39,91.06
81.75,4.3,7064.5,59.4,2.39,91.06
82.75,4.5,7064.2,59.4,2.4,91.06
83.76,7.3,7065.1,59.4,2.44,91.16
84.77,4.8,7067.3,59.4,2.44,91.16
85.78,3.8,7067.2,59.4,2.44,91.17
86.78,4.2,7067.3,59.4,2.45,91.17
87.79,4.5,7067.5,59.4,2.45,91.17
88.8,4.1,7067.6,59.4,2.45,91.17
89.81,4.1,7064.7,59.4,2.46,91.18
90.82,4.0,7052.2,59.3,2.46,91.18
91.84,7.3,7050.1,59.3,2.46,91.18
92.85,5.6,7050.2,59.3,2.46,91.18
93.86,4.2,7050.1,59.3,2.46,91.18
94.87,3.7,7050.0,59.3,2.46,91.18
95.88,3.8,7049.5,59.3,2.47,91.18
96.89,5.6,7050.3,59.3,2.47,91.19
97.89,3.8,7050.2,59.3,2.47,91.19
98.9,4.5,7051.1,59.3,2.47,91.19
99.91,4.0,7050.4,59.3,2.48,91.19
100.92,3.8,7050.4,59.3,2.48,91.19
101.93,4.5,7050.4,59.3,2.48,91.19
102.95,4.4,7050.5,59.3,2.48,91.19
103.96,4.1,7050.0,59.3,2.48,91.2
104.97,4.0,7050.2,59.3,2.49,91.2
105.98,3.9,7049.9,59.3,2.49,91.2
106.99,3.8,7049.9,59.3,2.49,91.2
108.0,4.9,7050.2,59.3,2.49,91.2
109.01,4.1,7050.2,59.3,2.49,91.2
110.02,5.4,7050.1,59.3,2.5,91.2
111.03,3.5,7050.1,59.3,2.5,91.2
112.04,3.8,7050.0,59.3,2.5,91.21
113.05,4.2,7049.4,59.3,2.5,91.21
114.06,4.0,7049.3,59.3,2.51,91.22
115.07,4.7,7052.1,59.3,2.52,91.25
116.08,4.2,7052.6,59.3,2.53,91.25
117.1,4.1,7052.5,59.3,2.53,91.26
118.11,3.9,7052.6,59.3,2.54,91.27
119.12,4.2,7052.4,59.3,2.54,91.27
120.13,3.9,7052.4,59.3,2.54,91.27
121.14,4.3,7052.1,59.3,2.54,91.27
122.15,5.8,7053.2,59.3,2.54,91.27
123.15,4.2,7053.3,59.3,2.55,91.27
124.17,3.9,7053.2,59.3,2.55,91.27
125.18,3.9,7053.3,59.3,2.56,91.34
126.19,5.0,7054.3,59.3,2.56,91.35
127.19,14.3,7056.8,59.4,2.57,91.36
128.2,5.5,7054.6,59.3,2.57,91.36
129.21,4.3,7054.6,59.3,2.57,91.36
130.22,3.8,7054.6,59.3,2.58,91.37
131.23,3.5,7054.5,59.3,2.58,91.37
132.23,4.7,7056.8,59.3,3.08,91.87
133.25,4.2,7056.4,59.4,3.09,91.88
134.26,6.6,7037.7,59.3,3.12,91.91
135.27,0.7,7037.3,59.3,3.12,91.91
