Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771771049308,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,NaN,0,0,NaN,NaN,0,NaN,0,0,NaN,4.036492824554443,17179869184,0,9709895680,0
209,1771771049308,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,NaN,NaN,100,0,0,NaN,0,NaN,NaN,0,4.036492824554443,17179869184,0,9710714880,0
208,1771771049518,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,18.18181800842285,0,9.523809432983398,0,10,0,15.789472579956055,4.761904716491699,0,25,4.036492824554443,17179869184,0,9715253248,0
208,1771771049727,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,38.095237731933594,47.619049072265625,28.571430206298828,18.18181800842285,4.761904716491699,9.523809432983398,36.3636360168457,14.285715103149414,18.18181800842285,9.090909004211426,4.036492824554443,17179869184,0,9744465920,0
202,1771771049935,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,80.95238494873047,77.2727279663086,66.66667175292969,57.142860412597656,55,52.38095474243164,100,95.23809814453125,95,95,3.9939727783203125,17179869184,0,9744465920,0
209,1771771050137,4,4,4,4,4,4,4,4,4,4,38.24429702758789,38.916343688964844,38.32655715942383,38.36137771606445,31.78003692626953,38.58095169067383,52.21875,78.94737243652344,63.15789031982422,52.6315803527832,47.36842346191406,42.85714340209961,40,95.23809814453125,100,95.23809814453125,100,3.9939727783203125,17179869184,0,9930063872,0
209,1771771050347,4,4,4,4,4,4,4,4,4,4,49.36850357055664,49.38169479370117,48.88583755493164,49.80621337890625,43.98048782348633,51.74104690551758,75.96875,33.333335876464844,20,14.285715103149414,4.761904716491699,0,0,33.333335876464844,31.81818199157715,35,33.333335876464844,3.9939727783203125,17179869184,0,9998860288,0
209,1771771050557,4,4,4,4,4,4,4,4,4,4,49.36850357055664,49.38169479370117,48.88583755493164,49.80621337890625,43.98048782348633,51.74104690551758,75.96875,19.047618865966797,13.636363983154297,4.761904716491699,0,0,0,28.571430206298828,19.047618865966797,50,14.285715103149414,3.9939727783203125,17179869184,0,10015981568,0
209,1771771050767,4,4,4,4,4,4,4,4,4,4,49.36850357055664,49.38169479370117,48.88583755493164,49.80621337890625,43.98048782348633,51.74104690551758,75.96875,75,70,60.000003814697266,55,50,47.619049072265625,90,80,90,81.81818389892578,3.9939727783203125,17179869184,0,10076930048,0
209,1771771050978,4,4,4,4,4,4,4,4,4,4,49.36850357055664,49.38169479370117,48.88583755493164,49.80621337890625,43.98048782348633,51.74104690551758,75.96875,90.47618865966797,75,57.142860412597656,52.38095474243164,40,33.333335876464844,100,95.45454406738281,100,100,7.701761722564697,17179869184,0,10097426432,0
