elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,1.1,6729.4,57.3,0.0,0.0
1.0,27.6,7203.9,60.1,0.02,0.07
2.01,49.2,7402.0,61.2,0.72,3.95
3.02,21.5,7294.2,60.6,0.78,5.7
4.03,6.6,7279.7,60.5,0.78,5.7
5.04,19.1,7378.1,61.0,2.41,7.84
6.05,25.8,7478.4,61.7,2.68,8.53
7.05,13.4,7416.2,61.3,2.74,8.56
8.06,10.0,7397.6,61.2,2.74,8.57
9.07,10.4,7377.9,61.1,2.75,8.59
10.08,3.9,7315.8,60.7,2.76,8.65
11.09,6.6,7368.6,61.0,2.76,8.66
12.1,12.2,7375.5,61.1,2.8,8.68
13.11,12.5,7358.3,61.0,2.83,12.36
14.12,22.8,7270.0,60.5,2.96,28.07
15.12,17.9,7368.4,61.0,3.17,38.69
16.13,8.8,7302.4,60.6,3.17,38.69
17.14,4.9,7266.1,60.4,3.17,38.69
18.16,2.9,7260.0,60.4,3.17,38.69
19.17,3.3,7257.2,60.3,3.17,38.69
20.18,10.0,7259.1,60.4,3.17,38.69
21.18,2.9,7253.6,60.3,3.17,38.69
22.19,3.7,7250.3,60.3,3.17,38.69
23.19,4.0,7240.7,60.3,3.18,38.7
24.2,3.2,7239.5,60.3,3.18,38.7
25.22,3.2,7233.9,60.2,3.18,38.7
26.22,3.5,7226.1,60.2,3.19,38.7
27.23,3.0,7226.5,60.2,3.19,38.71
28.24,3.3,7226.5,60.2,3.19,38.71
29.25,3.2,7226.6,60.2,3.19,38.71
30.26,2.7,7221.2,60.2,3.19,38.71
31.27,5.8,7302.6,60.6,3.19,38.71
32.28,7.5,7263.4,60.4,3.2,38.71
33.29,5.6,7270.7,60.5,3.2,38.71
34.3,3.5,7271.5,60.5,3.2,38.71
35.31,3.7,7272.0,60.4,3.21,38.71
36.32,3.5,7266.4,60.4,3.21,38.71
37.32,3.9,7267.1,60.4,3.21,38.71
38.33,4.5,7268.1,60.5,3.21,38.71
39.34,3.3,7239.3,60.3,3.21,38.71
40.35,2.9,7237.9,60.3,3.21,38.71
41.35,3.2,7231.9,60.2,3.21,38.71
42.36,3.1,7225.6,60.2,3.21,38.71
43.37,3.9,7221.0,60.2,3.22,38.71
44.38,3.1,7221.3,60.1,3.22,38.72
45.39,3.6,7222.3,60.2,3.22,38.72
46.4,6.2,7206.3,60.1,3.22,38.72
47.41,4.6,7207.5,60.1,3.22,38.72
48.42,2.7,7208.0,60.1,3.22,38.72
49.43,3.1,7208.2,60.1,3.23,38.72
50.44,3.0,7208.3,60.1,3.23,38.72
51.45,3.1,7208.3,60.1,3.23,38.72
52.46,3.0,7205.1,60.1,3.23,38.72
53.47,3.2,7205.6,60.1,3.23,38.72
54.48,3.3,7206.6,60.1,3.23,38.72
55.49,2.8,7207.4,60.1,3.23,38.72
56.5,3.7,7208.4,60.1,3.23,38.72
57.5,3.3,7202.8,60.1,3.23,38.72
58.5,5.0,7203.6,60.1,3.23,38.72
59.51,4.4,7204.1,60.1,3.24,38.72
60.52,3.7,7204.8,60.1,3.24,38.72
61.53,8.8,7207.4,60.1,3.26,39.17
62.54,11.3,7253.2,60.4,3.28,44.13
63.55,15.1,7262.6,60.4,3.28,44.21
64.56,14.5,7249.7,60.3,3.3,44.6
65.57,9.6,7250.9,60.3,3.31,45.33
66.57,15.1,7256.2,60.4,3.33,50.14
67.58,9.4,7255.9,60.4,3.34,51.1
68.6,6.4,7256.2,60.4,3.34,51.11
69.61,7.3,7256.1,60.3,3.35,51.12
70.61,3.0,7226.3,60.2,3.35,51.12
71.61,3.8,7223.8,60.2,3.35,51.12
72.62,3.3,7213.3,60.1,3.36,51.13
73.63,2.9,7213.3,60.1,3.36,51.13
74.64,3.5,7212.8,60.1,3.36,51.13
75.65,3.7,7213.1,60.1,3.37,51.13
76.66,4.9,7213.2,60.1,3.37,51.13
77.66,3.1,7213.2,60.1,3.37,51.13
78.67,2.9,7213.2,60.1,3.37,51.13
79.68,2.9,7213.2,60.1,3.37,51.13
80.68,3.4,7213.1,60.1,3.37,51.13
81.68,3.0,7212.8,60.1,3.37,51.13
82.69,3.5,7212.7,60.1,3.37,51.13
83.7,2.9,7213.0,60.1,3.38,51.14
84.71,3.2,7213.1,60.1,3.38,51.14
85.73,3.1,7213.1,60.1,3.38,51.14
86.74,3.1,7213.5,60.1,3.38,51.14
87.74,3.0,7214.0,60.1,3.38,51.14
88.75,2.8,7214.1,60.1,3.38,51.14
89.76,3.2,7201.8,60.0,3.38,51.14
90.77,2.9,7202.0,60.0,3.39,51.14
91.78,3.5,7248.9,60.3,3.39,51.14
92.79,3.6,7249.2,60.3,3.39,51.14
93.8,3.4,7249.4,60.3,3.39,51.14
94.81,3.5,7249.3,60.3,3.39,51.14
95.82,3.1,7249.5,60.3,3.4,51.15
96.82,3.0,7249.7,60.3,3.4,51.15
97.83,3.1,7249.4,60.3,3.4,51.15
98.84,3.4,7249.5,60.3,3.4,51.15
99.85,3.1,7220.0,60.1,3.4,51.15
100.86,3.1,7218.1,60.1,3.4,51.15
101.87,2.8,7209.5,60.1,3.4,51.15
102.88,3.1,7203.7,60.0,3.4,51.15
103.89,4.9,7203.9,60.1,3.4,51.15
104.9,3.2,7204.0,60.1,3.41,51.15
105.91,3.5,7204.0,60.1,3.41,51.15
106.92,4.3,7203.9,60.1,3.41,51.15
107.93,2.9,7204.0,60.1,3.41,51.15
108.94,2.8,7203.7,60.1,3.41,51.15
109.95,2.9,7203.7,60.0,3.41,51.15
110.96,2.9,7203.5,60.0,3.42,51.15
111.97,2.7,7203.0,60.0,3.42,51.15
112.98,3.5,7203.4,60.1,3.42,51.15
113.99,3.1,7203.7,60.0,3.42,51.16
115.0,3.1,7203.8,60.0,3.42,51.16
116.01,3.0,7203.8,60.0,3.42,51.16
117.02,2.8,7204.0,60.0,3.42,51.16
118.03,4.1,7204.1,60.0,3.42,51.16
119.04,2.7,7204.0,60.0,3.42,51.16
