Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771771959176,4,4,4,4,4,4,4,4,4,4,37.996612548828125,38.14679718017578,37.61748504638672,37.931640625,30.983509063720703,37.97005844116211,45.46875,0,NaN,0,0,0,0,0,NaN,0,NaN,3.976790428161621,17179869184,0,9652666368,0
209,1771771959177,4,4,4,4,4,4,4,4,4,4,37.996612548828125,38.14679718017578,37.61748504638672,37.931640625,30.983509063720703,37.97005844116211,45.46875,NaN,0,NaN,0,0,0,0,0,NaN,0,3.976790428161621,17179869184,0,9653485568,0
209,1771771959387,4,4,4,4,4,4,4,4,4,4,38.68214416503906,39.84115982055664,39.1735725402832,38.59489822387695,32.81867980957031,39.12421417236328,51.890625,22.72727394104004,14.285715103149414,4.761904716491699,0,0,0,33.333335876464844,9.523809432983398,13.636363983154297,0,3.976790428161621,17179869184,0,9657778176,0
202,1771771959597,4,4,4,4,4,4,4,4,4,4,38.68214416503906,39.84115982055664,39.1735725402832,38.59489822387695,32.81867980957031,39.12421417236328,51.890625,35,47.619049072265625,33.333335876464844,14.285715103149414,14.285715103149414,4.761904716491699,23.809524536132813,20,14.285715103149414,0,3.976790428161621,17179869184,0,9657778176,0
205,1771771959800,4,4,4,4,4,4,4,4,4,4,38.68214416503906,39.84115982055664,39.1735725402832,38.59489822387695,32.81867980957031,39.12421417236328,51.890625,85.71428680419922,80,71.42857360839844,57.142860412597656,52.6315803527832,50,95.23809814453125,95.45454406738281,100,95.23809814453125,3.9746508598327637,17179869184,0,9885384704,0
206,1771771960006,4,4,4,4,4,4,4,4,4,4,38.68214416503906,39.84115982055664,39.1735725402832,38.59489822387695,32.81867980957031,39.12421417236328,51.890625,75,65,55,50,42.85714340209961,38.095237731933594,100,100,95.23809814453125,100,3.9746508598327637,17179869184,0,9908633600,0
201,1771771960212,4,4,4,4,4,4,4,4,4,4,38.68214416503906,39.84115982055664,39.1735725402832,38.59489822387695,32.81867980957031,39.12421417236328,51.890625,25,23.809524536132813,14.285715103149414,13.636363983154297,0,4.761904716491699,35,40,47.36842346191406,35,3.9746508598327637,17179869184,0,9908633600,0
209,1771771960414,4,4,4,4,4,4,4,4,4,4,51.350921630859375,51.093257904052734,50.786590576171875,50.85626983642578,46.1812744140625,54.11936569213867,74.796875,20,15.000000953674316,10,0,4.761904716491699,5,5,5,13.636363983154297,5,3.9746508598327637,17179869184,0,9908633600,0
209,1771771960624,4,4,4,4,4,4,4,4,4,4,51.350921630859375,51.093257904052734,50.786590576171875,50.85626983642578,46.1812744140625,54.11936569213867,74.796875,50,35,19.047618865966797,23.809524536132813,9.523809432983398,14.285715103149414,4.761904716491699,4.761904716491699,0,4.545454502105713,3.9746508598327637,17179869184,0,9908633600,0
202,1771771960834,4,4,4,4,4,4,4,4,4,4,51.350921630859375,51.093257904052734,50.786590576171875,50.85626983642578,46.1812744140625,54.11936569213867,74.796875,5,9.090909004211426,5,9.523809432983398,0,0,0,0,0,0,10.914063453674316,17179869184,0,9934077952,0
205,1771771961037,4,4,4,4,4,4,4,4,4,4,51.350921630859375,51.093257904052734,50.786590576171875,50.85626983642578,46.1812744140625,54.11936569213867,74.796875,5,5,4.761904716491699,0,0,0,0,0,0,0,10.914063453674316,17179869184,0,9933553664,0
204,1771771961242,4,4,4,4,4,4,4,4,4,4,51.350921630859375,51.093257904052734,50.786590576171875,50.85626983642578,46.1812744140625,54.11936569213867,74.796875,30.000001907348633,14.285715103149414,10,9.523809432983398,5,5,25,28.571430206298828,14.285715103149414,15.000000953674316,10.914063453674316,17179869184,0,9870721024,0
209,1771771961447,4,4,4,4,4,4,4,4,4,4,42.811248779296875,43.21488571166992,42.98963928222656,42.9382209777832,36.42052459716797,43.46599578857422,53.171875,40,35,15.000000953674316,15.000000953674316,19.047618865966797,14.285715103149414,35,50,40,40,10.914063453674316,17179869184,0,9942220800,0
209,1771771961657,4,4,4,4,4,4,4,4,4,4,42.811248779296875,43.21488571166992,42.98963928222656,42.9382209777832,36.42052459716797,43.46599578857422,53.171875,38.095237731933594,20,15.000000953674316,4.761904716491699,4.761904716491699,4.761904716491699,45.45454788208008,38.095237731933594,40,47.619049072265625,10.914063453674316,17179869184,0,9942220800,0
209,1771771961867,4,4,4,4,4,4,4,4,4,4,42.811248779296875,43.21488571166992,42.98963928222656,42.9382209777832,36.42052459716797,43.46599578857422,53.171875,35,20,14.285715103149414,18.18181800842285,13.636363983154297,10,38.095237731933594,28.571430206298828,80.95238494873047,25,12.659469604492188,17179869184,0,10050338816,0
209,1771771962077,4,4,4,4,4,4,4,4,4,4,42.811248779296875,43.21488571166992,42.98963928222656,42.9382209777832,36.42052459716797,43.46599578857422,53.171875,14.285715103149414,9.523809432983398,8.69565200805664,0,0,0,20,23.809524536132813,95.45454406738281,36.3636360168457,12.659469604492188,17179869184,0,10088906752,0
207,1771771962287,4,4,4,4,4,4,4,4,4,4,58.46792221069336,54.0958251953125,54.006309509277344,56.285545349121094,49.933982849121094,63.01578903198242,79.265625,52.38095474243164,33.333335876464844,25,20,19.047618865966797,14.285715103149414,76.19047546386719,80,65,76.19047546386719,12.659469604492188,17179869184,0,10168352768,0
208,1771771962495,4,4,4,4,4,4,4,4,4,4,58.46792221069336,54.0958251953125,54.006309509277344,56.285545349121094,49.933982849121094,63.01578903198242,79.265625,19.047618865966797,14.285715103149414,10,4.761904716491699,0,0,23.809524536132813,13.636363983154297,4.761904716491699,5,12.659469604492188,17179869184,0,10086776832,0
207,1771771962704,4,4,4,4,4,4,4,4,4,4,58.46792221069336,54.0958251953125,54.006309509277344,56.285545349121094,49.933982849121094,63.01578903198242,79.265625,19.047618865966797,14.285715103149414,4.761904716491699,0,0,0,19.047618865966797,19.047618865966797,27.272727966308594,13.636363983154297,12.659469604492188,17179869184,0,10086776832,0
209,1771771962912,4,4,4,4,4,4,4,4,4,4,58.46792221069336,54.0958251953125,54.006309509277344,56.285545349121094,49.933982849121094,63.01578903198242,79.265625,40,33.333335876464844,25,28.571430206298828,20,23.809524536132813,65,47.619049072265625,55,57.142860412597656,11.508910179138184,17179869184,0,10109779968,0
209,1771771963122,4,4,4,4,4,4,4,4,4,4,58.46792221069336,54.0958251953125,54.006309509277344,56.285545349121094,49.933982849121094,63.01578903198242,79.265625,23.809524536132813,10,9.523809432983398,0,0,0,23.809524536132813,15.000000953674316,15.000000953674316,30.000001907348633,11.508910179138184,17179869184,0,10111287296,0
206,1771771963332,4,4,4,4,4,4,4,4,4,4,51.62262725830078,52.24848937988281,51.196876525878906,51.83214569091797,45.36783218383789,52.947288513183594,76.203125,23.809524536132813,14.285715103149414,13.636363983154297,9.090909004211426,4.545454502105713,0,28.571430206298828,15.000000953674316,13.636363983154297,18.18181800842285,11.508910179138184,17179869184,0,10095247360,0
209,1771771963539,4,4,4,4,4,4,4,4,4,4,51.62262725830078,52.24848937988281,51.196876525878906,51.83214569091797,45.36783218383789,52.947288513183594,76.203125,30.000001907348633,15.000000953674316,10,5,10,9.523809432983398,31.81818199157715,40.90909194946289,15.000000953674316,20,11.508910179138184,17179869184,0,10023469056,0
202,1771771963748,4,4,4,4,4,4,4,4,4,4,51.62262725830078,52.24848937988281,51.196876525878906,51.83214569091797,45.36783218383789,52.947288513183594,76.203125,25,23.809524536132813,4.761904716491699,9.090909004211426,4.761904716491699,0,31.57894515991211,33.333335876464844,31.81818199157715,28.571430206298828,11.508910179138184,17179869184,0,10031529984,0
