elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,4.0,6799.6,57.7,0.0,0.0
1.01,24.7,7230.4,60.2,0.01,0.06
2.02,29.1,7290.7,60.6,0.12,0.7
3.03,21.2,7405.7,61.2,0.3,12.64
4.03,26.9,7438.2,61.4,0.37,13.92
5.04,19.9,7382.4,61.1,0.46,19.4
6.05,23.3,7459.5,61.5,0.5,22.6
7.06,2.9,7432.2,61.4,0.5,22.6
8.07,3.2,7432.0,61.4,0.51,22.65
9.08,11.7,7581.4,62.3,1.44,23.6
10.09,9.8,7546.3,62.0,1.44,23.67
11.1,12.0,7457.0,61.6,1.47,23.75
12.11,11.7,7578.5,62.2,1.49,25.25
13.12,15.1,7449.9,61.5,1.55,28.34
14.13,36.5,7624.2,62.5,1.75,46.75
15.14,35.6,7685.3,62.9,2.01,78.11
16.15,8.7,7579.1,62.3,2.02,78.12
17.16,11.4,7647.4,62.6,2.03,78.16
18.16,4.3,7587.2,62.3,2.04,78.16
19.17,5.3,7579.6,62.2,2.04,78.17
20.17,10.5,7586.5,62.3,2.04,78.17
21.18,3.8,7584.5,62.3,2.05,78.17
22.19,14.5,7564.1,62.1,2.05,78.18
23.19,4.4,7561.2,62.1,2.05,78.18
24.2,4.5,7555.2,62.1,2.05,78.18
25.21,5.8,7552.9,62.1,2.06,78.18
26.21,3.9,7553.0,62.1,2.06,78.18
27.22,5.2,7537.5,62.0,2.06,78.18
28.23,4.4,7537.4,62.0,2.06,78.19
29.24,3.7,7537.4,62.0,2.06,78.19
30.25,4.7,7531.0,61.9,2.07,78.19
31.25,5.3,7537.9,62.0,2.07,78.19
32.26,9.9,7477.8,61.7,2.07,78.19
33.28,6.0,7475.8,61.6,2.07,78.19
34.28,4.0,7475.7,61.6,2.07,78.19
35.29,4.4,7474.9,61.6,2.07,78.19
36.29,4.0,7474.4,61.6,2.07,78.2
37.3,4.0,7467.5,61.6,2.08,78.2
38.31,5.0,7467.9,61.6,2.08,78.2
39.32,4.8,7469.2,61.6,2.08,78.2
40.33,4.1,7469.2,61.6,2.08,78.2
41.34,4.3,7469.8,61.6,2.08,78.2
42.35,5.0,7470.0,61.6,2.09,78.2
43.36,4.1,7464.0,61.6,2.09,78.2
44.37,6.2,7427.0,61.3,2.1,78.2
45.38,4.4,7427.2,61.3,2.1,78.21
46.38,3.5,7426.8,61.3,2.1,78.21
47.39,6.0,7406.4,61.2,2.1,78.22
48.4,5.6,7406.9,61.2,2.1,78.22
49.41,4.0,7406.6,61.2,2.11,78.22
50.42,3.9,7406.0,61.2,2.11,78.22
51.43,3.6,7406.3,61.2,2.11,78.22
52.44,4.5,7403.2,61.2,2.11,78.22
53.45,4.0,7403.2,61.2,2.11,78.22
54.46,3.4,7402.8,61.2,2.11,78.22
55.47,5.3,7402.9,61.2,2.12,78.22
56.48,4.2,7402.9,61.2,2.12,78.23
57.49,3.9,7402.3,61.2,2.12,78.23
58.5,3.8,7402.2,61.2,2.12,78.23
59.52,3.6,7402.3,61.2,2.12,78.23
60.52,3.8,7402.2,61.2,2.12,78.23
61.53,12.8,7405.8,61.2,2.16,78.7
62.54,15.8,7413.1,61.3,2.17,79.46
63.55,23.4,7415.6,61.3,2.2,84.05
64.56,11.5,7418.0,61.3,2.21,84.82
65.57,7.0,7417.8,61.3,2.22,85.76
66.58,10.6,7434.2,61.4,2.23,85.92
67.59,15.2,7422.3,61.3,2.25,90.65
68.6,7.3,7421.3,61.3,2.25,90.66
69.61,4.6,7421.3,61.3,2.26,90.67
70.62,3.7,7428.4,61.3,2.26,90.68
71.62,5.1,7428.5,61.4,2.27,90.68
72.63,4.0,7428.6,61.4,2.27,90.68
73.64,5.1,7428.9,61.4,2.27,90.69
74.65,9.1,7429.9,61.4,2.32,91.11
75.66,5.4,7430.2,61.4,2.32,91.11
76.67,5.2,7430.2,61.3,2.32,91.11
77.68,3.4,7429.8,61.4,2.33,91.12
78.69,4.3,7429.1,61.3,2.33,91.12
79.7,3.9,7429.2,61.3,2.33,91.12
80.7,3.5,7428.4,61.3,2.33,91.12
81.7,3.9,7428.2,61.4,2.33,91.12
82.71,4.1,7422.0,61.3,2.33,91.12
83.72,4.3,7421.9,61.3,2.33,91.12
84.73,6.9,7422.5,61.3,2.38,91.22
85.74,5.4,7422.4,61.3,2.38,91.22
86.74,3.5,7422.4,61.3,2.38,91.23
87.75,3.5,7420.2,61.3,2.38,91.23
88.76,3.8,7420.0,61.3,2.38,91.23
89.77,3.9,7420.0,61.3,2.39,91.23
90.78,3.8,7402.7,61.2,2.39,91.23
91.79,4.2,7403.0,61.2,2.39,91.23
92.8,7.0,7399.0,61.2,2.39,91.23
93.8,6.1,7399.1,61.2,2.39,91.23
