platform,total_experiment_duration_s,timestamp,timeseries_file,energy_cpu_joules,energy_duration_s,energy_method,avg_power_watts,max_power_watts,avg_cpu_percent,max_cpu_percent,avg_cpu_temp_c,avg_memory_mb,energibridge_csv,total_net_sent_mb,total_net_recv_mb,repeat,run_number
meet,125.58,20260222_150231,data/meet_1bot_r6_20260222_150231_timeseries.csv,659.8705,125.31,energibridge,5.28,21.72,5.95,80.44,40.89,9738.8,data/meet_1bot_r6_20260222_150231_energibridge.csv,3.43,68.01,,
meet,125.61,20260222_153422,data/meet_1bot_r25_20260222_153422_timeseries.csv,657.9418,125.4,energibridge,5.26,21.07,5.84,80.64,40.76,9968.4,data/meet_1bot_r25_20260222_153422_energibridge.csv,3.39,67.32,,
meet,125.61,20260222_153728,data/meet_1bot_r30_20260222_153728_timeseries.csv,657.2326,125.31,energibridge,5.26,21.55,5.88,77.47,40.62,9995.8,data/meet_1bot_r30_20260222_153728_energibridge.csv,3.45,51.21,,
meet,125.63,20260222_145607,data/meet_1bot_r10_20260222_145607_timeseries.csv,682.5355,125.43,energibridge,5.45,24.89,6.76,95.07,40.92,9679.5,data/meet_1bot_r10_20260222_145607_energibridge.csv,3.72,67.68,,
meet,125.63,20260222_151821,data/meet_1bot_r11_20260222_151821_timeseries.csv,663.4895,125.27,energibridge,5.31,17.65,5.74,79.94,40.49,9923.1,data/meet_1bot_r11_20260222_151821_energibridge.csv,3.46,67.44,,
meet,125.63,20260222_152444,data/meet_1bot_r19_20260222_152444_timeseries.csv,658.0313,125.39,energibridge,5.26,18.64,5.94,80.1,40.68,9955.0,data/meet_1bot_r19_20260222_152444_energibridge.csv,3.74,67.32,,
meet,125.66,20260222_150853,data/meet_1bot_r7_20260222_150853_timeseries.csv,636.0951,125.37,energibridge,5.09,19.66,5.33,81.0,40.06,9831.4,data/meet_1bot_r7_20260222_150853_energibridge.csv,3.34,55.06,,
meet,125.69,20260222_154155,data/meet_1bot_r14_20260222_154155_timeseries.csv,668.6153,125.37,energibridge,5.34,19.14,6.23,81.16,40.77,10017.2,data/meet_1bot_r14_20260222_154155_energibridge.csv,3.44,67.38,,
meet,125.88,20260222_151515,data/meet_1bot_r28_20260222_151515_timeseries.csv,664.6859,125.7,energibridge,5.3,19.03,5.85,80.35,40.84,9926.6,data/meet_1bot_r28_20260222_151515_energibridge.csv,3.44,67.38,,
teams,135.88,20260222_155555,data/teams_1bot_r1_20260222_155555_timeseries.csv,764.1553,135.66,energibridge,5.64,26.26,7.25,78.68,41.55,10277.6,data/teams_1bot_r1_20260222_155555_energibridge.csv,3.12,91.9,,
teams,135.89,20260222_152127,data/teams_1bot_r7_20260222_152127_timeseries.csv,778.5291,135.63,energibridge,5.75,23.92,7.26,80.81,41.73,10135.7,data/teams_1bot_r7_20260222_152127_energibridge.csv,3.18,91.88,,
teams,135.9,20260222_151159,data/teams_1bot_r14_20260222_151159_timeseries.csv,772.1917,135.55,energibridge,5.71,24.53,7.35,76.87,41.63,10087.9,data/teams_1bot_r14_20260222_151159_energibridge.csv,3.21,91.98,,
teams,135.91,20260222_154606,data/teams_1bot_r10_20260222_154606_timeseries.csv,759.8604,135.57,energibridge,5.62,23.84,6.76,77.8,41.39,10204.1,data/teams_1bot_r10_20260222_154606_energibridge.csv,3.1,91.91,,
teams,135.92,20260222_145914,data/teams_1bot_r25_20260222_145914_timeseries.csv,772.8323,135.56,energibridge,5.71,22.43,7.34,76.37,41.61,9900.6,data/teams_1bot_r25_20260222_145914_energibridge.csv,5.51,92.49,,
teams,135.92,20260222_155238,data/teams_1bot_r12_20260222_155238_timeseries.csv,772.7516,135.62,energibridge,5.71,28.51,7.53,78.28,41.64,10212.5,data/teams_1bot_r12_20260222_155238_energibridge.csv,3.31,112.6,,
teams,135.95,20260222_150537,data/teams_1bot_r15_20260222_150537_timeseries.csv,763.7578,135.72,energibridge,5.64,26.18,6.91,78.14,41.67,10098.4,data/teams_1bot_r15_20260222_150537_energibridge.csv,3.12,91.96,,
teams,135.99,20260222_154922,data/teams_1bot_r18_20260222_154922_timeseries.csv,762.1002,135.66,energibridge,5.63,27.3,6.71,76.64,41.49,10256.5,data/teams_1bot_r18_20260222_154922_energibridge.csv,3.09,92.03,,
teams,136.03,20260222_152750,data/teams_1bot_r4_20260222_152750_timeseries.csv,760.5031,135.69,energibridge,5.61,22.06,6.74,73.16,41.47,10194.9,data/teams_1bot_r4_20260222_152750_energibridge.csv,3.02,91.84,,
teams,135.86,20260222_172152,data/teams_1bot_r2_20260222_172152_timeseries.csv,765.7627,135.62,energibridge,5.66,24.83,7.45,80.79,42.35,9900.0,data/teams_1bot_r2_20260222_172152_energibridge.csv,3.2,91.99,2.0,1.0
teams,135.86,20260222_172508,data/teams_1bot_r4_20260222_172508_timeseries.csv,747.1632,135.57,energibridge,5.52,29.56,6.9,77.09,42.02,9680.4,data/teams_1bot_r4_20260222_172508_energibridge.csv,3.12,91.95,4.0,2.0
teams,135.93,20260222_172825,data/teams_1bot_r3_20260222_172825_timeseries.csv,750.474,135.66,energibridge,5.55,22.64,7.49,73.95,42.12,9715.6,data/teams_1bot_r3_20260222_172825_energibridge.csv,3.12,91.91,3.0,3.0
meet,125.69,20260222_173141,data/meet_1bot_r2_20260222_173141_timeseries.csv,641.9415,125.41,energibridge,5.13,20.26,5.83,81.66,41.07,9471.7,data/meet_1bot_r2_20260222_173141_energibridge.csv,3.41,67.38,2.0,4.0
meet,125.77,20260222_173447,data/meet_1bot_r4_20260222_173447_timeseries.csv,654.3441,125.47,energibridge,5.23,20.22,8.69,86.5,40.47,9528.9,data/meet_1bot_r4_20260222_173447_energibridge.csv,2.99,9.3,4.0,5.0
meet,125.6,20260222_173753,data/meet_1bot_r1_20260222_173753_timeseries.csv,660.8554,125.26,energibridge,5.29,19.9,5.74,78.87,41.2,9524.2,data/meet_1bot_r1_20260222_173753_energibridge.csv,3.43,67.34,1.0,6.0
teams,135.85,20260222_174100,data/teams_1bot_r1_20260222_174100_timeseries.csv,772.2406,135.56,energibridge,5.72,25.0,7.46,75.33,42.01,9829.3,data/teams_1bot_r1_20260222_174100_energibridge.csv,3.03,79.55,1.0,7.0
meet,125.62,20260222_174416,data/meet_1bot_r3_20260222_174416_timeseries.csv,655.3915,125.32,energibridge,5.24,19.28,5.89,75.35,42.13,9965.7,data/meet_1bot_r3_20260222_174416_energibridge.csv,3.48,69.59,3.0,8.0
meet,125.69,20260222_161848,data/meet_1bot_r3_20260222_161848_timeseries.csv,640.9339,125.52,energibridge,5.12,18.07,5.94,78.21,40.13,9584.2,data/meet_1bot_r3_20260222_161848_energibridge.csv,3.21,9.03,3.0,1.0
meet,125.62,20260222_162155,data/meet_1bot_r1_20260222_162155_timeseries.csv,669.3284,125.27,energibridge,5.35,20.82,6.12,78.41,41.02,9577.7,data/meet_1bot_r1_20260222_162155_energibridge.csv,3.62,67.5,1.0,2.0
teams,135.94,20260222_162502,data/teams_1bot_r5_20260222_162502_timeseries.csv,782.2113,135.73,energibridge,5.77,21.68,7.78,82.11,42.13,9911.6,data/teams_1bot_r5_20260222_162502_energibridge.csv,3.29,91.88,5.0,3.0
meet,125.63,20260222_162818,data/meet_1bot_r2_20260222_162818_timeseries.csv,664.8299,125.33,energibridge,5.32,19.92,5.72,80.71,41.14,9749.1,data/meet_1bot_r2_20260222_162818_energibridge.csv,3.43,67.37,2.0,4.0
teams,136.15,20260222_163124,data/teams_1bot_r8_20260222_163124_timeseries.csv,780.4336,136.0,energibridge,5.75,24.19,7.31,82.86,42.06,10046.4,data/teams_1bot_r8_20260222_163124_energibridge.csv,3.09,91.94,8.0,5.0
