avg_cpu_percent,avg_cpu_temp_c,avg_memory_mb,avg_power_watts,bots_failed,bots_successful,call_duration_config,energibridge_csv,energy_cpu_joules,energy_duration_s,energy_method,max_cpu_percent,max_power_watts,num_bots,platform,repeat,run_number,timeseries_file,timestamp,total_experiment_duration_s,total_net_recv_mb,total_net_sent_mb
5.94,40.13,9584.2,5.12,0,1,120,data/meet_1bot_r3_20260222_161848_energibridge.csv,640.9339,125.52,energibridge,78.21,18.07,1,meet,3,1,data/meet_1bot_r3_20260222_161848_timeseries.csv,20260222_161848,125.69,9.03,3.21
6.12,41.02,9577.7,5.35,0,1,120,data/meet_1bot_r1_20260222_162155_energibridge.csv,669.3284,125.27,energibridge,78.41,20.82,1,meet,1,2,data/meet_1bot_r1_20260222_162155_timeseries.csv,20260222_162155,125.62,67.5,3.62
7.78,42.13,9911.6,5.77,0,1,120,data/teams_1bot_r5_20260222_162502_energibridge.csv,782.2113,135.73,energibridge,82.11,21.68,1,teams,5,3,data/teams_1bot_r5_20260222_162502_timeseries.csv,20260222_162502,135.94,91.88,3.29
5.72,41.14,9749.1,5.32,0,1,120,data/meet_1bot_r2_20260222_162818_energibridge.csv,664.8299,125.33,energibridge,80.71,19.92,1,meet,2,4,data/meet_1bot_r2_20260222_162818_timeseries.csv,20260222_162818,125.63,67.37,3.43
7.31,42.06,10046.4,5.75,0,1,120,data/teams_1bot_r8_20260222_163124_energibridge.csv,780.4336,136.0,energibridge,82.86,24.19,1,teams,8,5,data/teams_1bot_r8_20260222_163124_timeseries.csv,20260222_163124,136.15,91.94,3.09
6.86,42.14,10003.5,5.69,0,1,120,data/teams_1bot_r3_20260222_163441_energibridge.csv,770.6466,135.67,energibridge,77.57,22.51,1,teams,3,6,data/teams_1bot_r3_20260222_163441_timeseries.csv,20260222_163441,135.97,91.89,3.32
5.82,41.22,9825.1,5.33,0,1,120,data/meet_1bot_r6_20260222_163757_energibridge.csv,667.3795,125.44,energibridge,78.38,21.69,1,meet,6,7,data/meet_1bot_r6_20260222_163757_timeseries.csv,20260222_163757,125.66,67.25,3.46
7.4,42.4,9938.8,5.87,0,1,120,data/teams_1bot_r7_20260222_164103_energibridge.csv,795.0053,135.63,energibridge,79.53,26.78,1,teams,7,8,data/teams_1bot_r7_20260222_164103_timeseries.csv,20260222_164103,135.98,91.91,3.17
8.33,40.55,9837.3,5.27,0,1,120,data/meet_1bot_r8_20260222_164420_energibridge.csv,662.753,126.2,energibridge,68.95,14.65,1,meet,8,9,data/meet_1bot_r8_20260222_164420_timeseries.csv,20260222_164420,126.36,13.96,3.15
6.71,41.89,10064.2,5.72,0,1,120,data/teams_1bot_r4_20260222_164727_energibridge.csv,775.1071,135.7,energibridge,74.85,22.18,1,teams,4,10,data/teams_1bot_r4_20260222_164727_timeseries.csv,20260222_164727,135.9,91.97,3.02
5.77,41.2,9868.2,5.33,0,1,120,data/meet_1bot_r5_20260222_165043_energibridge.csv,666.5147,125.32,energibridge,78.83,19.74,1,meet,5,11,data/meet_1bot_r5_20260222_165043_timeseries.csv,20260222_165043,125.6,67.27,3.44
5.95,40.95,9823.2,5.32,0,1,120,data/meet_1bot_r9_20260222_165349_energibridge.csv,665.7245,125.43,energibridge,80.69,19.42,1,meet,9,12,data/meet_1bot_r9_20260222_165349_timeseries.csv,20260222_165349,125.65,67.41,3.72
6.91,41.98,10065.6,5.72,0,1,120,data/teams_1bot_r1_20260222_165655_energibridge.csv,775.6062,135.81,energibridge,82.56,28.39,1,teams,1,13,data/teams_1bot_r1_20260222_165655_timeseries.csv,20260222_165655,136.06,91.79,3.07
7.25,42.04,10182.6,5.71,0,1,120,data/teams_1bot_r9_20260222_170011_energibridge.csv,773.1132,135.67,energibridge,98.09,28.31,1,teams,9,14,data/teams_1bot_r9_20260222_170011_timeseries.csv,20260222_170011,135.95,92.29,3.13
6.77,41.29,9974.0,5.4,0,1,120,data/meet_1bot_r7_20260222_170328_energibridge.csv,675.7793,125.43,energibridge,84.95,19.53,1,meet,7,15,data/meet_1bot_r7_20260222_170328_timeseries.csv,20260222_170328,125.67,68.02,6.14
7.8,42.19,9990.9,5.92,0,1,120,data/teams_1bot_r2_20260222_170634_energibridge.csv,802.4245,135.76,energibridge,74.22,30.19,1,teams,2,16,data/teams_1bot_r2_20260222_170634_timeseries.csv,20260222_170634,135.93,92.0,3.13
6.08,41.24,9755.2,5.58,0,1,120,data/meet_1bot_r4_20260222_170950_energibridge.csv,697.3315,125.33,energibridge,75.87,19.38,1,meet,4,17,data/meet_1bot_r4_20260222_170950_timeseries.csv,20260222_170950,125.66,67.52,3.59
7.1,42.03,9984.0,5.64,0,1,120,data/teams_1bot_r6_20260222_171257_energibridge.csv,765.5982,135.92,energibridge,78.57,25.08,1,teams,6,18,data/teams_1bot_r6_20260222_171257_timeseries.csv,20260222_171257,136.21,92.02,3.06
