Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771775443754,4,4,4,4,4,4,4,4,4,4,38.12371063232422,38.33439636230469,38.029808044433594,38.27305221557617,31.511539459228516,38.38262176513672,45.71875,NaN,0,NaN,0,0,NaN,0,0,0,0,4.103587627410889,17179869184,0,9405530112,0
209,1771775443754,4,4,4,4,4,4,4,4,4,4,38.12371063232422,38.33439636230469,38.029808044433594,38.27305221557617,31.511539459228516,38.38262176513672,45.71875,0,0,0,50,NaN,0,0,0,NaN,0,4.103587627410889,17179869184,0,9405530112,0
208,1771775443964,4,4,4,4,4,4,4,4,4,4,38.12371063232422,38.33439636230469,38.029808044433594,38.27305221557617,31.511539459228516,38.38262176513672,45.71875,19.047618865966797,4.761904716491699,4.761904716491699,0,0,0,23.809524536132813,14.285715103149414,22.72727394104004,0,4.076372146606445,17179869184,0,9405530112,0
196,1771775444184,4,4,4,4,4,4,4,4,4,4,38.12371063232422,38.33439636230469,38.029808044433594,38.27305221557617,31.511539459228516,38.38262176513672,45.71875,45.45454788208008,54.54545593261719,45.45454788208008,21.7391300201416,21.7391300201416,18.18181800842285,40.90909194946289,42.85714340209961,14.285715103149414,22.72727394104004,4.076372146606445,17179869184,0,9405530112,0
200,1771775444380,4,4,4,4,4,4,4,4,4,4,41.38068389892578,42.71691131591797,42.30938720703125,41.143165588378906,36.53593063354492,42.670875549316406,62.703125,84.21052551269531,77.77777862548828,70,63.15789031982422,57.894737243652344,50,95,95,100,95.23809814453125,4.076372146606445,17179869184,0,9405530112,0
204,1771775444581,4,4,4,4,4,4,4,4,4,4,41.38068389892578,42.71691131591797,42.30938720703125,41.143165588378906,36.53593063354492,42.670875549316406,62.703125,71.42857360839844,60.000003814697266,50,40,30.000001907348633,25,90,90.47618865966797,85.71428680419922,100,4.076372146606445,17179869184,0,9867460608,0
209,1771775444786,4,4,4,4,4,4,4,4,4,4,41.38068389892578,42.71691131591797,42.30938720703125,41.143165588378906,36.53593063354492,42.670875549316406,62.703125,31.57894515991211,27.272727966308594,10,5,5,0,30.000001907348633,30.000001907348633,40,23.809524536132813,5.6835784912109375,17179869184,0,9921429504,0
208,1771775444995,4,4,4,4,4,4,4,4,4,4,41.38068389892578,42.71691131591797,42.30938720703125,41.143165588378906,36.53593063354492,42.670875549316406,62.703125,14.285715103149414,10,0,0,0,0,20,61.904762268066406,23.809524536132813,10,5.6835784912109375,17179869184,0,9943695360,0
209,1771775445203,4,4,4,4,4,4,4,4,4,4,41.38068389892578,42.71691131591797,42.30938720703125,41.143165588378906,36.53593063354492,42.670875549316406,62.703125,90.47618865966797,75,76.19047546386719,60.000003814697266,52.38095474243164,42.85714340209961,95.45454406738281,95.23809814453125,90.47618865966797,95,5.6835784912109375,17179869184,0,10015850496,0
200,1771775445414,4,4,4,4,4,4,4,4,4,4,57.756492614746094,57.91035842895508,58.72502136230469,57.64292907714844,55.58491134643555,61.0893440246582,78.328125,84.21052551269531,75,57.142860412597656,57.142860412597656,45,40,100,95,95.23809814453125,95.45454406738281,5.6835784912109375,17179869184,0,10008788992,0
