elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,2.4,6673.4,57.3,0.0,0.0
1.0,8.6,6955.4,58.9,0.01,0.06
2.01,40.4,7192.7,60.3,0.18,0.94
3.02,37.1,7248.1,60.6,0.75,4.0
4.03,21.6,7213.8,60.4,0.78,5.77
5.04,12.7,7277.5,60.8,1.97,6.89
6.05,15.4,7290.4,60.9,2.14,7.32
7.06,25.1,7320.9,61.0,2.66,8.48
8.06,22.3,7275.2,60.8,2.77,8.64
9.07,9.1,7290.2,60.9,2.77,8.64
10.08,9.9,7263.5,60.7,2.77,8.64
11.09,8.4,7255.4,60.6,2.77,8.64
12.1,7.6,7245.5,60.6,2.79,8.71
13.11,12.9,7215.2,60.4,2.82,8.71
14.12,7.2,7209.1,60.5,2.82,8.71
15.13,7.6,7195.2,60.4,2.82,8.71
16.14,7.5,7189.7,60.3,2.82,8.71
17.15,7.7,7147.2,60.1,2.82,8.71
18.15,6.6,7145.7,60.1,2.83,8.71
19.16,6.5,7139.9,60.0,2.83,8.71
20.17,6.7,7140.2,60.0,2.83,8.71
21.18,6.4,7140.2,60.0,2.83,8.71
22.19,7.1,7138.1,60.0,2.83,8.71
23.2,7.3,7139.3,60.0,2.83,8.71
24.21,7.3,7138.5,60.0,2.83,8.71
25.22,7.1,7139.4,60.0,2.83,8.71
26.23,7.9,7140.1,60.0,2.83,8.71
27.24,6.7,7140.0,60.0,2.83,8.71
28.26,6.6,7140.4,60.0,2.84,8.71
29.27,6.9,7140.9,60.0,2.84,8.71
30.28,6.5,7141.5,60.0,2.84,8.71
31.29,6.8,7142.3,60.0,2.84,8.71
32.3,9.2,7111.2,59.8,2.84,8.71
33.31,9.0,7110.9,59.8,2.84,8.71
34.32,7.0,7111.0,59.8,2.85,8.72
35.33,6.7,7111.1,59.8,2.85,8.72
36.34,6.4,7111.4,59.8,2.85,8.72
37.35,7.0,7107.6,59.8,2.85,8.72
38.35,7.0,7107.0,59.8,2.85,8.72
39.36,6.7,7107.9,59.8,2.85,8.72
40.37,6.9,7110.7,59.8,2.86,8.72
41.38,11.6,7133.8,60.0,2.87,8.73
42.38,8.7,7136.2,60.0,2.87,8.74
43.39,7.1,7136.7,60.0,2.87,8.74
44.4,6.8,7135.5,60.0,2.88,8.74
45.41,6.6,7135.6,60.0,2.88,8.74
46.42,7.2,7135.3,60.0,2.88,8.74
47.43,6.9,7134.9,60.0,2.88,8.74
48.43,6.9,7134.9,60.0,2.88,8.74
49.44,6.3,7134.9,60.0,2.88,8.74
50.44,7.0,7135.1,60.0,2.89,8.74
51.45,6.7,7132.9,59.9,2.89,8.74
52.45,7.3,7134.3,60.0,2.89,8.75
53.46,7.4,7134.9,60.0,2.89,8.75
54.47,7.0,7135.7,60.0,2.89,8.75
55.48,8.1,7136.4,60.0,2.89,8.75
56.49,6.8,7137.2,60.0,2.9,8.75
57.5,6.6,7137.8,60.0,2.9,8.75
58.51,6.8,7137.7,60.0,2.9,8.75
59.52,6.7,7138.1,60.0,2.9,8.75
60.53,6.9,7138.4,60.0,2.9,8.75
61.54,7.2,7138.6,60.0,2.91,8.76
62.55,7.2,7143.4,60.1,2.92,13.72
63.55,7.6,7144.2,60.0,2.93,13.72
64.56,7.4,7142.0,60.0,2.93,13.72
65.57,6.4,7142.2,60.0,2.93,13.72
66.58,9.2,7143.2,60.0,2.93,13.72
67.59,6.9,7143.1,60.0,2.93,13.72
68.6,8.0,7145.4,60.1,2.94,13.8
69.6,13.7,7156.0,60.1,2.95,13.81
70.61,7.0,7156.2,60.1,2.96,13.82
71.62,7.5,7156.7,60.1,2.96,13.82
72.63,7.1,7156.5,60.1,2.96,13.82
73.64,7.2,7156.3,60.1,2.96,13.82
74.64,7.0,7155.4,60.1,2.96,13.82
75.64,6.5,7155.5,60.1,2.97,13.82
76.65,6.1,7155.2,60.1,2.97,13.82
77.65,6.4,7154.8,60.1,2.97,13.82
78.66,6.5,7154.6,60.1,2.97,13.82
79.67,8.6,7155.6,60.1,2.97,13.82
80.68,6.4,7155.3,60.1,2.97,13.82
81.68,6.7,7155.7,60.1,2.97,13.82
82.69,8.4,7146.2,60.0,2.97,13.82
83.7,6.8,7146.7,60.1,2.98,13.82
84.7,7.0,7146.1,60.0,2.98,13.82
85.71,8.1,7146.1,60.0,2.98,13.82
86.72,6.6,7146.3,60.1,2.98,13.82
87.73,6.4,7144.8,60.1,2.98,13.83
88.74,6.7,7144.8,60.0,2.98,13.83
89.75,7.0,7144.8,60.1,2.98,13.83
90.76,6.5,7144.6,60.1,2.98,13.83
91.77,6.9,7144.9,60.0,2.98,13.83
92.78,6.6,7145.1,60.0,2.98,13.83
93.78,7.2,7145.4,60.1,2.99,13.83
94.79,6.6,7145.3,60.0,2.99,13.83
95.8,6.4,7145.2,60.0,2.99,13.83
96.81,6.9,7145.5,60.0,3.0,13.83
97.82,6.9,7145.7,60.1,3.0,13.83
98.83,6.1,7145.7,60.0,3.0,13.83
99.84,6.3,7145.8,60.0,3.0,13.83
100.85,6.8,7145.9,60.1,3.0,13.83
101.85,6.5,7147.8,60.0,3.0,13.83
102.86,8.3,7147.9,60.0,3.0,13.83
103.87,6.4,7148.1,60.0,3.0,13.83
104.88,6.5,7148.1,60.1,3.0,13.83
105.89,6.5,7148.1,60.0,3.01,13.83
106.89,6.5,7148.0,60.0,3.01,13.83
107.9,6.4,7147.9,60.0,3.01,13.84
108.9,7.3,7148.5,60.0,3.01,13.84
109.91,6.5,7148.5,60.0,3.01,13.84
110.92,6.7,7148.4,60.1,3.01,13.84
111.93,6.8,7147.2,60.0,3.02,13.84
112.94,6.6,7141.7,60.0,3.02,13.84
113.95,6.6,7141.7,60.0,3.02,13.84
114.96,6.4,7141.8,60.0,3.02,13.84
115.97,8.0,7141.7,60.0,3.02,13.84
116.98,6.5,7141.4,60.0,3.02,13.84
117.99,6.4,7141.2,60.0,3.02,13.84
118.99,6.1,7141.4,60.1,3.02,13.84
120.0,6.3,7141.5,60.0,3.02,13.84
121.01,6.6,7141.7,60.0,3.03,13.84
122.02,6.9,7141.8,60.0,3.03,13.84
123.03,6.8,7141.8,60.0,3.03,13.84
124.03,6.8,7141.7,60.0,3.04,13.86
125.04,6.2,7141.7,60.0,3.04,13.86
126.05,7.6,7159.8,60.1,3.15,13.96
