elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,2.0,6636.3,57.0,0.0,0.0
1.0,27.6,7111.9,59.8,0.03,0.08
2.01,22.9,7135.8,60.0,0.12,0.72
3.02,30.3,7261.1,60.7,0.3,12.75
4.02,22.8,7265.8,60.7,0.41,14.05
5.02,26.0,7306.5,61.0,0.46,19.61
6.03,12.8,7354.3,61.2,0.49,22.63
7.04,4.7,7297.9,60.9,0.5,22.69
8.05,3.8,7224.0,60.5,0.51,22.72
9.05,8.0,7438.9,61.7,1.43,23.7
10.06,14.4,7419.0,61.6,1.45,23.77
11.07,10.3,7353.3,61.2,1.47,24.92
12.08,8.7,7461.9,61.9,1.5,25.61
13.09,22.9,7509.6,62.2,1.59,29.9
14.09,50.6,7448.7,61.8,1.72,42.25
15.11,14.0,7485.6,62.0,1.89,62.72
16.12,16.5,7453.5,61.8,2.03,78.18
17.13,5.5,7489.0,62.0,2.03,78.18
18.14,6.1,7453.3,61.8,2.03,78.19
19.15,5.0,7438.7,61.8,2.04,78.19
20.16,11.3,7457.4,61.9,2.04,78.22
21.17,17.8,7459.4,61.9,2.05,78.31
22.18,4.7,7441.9,61.8,2.05,78.31
23.19,4.2,7431.5,61.7,2.05,78.31
24.2,3.8,7431.4,61.7,2.06,78.31
25.21,9.7,7421.7,61.6,2.06,78.31
26.21,5.3,7419.7,61.7,2.06,78.32
27.22,4.1,7404.5,61.6,2.06,78.32
28.23,3.9,7404.3,61.6,2.06,78.32
29.24,4.2,7404.4,61.6,2.07,78.32
30.24,5.2,7396.6,61.5,2.07,78.33
31.24,5.3,7399.2,61.5,2.07,78.33
32.24,9.4,7320.2,61.1,2.07,78.33
33.25,6.3,7383.8,61.4,2.07,78.33
34.26,4.5,7374.9,61.4,2.08,78.33
35.27,4.2,7370.8,61.3,2.08,78.33
36.28,4.0,7365.4,61.3,2.08,78.33
37.29,5.4,7357.2,61.3,2.08,78.33
38.3,5.5,7354.4,61.2,2.08,78.33
39.31,3.7,7352.3,61.2,2.08,78.33
40.32,3.6,7352.2,61.3,2.09,78.34
41.33,4.0,7349.8,61.3,2.09,78.34
42.34,3.8,7349.2,61.2,2.09,78.34
43.34,6.2,7317.3,61.1,2.1,78.34
44.35,4.0,7315.1,61.0,2.1,78.34
45.36,3.8,7315.5,61.0,2.1,78.34
46.37,4.5,7315.8,61.0,2.1,78.35
47.37,6.7,7295.4,60.9,2.1,78.35
48.38,6.6,7295.5,60.9,2.11,78.35
49.39,3.7,7295.5,60.9,2.11,78.35
50.4,3.6,7294.8,60.9,2.11,78.35
51.4,3.9,7294.7,60.9,2.11,78.35
52.41,3.7,7291.6,60.9,2.11,78.35
53.42,3.6,7291.2,60.9,2.11,78.35
54.43,4.0,7290.7,60.9,2.12,78.36
55.43,3.7,7291.3,60.9,2.12,78.36
56.44,3.8,7291.3,60.9,2.12,78.36
57.46,3.6,7291.2,60.8,2.12,78.36
58.46,3.9,7291.3,60.9,2.12,78.36
59.47,3.4,7291.1,60.9,2.13,78.36
60.48,3.6,7290.8,60.9,2.13,78.36
61.49,11.7,7294.0,60.9,2.16,78.47
62.5,11.3,7291.3,60.9,2.18,84.16
63.51,11.3,7289.7,60.9,2.19,84.17
64.52,13.6,7291.1,60.9,2.2,84.89
65.53,20.5,7297.2,60.9,2.22,86.02
66.54,12.1,7297.6,61.0,2.24,90.75
67.55,7.4,7298.0,61.0,2.25,90.76
68.56,7.6,7298.0,60.9,2.25,90.78
69.57,4.9,7298.1,60.9,2.26,90.79
70.58,4.0,7298.1,60.9,2.26,90.79
71.59,4.4,7295.7,60.9,2.26,90.79
72.61,3.7,7295.7,60.9,2.26,90.79
73.62,9.5,7294.6,60.9,2.31,91.21
74.63,5.6,7295.1,60.9,2.31,91.22
75.63,3.8,7295.2,60.9,2.32,91.22
76.64,4.0,7295.4,60.9,2.32,91.22
77.65,3.8,7295.5,60.9,2.32,91.22
78.66,5.0,7295.5,60.9,2.32,91.22
79.67,3.8,7295.5,60.9,2.32,91.22
80.68,3.8,7295.1,60.9,2.32,91.22
81.69,4.7,7297.4,60.9,2.33,91.22
82.69,3.5,7297.3,60.9,2.33,91.23
83.7,7.3,7297.5,60.9,2.37,91.33
84.71,7.0,7299.2,60.9,2.38,91.36
85.71,5.5,7299.3,60.9,2.38,91.36
86.72,4.3,7297.2,60.9,2.38,91.36
87.74,3.9,7294.2,60.9,2.38,91.36
88.75,3.8,7294.1,60.9,2.39,91.36
89.75,4.4,7282.3,60.8,2.39,91.36
90.76,3.5,7281.7,60.8,2.39,91.36
91.77,4.2,7278.9,60.8,2.39,91.37
92.78,4.0,7278.8,60.8,2.39,91.37
93.79,3.5,7278.9,60.8,2.4,91.37
94.8,3.8,7280.6,60.8,2.4,91.37
95.81,3.4,7280.6,60.8,2.4,91.37
96.82,4.6,7280.2,60.8,2.4,91.37
97.83,3.7,7280.2,60.8,2.4,91.37
98.84,3.6,7280.2,60.8,2.4,91.37
99.85,3.8,7280.2,60.8,2.41,91.37
100.86,3.7,7280.1,60.8,2.41,91.37
101.87,3.7,7280.0,60.8,2.41,91.38
102.88,3.7,7280.0,60.8,2.41,91.38
